erp_system,source_account,source_account_name,source_account_name_local,source_account_type,source_normal_balance,group_account,mapping_type,mapping_rule,effective_from,effective_to,notes
KESTREL,00024000,Prepaid Expenses,Vorausbezahlte Aufwendungen,BILANZ,S,140100,DIRECT,,2022-02-01,,
KESTREL,00024500,Prepaid Corporate Tax,Steuervorauszahlungen,BILANZ,S,140200,DIRECT,,2022-02-01,,
KESTREL,00030000,Land and Buildings,Grundstuecke und Bauten,BILANZ,S,150200,SPLIT,"asset_class = 'LAND' -> 150100; else 150200",2022-02-01,,"Kestrel follows the German balance sheet format, which combines land with buildings. Split from the asset register."
KESTREL,00031000,Technical Equipment and Machinery,Technische Anlagen und Maschinen,BILANZ,S,150300,DIRECT,,2022-02-01,,
KESTREL,00032000,Vehicles,Fuhrpark,BILANZ,S,150400,DIRECT,,2022-02-01,,
KESTREL,00033000,Office and IT Equipment,Betriebs- und Geschaeftsausstattung,BILANZ,S,150500,DIRECT,,2022-02-01,,
KESTREL,00034000,Tenant Improvements,Mietereinbauten,BILANZ,S,150600,DIRECT,,2022-02-01,,
KESTREL,00035000,Assets Under Construction,Anlagen im Bau,BILANZ,S,150700,DIRECT,,2022-02-01,,
KESTREL,00036000,Finance Lease Assets,Leasinggegenstaende,BILANZ,S,150800,DIRECT,,2022-02-01,,
KESTREL,00039000,Accumulated Depreciation,Kumulierte Abschreibungen,BILANZ,H,155100,DIRECT,,2022-02-01,,
KESTREL,00039500,Operating Lease Right of Use,Nutzungsrechte Operating Leasing,BILANZ,S,158100,DIRECT,,2022-02-01,,"Recognised for group reporting only. Kestrel entities do not carry ROU assets in their local statutory books, so this is a top-side entry created in staging. See ADR-0009 and CTL-CON-07."
KESTREL,00040000,Goodwill,Geschaefts- oder Firmenwert,BILANZ,S,160100,DIRECT,,2022-02-01,,
KESTREL,00041000,Customer Base,Kundenstamm,BILANZ,S,165100,DIRECT,,2022-02-01,,
KESTREL,00041500,Technology and Licences,Technologie und Lizenzen,BILANZ,S,165200,DIRECT,,2022-02-01,,
KESTREL,00042000,Brand Rights,Markenrechte,BILANZ,S,165300,DIRECT,,2022-02-01,,
KESTREL,00043000,Software,Software,BILANZ,S,165500,DIRECT,,2022-02-01,,
KESTREL,00049000,Accumulated Amortisation,Kumulierte Abschreibung Immaterielle,BILANZ,H,166100,DIRECT,,2022-02-01,,
KESTREL,00050000,Deferred Tax Assets,Aktive latente Steuern,BILANZ,S,170100,DIRECT,,2022-02-01,,
KESTREL,00051000,Shares in Affiliated Companies,Anteile an verbundenen Unternehmen,BILANZ,S,178100,DIRECT,,2023-01-01,,
KESTREL,00059000,Other Non-Current Assets,Sonstige Anlagen,BILANZ,S,180100,DIRECT,,2022-02-01,,
KESTREL,00060000,Trade Payables,Verbindlichkeiten aus L+L,BILANZ,H,210100,DIRECT,,2022-02-01,,
KESTREL,00060500,Goods Received Not Invoiced,Wareneingang ohne Rechnung,BILANZ,H,210200,DIRECT,,2022-02-01,,
KESTREL,00061000,Payables to Affiliated Companies,Verbindlichkeiten verbundene Unternehmen,BILANZ,H,210500,DIRECT,REQUIRES_PARTNER,2022-02-01,,
KESTREL,00061500,Loans from Affiliated Companies,Darlehen verbundene Unternehmen,BILANZ,H,235100,SPLIT,"maturity_months <= 12 -> 225100; else 235100",2022-02-01,,
KESTREL,00062000,Advance Payments Received,Erhaltene Anzahlungen,BILANZ,H,211100,DIRECT,,2022-02-01,,
KESTREL,00062500,Deferred Income,Passive Rechnungsabgrenzung,BILANZ,H,211100,MERGE,,2022-02-01,,
KESTREL,00064000,Accrued Personnel Costs,Rueckstellung Personalkosten,BILANZ,H,215100,DIRECT,,2022-02-01,,
KESTREL,00064200,Accrued Bonus,Rueckstellung Tantiemen,BILANZ,H,215200,DIRECT,,2022-02-01,,
KESTREL,00064400,Accrued Audit and Advisory,Rueckstellung Abschlusskosten,BILANZ,H,215300,DIRECT,,2022-02-01,,
KESTREL,00064600,Warranty Provision,Gewaehrleistungsrueckstellung,BILANZ,H,215400,DIRECT,,2022-02-01,,
KESTREL,00064800,Restructuring Provision,Restrukturierungsrueckstellung,BILANZ,H,215500,DIRECT,,2022-02-01,,
KESTREL,00064900,Other Provisions,Sonstige Rueckstellungen,BILANZ,H,215600,DIRECT,,2022-02-01,,
KESTREL,00065000,Accrued Interest,Zinsabgrenzung,BILANZ,H,216100,DIRECT,,2022-02-01,,
KESTREL,00066000,Corporate Tax Payable,Koerperschaftsteuer Verbindlichkeit,BILANZ,H,218100,DIRECT,,2022-02-01,,
KESTREL,00066500,VAT Payable,Umsatzsteuer,BILANZ,H,219100,DIRECT,,2022-02-01,,
KESTREL,00067000,Bank Loans - Current,Verbindlichkeiten Kreditinstitute kurzfristig,BILANZ,H,220100,DIRECT,,2022-02-01,,
KESTREL,00067200,Finance Lease Liability - Current,Leasingverbindlichkeit kurzfristig,BILANZ,H,220300,DIRECT,,2022-02-01,,
KESTREL,00067400,Operating Lease Liability - Current,Operating Leasingverbindlichkeit kurzfristig,BILANZ,H,220400,DIRECT,,2022-02-01,,"Group-reporting entry only; see 00039500."
KESTREL,00068000,Bank Loans - Non-Current,Verbindlichkeiten Kreditinstitute langfristig,BILANZ,H,230100,DIRECT,,2022-02-01,,
KESTREL,00068200,Finance Lease Liability - Non-Current,Leasingverbindlichkeit langfristig,BILANZ,H,230300,DIRECT,,2022-02-01,,
KESTREL,00068400,Operating Lease Liability - Non-Current,Operating Leasingverbindlichkeit langfristig,BILANZ,H,230400,DIRECT,,2022-02-01,,
KESTREL,00069000,Deferred Tax Liabilities,Passive latente Steuern,BILANZ,H,240100,DIRECT,,2022-02-01,,
KESTREL,00069500,Pension and Other Long Term,Pensionsrueckstellungen,BILANZ,H,245100,DIRECT,,2022-02-01,,"Small unfunded German pension obligation. Reported within other long-term liabilities; not separately modelled. Flagged as an owner decision in docs/open-questions.md."
KESTREL,00070000,Share Capital,Gezeichnetes Kapital,BILANZ,H,310100,DIRECT,,2022-02-01,,
KESTREL,00070500,Capital Reserve,Kapitalruecklage,BILANZ,H,310200,DIRECT,,2022-02-01,,
KESTREL,00071000,Retained Earnings Brought Forward,Gewinnvortrag,BILANZ,H,320100,DIRECT,,2022-02-01,,
KESTREL,00071500,Result for the Year,Jahresergebnis,BILANZ,H,320200,DIRECT,,2022-02-01,,"Kestrel closes the year-end result into a dedicated equity account. The group model derives the current-year result from the P&L and must not double-count this account. See CTL-CON-03."
KESTREL,00072000,Dividends Paid,Ausschuettungen,BILANZ,S,320300,DIRECT,,2022-02-01,,
KESTREL,00080000,Revenue - Products,Umsatzerloese Produkte,GUV,H,410100,SPLIT,"product_group = 'COMPONENT' -> 410200; else 410100",2022-02-01,,
KESTREL,00080200,Revenue - Spare Parts,Umsatzerloese Ersatzteile,GUV,H,415100,DIRECT,,2023-01-01,,
KESTREL,00080400,Revenue - Services,Umsatzerloese Dienstleistungen,GUV,H,420100,DIRECT,,2022-02-01,,
KESTREL,00080600,Revenue - Maintenance Contracts,Umsatzerloese Wartungsvertraege,GUV,H,420200,DIRECT,,2022-02-01,,
KESTREL,00080800,Revenue - Projects,Umsatzerloese Projekte,GUV,H,425100,DIRECT,,2024-07-01,,"Vector Systems B.V. only."
KESTREL,00081000,Change in Finished Goods Inventory,Bestandsveraenderung,GUV,H,530100,DERIVED,"sign_reversal = TRUE",2022-02-01,,"THE GERMAN GAAP TOTAL-COST-METHOD PROBLEM. Kestrel reports on the Gesamtkostenverfahren (nature-of-expense) basis, where the inventory movement is presented as a revenue-side item. The group reports on the cost-of-sales basis, so this account is reclassified into cost of sales with a sign reversal. Getting this wrong overstates both revenue and gross margin. See ADR-0008 and control CTL-MAP-08."
KESTREL,00081200,Own Work Capitalised,Aktivierte Eigenleistungen,GUV,H,520100,DERIVED,"sign_reversal = TRUE",2022-02-01,,"Also a total-cost-method presentation item; credited against production overhead rather than shown as revenue."
KESTREL,00081500,Other Operating Income,Sonstige betriebliche Ertraege,GUV,H,750100,SPLIT,"income_type = 'OPERATING' -> 435100; 'FX' -> 740100; 'DISPOSAL' -> 745100; else 750100",2022-02-01,,"A catch-all account in German practice. Splitting it correctly matters because the default landing place is below EBITDA while operating income belongs above it."
KESTREL,00081800,Sales Deductions,Erloesschmaelerungen,GUV,S,440200,DIRECT,,2022-02-01,,
KESTREL,00089000,Intercompany Revenue,Umsatzerloese verbundene Unternehmen,GUV,H,490100,SPLIT,"partner_bu = 'IS' -> 490200; else 490100",2022-02-01,,
KESTREL,00090000,Cost of Materials,Materialaufwand Roh- Hilfsstoffe,GUV,S,510100,DIRECT,,2022-02-01,,
KESTREL,00090200,Cost of Purchased Goods,Aufwendungen fuer bezogene Waren,GUV,S,510200,DIRECT,,2022-02-01,,
KESTREL,00090400,Cost of Purchased Services,Aufwendungen fuer bezogene Leistungen,GUV,S,510300,DIRECT,,2022-02-01,,
KESTREL,00090600,Intercompany Cost of Materials,Materialaufwand verbundene Unternehmen,GUV,S,590100,DIRECT,REQUIRES_PARTNER,2022-02-01,,
KESTREL,00091000,Wages and Salaries,Loehne und Gehaelter,GUV,S,610100,SPLIT,"cost_center_function in ('PRODUCTION','FIELD','PROJECT') -> 515100/515200 by BU; cost_center_function = 'INDIRECT_OPS' -> 520100; else 610100",2022-02-01,,"Same structural problem as Aurora 6100: the nature-of-expense chart cannot distinguish direct from indirect labour. Kestrel's cost centre master carries a function attribute which drives the split."
KESTREL,00091200,Social Security Contributions,Soziale Abgaben,GUV,S,610300,SPLIT,"same cost centre rule as 00091000; direct/indirect -> 515300",2022-02-01,,
KESTREL,00091400,Pension and Benefit Costs,Altersversorgung und Unterstuetzung,GUV,S,610200,SPLIT,"same cost centre rule as 00091000; direct/indirect -> 515300",2022-02-01,,
KESTREL,00091600,Temporary Staff,Leiharbeit,GUV,S,610600,SPLIT,"cost_center_function in ('PRODUCTION','FIELD','PROJECT') -> 510300; else 610600",2022-02-01,,
KESTREL,00092000,Depreciation of Tangible Assets,Abschreibungen Sachanlagen,GUV,S,710100,SPLIT,"asset_class = 'FINANCE_LEASE' -> 710200; else 710100",2022-02-01,,
KESTREL,00092200,Amortisation of Intangible Assets,Abschreibungen Immaterielle,GUV,S,720100,SPLIT,"asset_class = 'SOFTWARE' -> 720200; else 720100",2022-02-01,,
KESTREL,00093000,Rent and Leases,Mieten und Leasing,GUV,S,620100,SPLIT,"cost_center_function in ('PRODUCTION','WAREHOUSE') -> 520200; else 620100",2022-02-01,,
KESTREL,00093200,Energy and Utilities,Energiekosten,GUV,S,620200,SPLIT,"cost_center_function in ('PRODUCTION','WAREHOUSE') -> 520200; else 620200",2022-02-01,,
KESTREL,00093400,Repairs and Maintenance,Reparatur und Instandhaltung,GUV,S,620300,DIRECT,,2022-02-01,,
KESTREL,00093600,Insurance and Property Charges,Versicherungen und Abgaben,GUV,S,620400,DIRECT,,2022-02-01,,
KESTREL,00094000,Legal and Advisory Costs,Rechts- und Beratungskosten,GUV,S,630300,SPLIT,"advisor_type = 'AUDIT' -> 630100; 'LEGAL' -> 630200; project_code = 'ERP-INT' -> 680400; project_code = 'M-AND-A' -> 680300; else 630300",2022-02-01,,
KESTREL,00094200,Advertising and Marketing,Werbekosten,GUV,S,640100,DIRECT,,2022-02-01,,
KESTREL,00094300,Trade Fairs,Messekosten,GUV,S,640200,DIRECT,,2022-02-01,,
KESTREL,00094400,Sales Commissions,Provisionen,GUV,S,640300,DIRECT,,2022-02-01,,
KESTREL,00094500,Bad Debt Expense,Forderungsverluste,GUV,S,640400,DIRECT,,2022-02-01,,
KESTREL,00095000,IT and Software Costs,EDV-Kosten,GUV,S,650100,SPLIT,"project_code = 'ERP-INT' -> 680400; expense_subtype = 'SERVICES' -> 650200; else 650100",2022-02-01,,
KESTREL,00095200,Telecommunications,Telefon und Internet,GUV,S,650300,DIRECT,,2022-02-01,,
KESTREL,00096000,Travel Expenses,Reisekosten,GUV,S,660100,DIRECT,,2022-02-01,,
KESTREL,00096200,Entertainment,Bewirtungskosten,GUV,S,660100,MERGE,,2022-02-01,,"Only 70% is deductible for German tax purposes. The disallowance is a tax-return matter and does not affect the group management P&L; noted so the treatment is not rediscovered later."
KESTREL,00096400,Vehicle Costs,Kfz-Kosten,GUV,S,660200,DIRECT,,2022-02-01,,
KESTREL,00097000,Office Supplies and Postage,Buerobedarf und Porto,GUV,S,670100,DIRECT,,2022-02-01,,
KESTREL,00097200,Bank Charges,Bankgebuehren,GUV,S,670200,DIRECT,,2022-02-01,,
KESTREL,00097400,Contributions and Fees,Beitraege und Gebuehren,GUV,S,670300,DIRECT,,2022-02-01,,
KESTREL,00097900,Other Operating Expenses,Sonstige betriebliche Aufwendungen,GUV,S,670400,DIRECT,,2022-02-01,,
KESTREL,00098000,Restructuring Expense,Restrukturierungsaufwand,GUV,S,680100,SPLIT,"cost_type = 'FACILITY' -> 680200; else 680100",2022-02-01,,
KESTREL,00098200,Transaction Costs,Transaktionskosten,GUV,S,680300,DIRECT,,2022-02-01,,
KESTREL,00098400,Integration Programme Costs,Integrationskosten,GUV,S,680400,DIRECT,,2022-02-01,,
KESTREL,00098600,Litigation and Settlements,Prozesskosten und Vergleiche,GUV,S,680600,DIRECT,,2022-02-01,,
KESTREL,00099000,Management Fees to Affiliates,Verwaltungsumlage verbundene Unternehmen,GUV,S,695100,DIRECT,REQUIRES_PARTNER,2022-02-01,,
KESTREL,00099200,Shared Service Charges from Affiliates,Konzernumlage,GUV,S,695200,DIRECT,REQUIRES_PARTNER,2022-02-01,,
KESTREL,00099400,Licence Fees to Affiliates,Lizenzgebuehren verbundene Unternehmen,GUV,S,695300,DIRECT,REQUIRES_PARTNER,2023-04-01,,
KESTREL,00100000,Interest and Similar Expenses,Zinsen und aehnliche Aufwendungen,GUV,S,730100,SPLIT,"instrument_type = 'RCF' -> 730200; 'LEASE' -> 730300; 'AFFILIATE' -> 795200; else 730100",2022-02-01,,"Kestrel does not separate affiliate interest from third-party interest in the account. The instrument type on the loan master drives the split, and getting it wrong leaves intercompany interest un-eliminated. See CTL-IC-05."
KESTREL,00100200,Interest and Similar Income,Zinsen und aehnliche Ertraege,GUV,H,735100,SPLIT,"instrument_type = 'AFFILIATE' -> 795100; else 735100",2022-02-01,,
KESTREL,00100400,Foreign Currency Result,Waehrungsdifferenzen,GUV,H,740100,SPLIT,"revaluation_flag = TRUE -> 740200; else 740100",2022-02-01,,
KESTREL,00101000,Taxes on Income,Steuern vom Einkommen und Ertrag,GUV,S,810300,DIRECT,,2022-02-01,,"Foreign current tax from the group perspective."
KESTREL,00101200,Deferred Taxes,Latente Steuern,GUV,S,820100,DIRECT,,2022-02-01,,
KESTREL,00101400,Other Taxes,Sonstige Steuern,GUV,S,830100,DIRECT,,2022-02-01,,"German trade tax and similar levies. Presented within income tax at group level rather than in operating expenses."
