control_id,control_name,severity,status,measured,threshold,detail
P6B-16,Every switched-off slicer interaction states its reason,BLOCKING,PASS,0,0,"34 NoFilter edges, each with a reason in the page declaration"
P6B-17,"Slicers are synced by key, default to the reporting close, and pair unit with entity",BLOCKING,PASS,0,0,6 slicer keys across 10 pages
P6B-18,"Every page carries one navigation button per page, each to a page that exists",BLOCKING,PASS,0,0,10 buttons on each of 10 pages
P6B-19,"Every object is on the canvas, analytical objects never overlap, and no page exceeds the density gate",BLOCKING,PASS,0,0,"analytical objects per page {'p01_executive': 5, 'p02_pnl': 3, 'p03_bu': 4, 'p04_balance': 2, 'p05_cash': 2, 'p06_ebitda': 2, 'p07_debt': 3, 'p08_workforce': 4, 'p09_controls': 2, 'p10_lineage': 0}; gate 6"
P6B-24,No page carries a slicer that moves nothing on it,BLOCKING,PASS,0,0,"the balance sheet, cash flow, working capital and covenant marts are consolidated Group facts; a unit or basis slicer beside them would be a control that controls nothing"
P6B-26,Every colour on every page is a named colour of the approved palette,BLOCKING,PASS,0,0,"18 named colours; navy structure and Actual, copper the second tier and the Forecast, green and red favourability alone"
P6B-27,Every font and size on every page is on the type scale,BLOCKING,PASS,0,0,"families ['Consolas', 'Segoe UI', 'Segoe UI Light', 'Segoe UI Semibold']; sizes [8.0, 9.0, 10.0, 11.0, 12.0, 15.0, 16.0, 18.0, 20.0, 26.0]"
P6B-05,"Selecting a business unit narrows every unit-sensitive measure, and the units sum to the Group",BLOCKING,PASS,0,0,"evaluated in the Executive Overview's own scope through Business Unit[bu_name], the slicer's column"
P6B-08,Every Actual measure the report shows is blank after the reporting close,BLOCKING,PASS,0,0,"5 measures at 202609..202612: Actual Adjusted EBITDA, Actual CapEx, Actual Revenue, Gross Profit, Revenue; every month-end trend is scoped to closed months"
P6B-10,The forecast on the page is the version flagged current in the version master,BLOCKING,PASS,0.0000,0.05,"[Forecast Revenue] YTD 278,980,889.76 vs mart default version 278,980,889.76"
P6B-11L,Covenant status reads Indicative off the test date and the mart's verdict on it,BLOCKING,PASS,"{'off_test': 'Indicative', 'on_test': 'Compliant'}","{'off_test': 'Indicative', 'on_test': 'Compliant'}","202608 is not a test date; 202512 is, and the mart says Compliant"
P6B-12L,Capital projects are distinct on the corrected key in the engine and the mart alike,BLOCKING,PASS,"{'engine': 1846, 'mart': 1846, 'dimension': 1846, 'duplicates': 0}","all equal, 0 duplicates",ADR-0026 corrected key
P6B-20,The last native pass in Power BI Desktop rendered every page with zero visual errors,BLOCKING,PASS,"{'pages': 10, 'errors': 0}","{'pages': 10, 'errors': 0}","Desktop 2.157.1354.0 on report build 5348891e5412354b, definition 6230f1c9a8f4246b, project 5095dc8db82aa214, 320.8s"
P6B-21,Every navigation button lands on its page natively,BLOCKING,PASS,"{'total': 10, 'passed': 10, 'results': [['01 Executive Overview', '01 Executive Overview'], ['02 P&L Performance', '02 P&L Performance'], ['03 Business Units & Entities', '03 Business Units & Entities'], ['04 Balance Sheet & Working Capital', '04 Balance Sheet & Working Capital'], ['05 Cash Flow & Liquidity', '05 Cash Flow & Liquidity'], ['06 EBITDA & Variance Bridge', '06 EBITDA & Variance Bridge'], ['07 Debt & Covenants', '07 Debt & Covenants'], ['08 Workforce & CapEx', '08 Workforce & CapEx'], ['09 Consolidation & Controls', '09 Consolidation & Controls'], ['10 Lineage & Technical', '10 Lineage & Technical']]}",10,each rail button pressed in Desktop and the page tab checked
P6B-22,Selecting a business unit natively narrows the Executive Overview,BLOCKING,PASS,"{'unit': 'Industrial Services', 'before': {'Revenue': '279.0', 'Management Adjusted EBITDA': '31.9', 'Closing Cash': '14.6', 'Covenant Net Leverage': '4.21x', 'Variance': '(5.6)', 'Variance Favourability': 'Unfavourable', 'Gross Margin %': '27.2%', 'EBITDA Margin %': '10.1%', 'Operating Cash Flow': '5.0', 'Covenant Net Debt': '243.8', 'Covenant Headroom': '0.29x', 'Closing FTE': '2,477.4', 'Reporting Period': 'Aug 2026'}, 'after': {'Revenue': '84.1', 'Management Adjusted EBITDA': '4.6', 'Closing Cash': '14.6', 'Covenant Net Leverage': '4.21x', 'Variance': '(0.3)', 'Variance Favourability': 'Unfavourable', 'Gross Margin %': '20.1%', 'EBITDA Margin %': '4.6%', 'Operating Cash Flow': '5.0', 'Covenant Net Debt': '243.8', 'Covenant Headroom': '0.29x', 'Closing FTE': '1,051.7', 'Reporting Period': 'Aug 2026'}, 'moved': {'Revenue': ['279.0', '84.1'], 'Management Adjusted EBITDA': ['31.9', '4.6'], 'Variance': ['(5.6)', '(0.3)'], 'Gross Margin %': ['27.2%', '20.1%'], 'EBITDA Margin %': ['10.1%', '4.6%'], 'Closing FTE': ['2,477.4', '1,051.7']}, 'held': {'Closing Cash': '14.6', 'Covenant Net Leverage': '4.21x', 'Variance Favourability': 'Unfavourable', 'Operating Cash Flow': '5.0', 'Covenant Net Debt': '243.8', 'Covenant Headroom': '0.29x', 'Reporting Period': 'Aug 2026'}, 'narrowed': True, 'reset_ok': False, 'restored': {'Revenue': '84.1', 'Management Adjusted EBITDA': '4.6', 'Closing FTE': '1,051.7'}, 'detail': '6 cards moved, 7 held (Group-level measures)'}",narrowed,"6 cards moved, 7 held (Group-level measures)"
P6B-23,The Actual line stops at the reporting close on the native render,BLOCKING,PASS,"{'stops_at_close': True, 'last_actual_px': 489, 'close_px': 493, 'next_month_px': 523, 'detail': 'the Actual line ends at x=489px; 202608 sits at 493px and the next month at 523px'}",stops_at_close,the Actual line ends at x=489px; 202608 sits at 493px and the next month at 523px
P6B-25,Every card Desktop rendered on the Executive Overview shows the engine's value,BLOCKING,PASS,10,10 cards equal,10 cards read from Desktop's accessibility tree and re-evaluated in each tile's own scope
P6B-30,"Revenue on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p01_executive/p_rev_v [Revenue] in its own scope = 278,980,889.78; mart 278,980,889.78 (P6-XAR-01)"
P6B-31,"Gross Profit on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p02_pnl/pnl [Variance Base] in its own scope = 75,980,813.59; mart 75,980,813.59 (P6-XAR-02)"
P6B-32,"Statutory EBITDA on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p02_pnl/pnl [Variance Base] in its own scope = 28,100,907.83; mart 28,100,907.83 (P6-XAR-03)"
P6B-33,"Adjusted EBITDA on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p01_executive/p_ebitda_v [Management Adjusted EBITDA] in its own scope = 31,911,102.90; mart 31,911,102.90 (P6-XAR-04)"
P6B-34,"EBIT on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p02_pnl/pnl [Variance Base] in its own scope = 15,473,409.60; mart 15,473,409.60 (P6-XAR-05)"
P6B-35,"Net Income on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p02_pnl/pnl [Variance Base] in its own scope = -939,022.82; mart -939,022.82 (P6-XAR-06)"
P6B-36,"Cash on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p01_executive/p_cash_v [Closing Cash] in its own scope = 14,579,689.06; mart 14,579,689.06 (P6-XAR-11)"
P6B-37,"Net Debt on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p01_executive/s_nd_v [Covenant Net Debt] in its own scope = 243,759,330.75; mart 243,759,330.75 (P6-XAR-13)"
P6B-38,"Covenant EBITDA on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p07_debt/d_ebitda_v [Covenant EBITDA] in its own scope = 57,842,615.47; mart 57,842,615.47 (P6-XAR-14)"
P6B-39,"Covenant Leverage on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000018,0.0005,p01_executive/p_lev_v [Covenant Net Leverage] in its own scope = 4.21; mart 4.21 (P6-XAR-15)
P6B-40,"Covenant Headroom on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000018,0.0005,p01_executive/s_head_v [Covenant Headroom] in its own scope = 0.29; mart 0.29 (HEADROOM)
P6B-41,"FTE on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p01_executive/s_fte_v [Closing FTE] in its own scope = 2,477.40; mart 2,477.40 (P6-XAR-16)"
P6B-42,"CapEx on the page reconciles report scope, engine and mart",BLOCKING,PASS,0.000000,0.05,"p08_workforce/x_spend_v [Actual CapEx] in its own scope = 1,895,221.42; mart 1,895,221.42 (P6-XAR-17)"
