control_id,control_name,severity,status,measured,threshold,defect_reference,detail
P3-MAP-13,Every posting to a conditional account carries the attribute its rules read,WARNING,SOURCE_FINDING,166 journal lines,166 accepted (SX-002),P2-D-01,"67142 postings carry no attribute their account's rules read. Opening-balance, year-end-close and special-period journals are written without the line attributes the mapping contract requires, so the split cannot be derived. Accepted at 166 journal lines pending Phase 2.3 source correction."
P3-DIM-01,Every entity resolves to a real operating entity,BLOCKING,PASS,0,0,,an elimination entity must never appear in a source extract
P3-DIM-02,Every cost centre resolves to the master,BLOCKING,PASS,0,0,,CTL-DQ-08
P3-DIM-03,Every currency is in the approved set,BLOCKING,PASS,0,0,,"USD, CAD, GBP, EUR"
P3-DIM-04,Every group account resolves to the group chart,BLOCKING,PASS,0,0,,CTL-DQ-08 referential integrity
P3-DIM-05,Every intercompany partner is valid and never the posting entity,BLOCKING,PASS,0,0,,CTL-IC-04
P3-DIM-06,Kestrel's native cost centre agrees with the resolved one,BLOCKING,PASS,0,0,,"Aurora and Sable carry no cost centre and one is resolved from the department; Kestrel carries KOSTL, and the same resolution must reproduce it"
P3-DIM-07,No dimension has a duplicate natural key,BLOCKING,PASS,[],0,,"including effective-dated dimensions, where a duplicate key would make the as-at lookup non-deterministic"
P3-DIM-08,Intercompany postings carry a partner,BLOCKING,SOURCE_FINDING,5248 journal lines,5248 accepted (SX-006),P2-D-03,"CTL-IC-04. The invoice leg of every intercompany flow carries its counterparty; the cash settlement leg, the treasury current account and the intercompany loans do not, so an intercompany BALANCE cannot be attributed to an entity pair. The opening balance and the year-end close are excluded as positions rather than transactions. Accepted at 5248 journal lines pending Phase 4 elimination engine."
P3-DIM-09,Affiliate interest is separated from third-party interest,BLOCKING,PASS,0,0,,"CTL-IC-05: affiliate interest left in the third-party accounts overstates consolidated net interest, because it does not eliminate"
P3-DIM-10,FX rates are complete for every currency and period in use,BLOCKING,PASS,0,0,,"CTL-FX-01. A missing rate must block the period, not translate at zero"
P3-REC-01,Source amounts survive standardisation,BLOCKING,PASS,0.0,0.01,,"absolute value by ERP, before and after sign normalisation"
P3-REC-02,Mapped income statement reconciles to the source-layer target,BLOCKING,PASS,0.000000%,0.5%,,"revenue, cost of sales and operating expense, FY2023-FY2025, against config/anchors/phase02_source_layer_targets.csv"
P3-REC-03,Mapped balance sheet agrees with the acceptance oracle,WARNING,SOURCE_FINDING,6 balance sheet caption-years,6 accepted (SX-003),P2-D-01,worst 2.3344m (28.55%). Contract assets and prepayments differ because seven Kestrel postings to 00017000 carry no accrual type and resolve to the default branch. Accepted at 6 balance sheet caption-years pending Phase 2.3 source correction.
P3-REC-04,Mapped balance sheet reconciles to the source-layer target,BLOCKING,PASS,0.008817%,1.0%,,four captions carry a documented source finding and are reported separately by P3-REC-03 and P3-REC-08
P3-REC-05,Revenue detail reconciles to the mapped general ledger,BLOCKING,PASS,0.0,0.05,,ADR-0008: customer and product detail lives in its own fact at its own grain and must tie to the ledger. It is never pushed into the journal-line fact
P3-REC-06,Gross margin by business unit reproduces the anchor,BLOCKING,PASS,0.000000pp,0.01pp,,THE control that catches a mapping which is wrong but still balances: move production payroll into SG&A and every other control still passes
P3-REC-07,External revenue by entity reproduces the anchor,BLOCKING,PASS,0.0,0.01,,FY2023-FY2025
P3-REC-08,The trial balance fact ties to the journal-line fact,BLOCKING,PASS,0.0000,0.02,,"the aggregate is built from the detail, so the two cannot drift apart"
P3-REC-09,Planning data is complete and no reserved version leaks,BLOCKING,PASS,"['BUD_FY26_V1', 'FC_FY26_02', 'FC_FY26_05', 'FC_FY26_08'], reserved rows 0","['BUD_FY26_V1', 'FC_FY26_02', 'FC_FY26_05', 'FC_FY26_08'], 0",,"CTL-SCN-06. Superseded forecasts are retained; the Downside shell is not populated; Prior Year is derived, never stored (ADR-0004)"
P3-REC-11,Special-period reclassifications stay inside one anchored caption,WARNING,SOURCE_FINDING,6 balance sheet caption-years,6 accepted (SX-007),P2-D-04,"worst 0.126m. Kestrel special period 15 reallocates between corporate income tax and trade tax, which moves an amount from the income-taxes-payable caption into accrued liabilities. P2-FMT-09 tested that a special period does not move the year's RESULT; it does not test the balance sheet captions. Accepted at 6 balance sheet caption-years pending Phase 2.3 source correction."
P3-REC-10,Prior Year is not materialised as a scenario,BLOCKING,PASS,0,0,,ADR-0004: derived by date offset from Actual
P3-BR-01,Every operating entity carries direct labour in cost of sales,BLOCKING,PASS,[],0,,an entity that manufactures or delivers with no direct labour has had its payroll mapped into operating expenses
P3-BR-02,Payroll splits plausibly across the gross margin line,WARNING,PASS,0.3675,0.4,,the share of employment cost inside cost of sales stays inside a plausible band for a manufacturing or services unit; this is the shape CTL-MAP-04 protects
P3-BR-03,No cumulative translation adjustment or reserve exists at layer 1,BLOCKING,PASS,0,0,,CTA is created by translation at layer 5 and NCI by consolidation at layer 3. A source-layer balancing plug is a blocking defect (ADR-0017)
P3-ADJ-01,Phase 3 posts no group adjustment,BLOCKING,PASS,0,0,,the staging table exists so the consolidation engine has somewhere to raise a top-side entry; ingestion never writes to it
P3-ADJ-02,Phase 3 produces layer 1 only,BLOCKING,PASS,[1],[1],,"no elimination, no consolidation adjustment, no management layer, no CTA"
P3-CMP-01,Every entity has every period from its effective date,BLOCKING,PASS,0,0,,[]
P3-CMP-02,No entity posts before its consolidation effective date,BLOCKING,PASS,0,0,,"CTL-CON-02, tested at ingestion rather than at consolidation"
P3-CMP-03,Group accounts with no source postings,INFO,PASS,"{'CREATED_BY_CONSOLIDATION': 10, 'CREATED_BY_TRANSLATION': 3, 'MAPPED_BUT_UNUSED': 23, 'NO_SOURCE_ACCOUNT_MAPS_HERE': 5, 'POSTED': 134, 'STATISTICAL_NOT_IN_LEDGER': 13}","reported, not failed",,CTL-MAP-06: an account created by translation or consolidation is expected to be empty at layer 1; an account a source chart maps to and never posts is not
