product_code,product_name,product_family,product_family_code,product_line,bu_code,revenue_type,recognition_method,is_aftermarket,standard_margin_pct,is_active
PUMP-501,Centrifugal Pumps Series 500 Model 01,Centrifugal Pumps,PUMP,PUMP-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3223,TRUE
PUMP-502,Centrifugal Pumps Series 500 Model 02,Centrifugal Pumps,PUMP,PUMP-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3691,TRUE
PUMP-503,Centrifugal Pumps Series 500 Model 03,Centrifugal Pumps,PUMP,PUMP-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3533,TRUE
VALVE-101,Control Valves Series 100 Model 01,Control Valves,VALVE,VALVE-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3746,TRUE
VALVE-102,Control Valves Series 100 Model 02,Control Valves,VALVE,VALVE-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3468,TRUE
VALVE-201,Control Valves Series 200 Model 01,Control Valves,VALVE,VALVE-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3651,TRUE
VALVE-202,Control Valves Series 200 Model 02,Control Valves,VALVE,VALVE-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3359,TRUE
VALVE-203,Control Valves Series 200 Model 03,Control Valves,VALVE,VALVE-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3622,TRUE
VALVE-301,Control Valves Series 300 Model 01,Control Valves,VALVE,VALVE-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3503,TRUE
VALVE-302,Control Valves Series 300 Model 02,Control Valves,VALVE,VALVE-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3017,TRUE
VALVE-401,Control Valves Series 400 Model 01,Control Valves,VALVE,VALVE-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.371,TRUE
VALVE-402,Control Valves Series 400 Model 02,Control Valves,VALVE,VALVE-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3379,TRUE
VALVE-403,Control Valves Series 400 Model 03,Control Valves,VALVE,VALVE-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.311,TRUE
VALVE-501,Control Valves Series 500 Model 01,Control Valves,VALVE,VALVE-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3628,TRUE
VALVE-502,Control Valves Series 500 Model 02,Control Valves,VALVE,VALVE-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3353,TRUE
VALVE-503,Control Valves Series 500 Model 03,Control Valves,VALVE,VALVE-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3429,TRUE
INSTR-101,Flow Instrumentation Series 100 Model 01,Flow Instrumentation,INSTR,INSTR-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3316,TRUE
INSTR-102,Flow Instrumentation Series 100 Model 02,Flow Instrumentation,INSTR,INSTR-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3167,TRUE
INSTR-201,Flow Instrumentation Series 200 Model 01,Flow Instrumentation,INSTR,INSTR-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3665,TRUE
INSTR-202,Flow Instrumentation Series 200 Model 02,Flow Instrumentation,INSTR,INSTR-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3454,TRUE
INSTR-203,Flow Instrumentation Series 200 Model 03,Flow Instrumentation,INSTR,INSTR-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3566,TRUE
INSTR-301,Flow Instrumentation Series 300 Model 01,Flow Instrumentation,INSTR,INSTR-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.375,TRUE
INSTR-302,Flow Instrumentation Series 300 Model 02,Flow Instrumentation,INSTR,INSTR-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3753,TRUE
INSTR-303,Flow Instrumentation Series 300 Model 03,Flow Instrumentation,INSTR,INSTR-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3243,TRUE
INSTR-401,Flow Instrumentation Series 400 Model 01,Flow Instrumentation,INSTR,INSTR-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.374,TRUE
INSTR-402,Flow Instrumentation Series 400 Model 02,Flow Instrumentation,INSTR,INSTR-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3652,TRUE
INSTR-403,Flow Instrumentation Series 400 Model 03,Flow Instrumentation,INSTR,INSTR-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3456,TRUE
INSTR-404,Flow Instrumentation Series 400 Model 04,Flow Instrumentation,INSTR,INSTR-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3649,TRUE
INSTR-501,Flow Instrumentation Series 500 Model 01,Flow Instrumentation,INSTR,INSTR-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3164,TRUE
INSTR-502,Flow Instrumentation Series 500 Model 02,Flow Instrumentation,INSTR,INSTR-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3592,TRUE
INSTR-503,Flow Instrumentation Series 500 Model 03,Flow Instrumentation,INSTR,INSTR-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3579,TRUE
INSTR-504,Flow Instrumentation Series 500 Model 04,Flow Instrumentation,INSTR,INSTR-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3645,TRUE
ACT-101,Actuators Series 100 Model 01,Actuators,ACT,ACT-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3003,TRUE
ACT-102,Actuators Series 100 Model 02,Actuators,ACT,ACT-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3405,TRUE
ACT-103,Actuators Series 100 Model 03,Actuators,ACT,ACT-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3422,TRUE
ACT-104,Actuators Series 100 Model 04,Actuators,ACT,ACT-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3703,TRUE
ACT-201,Actuators Series 200 Model 01,Actuators,ACT,ACT-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.387,TRUE
ACT-202,Actuators Series 200 Model 02,Actuators,ACT,ACT-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3475,TRUE
ACT-301,Actuators Series 300 Model 01,Actuators,ACT,ACT-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.382,TRUE
ACT-302,Actuators Series 300 Model 02,Actuators,ACT,ACT-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3677,TRUE
ACT-303,Actuators Series 300 Model 03,Actuators,ACT,ACT-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3736,TRUE
ACT-401,Actuators Series 400 Model 01,Actuators,ACT,ACT-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3448,TRUE
ACT-402,Actuators Series 400 Model 02,Actuators,ACT,ACT-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3444,TRUE
ACT-403,Actuators Series 400 Model 03,Actuators,ACT,ACT-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3009,TRUE
ACT-501,Actuators Series 500 Model 01,Actuators,ACT,ACT-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3478,TRUE
ACT-502,Actuators Series 500 Model 02,Actuators,ACT,ACT-500,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3652,TRUE
FMS-101,Field Mechanical Services Series 100 Model 01,Field Mechanical Services,FMS,FMS-100,IS,SERVICE,OVER_TIME,FALSE,0.2448,TRUE
FMS-102,Field Mechanical Services Series 100 Model 02,Field Mechanical Services,FMS,FMS-100,IS,SERVICE,OVER_TIME,FALSE,0.2133,TRUE
FMS-103,Field Mechanical Services Series 100 Model 03,Field Mechanical Services,FMS,FMS-100,IS,SERVICE,OVER_TIME,FALSE,0.226,TRUE
FMS-201,Field Mechanical Services Series 200 Model 01,Field Mechanical Services,FMS,FMS-200,IS,SERVICE,OVER_TIME,FALSE,0.2475,TRUE
FMS-202,Field Mechanical Services Series 200 Model 02,Field Mechanical Services,FMS,FMS-200,IS,SERVICE,OVER_TIME,FALSE,0.2076,TRUE
FMS-203,Field Mechanical Services Series 200 Model 03,Field Mechanical Services,FMS,FMS-200,IS,SERVICE,OVER_TIME,FALSE,0.249,TRUE
FMS-204,Field Mechanical Services Series 200 Model 04,Field Mechanical Services,FMS,FMS-200,IS,SERVICE,OVER_TIME,FALSE,0.2258,TRUE
FMS-301,Field Mechanical Services Series 300 Model 01,Field Mechanical Services,FMS,FMS-300,IS,SERVICE,OVER_TIME,FALSE,0.2018,TRUE
FMS-302,Field Mechanical Services Series 300 Model 02,Field Mechanical Services,FMS,FMS-300,IS,SERVICE,OVER_TIME,FALSE,0.2333,TRUE
FMS-401,Field Mechanical Services Series 400 Model 01,Field Mechanical Services,FMS,FMS-400,IS,SERVICE,OVER_TIME,FALSE,0.2028,TRUE
FMS-402,Field Mechanical Services Series 400 Model 02,Field Mechanical Services,FMS,FMS-400,IS,SERVICE,OVER_TIME,FALSE,0.2177,TRUE
FMS-403,Field Mechanical Services Series 400 Model 03,Field Mechanical Services,FMS,FMS-400,IS,SERVICE,OVER_TIME,FALSE,0.2016,TRUE
FMS-501,Field Mechanical Services Series 500 Model 01,Field Mechanical Services,FMS,FMS-500,IS,SERVICE,OVER_TIME,FALSE,0.225,TRUE
FMS-502,Field Mechanical Services Series 500 Model 02,Field Mechanical Services,FMS,FMS-500,IS,SERVICE,OVER_TIME,FALSE,0.2495,TRUE
ROT-101,Rotating Equipment Series 100 Model 01,Rotating Equipment,ROT,ROT-100,IS,SERVICE,OVER_TIME,FALSE,0.206,TRUE
ROT-102,Rotating Equipment Series 100 Model 02,Rotating Equipment,ROT,ROT-100,IS,SERVICE,OVER_TIME,FALSE,0.2469,TRUE
ROT-103,Rotating Equipment Series 100 Model 03,Rotating Equipment,ROT,ROT-100,IS,SERVICE,OVER_TIME,FALSE,0.2229,TRUE
ROT-104,Rotating Equipment Series 100 Model 04,Rotating Equipment,ROT,ROT-100,IS,SERVICE,OVER_TIME,FALSE,0.1941,TRUE
ROT-201,Rotating Equipment Series 200 Model 01,Rotating Equipment,ROT,ROT-200,IS,SERVICE,OVER_TIME,FALSE,0.2149,TRUE
ROT-202,Rotating Equipment Series 200 Model 02,Rotating Equipment,ROT,ROT-200,IS,SERVICE,OVER_TIME,FALSE,0.2022,TRUE
ROT-203,Rotating Equipment Series 200 Model 03,Rotating Equipment,ROT,ROT-200,IS,SERVICE,OVER_TIME,FALSE,0.2274,TRUE
ROT-301,Rotating Equipment Series 300 Model 01,Rotating Equipment,ROT,ROT-300,IS,SERVICE,OVER_TIME,FALSE,0.2446,TRUE
ROT-302,Rotating Equipment Series 300 Model 02,Rotating Equipment,ROT,ROT-300,IS,SERVICE,OVER_TIME,FALSE,0.2018,TRUE
ROT-401,Rotating Equipment Series 400 Model 01,Rotating Equipment,ROT,ROT-400,IS,SERVICE,OVER_TIME,FALSE,0.2156,TRUE
ROT-402,Rotating Equipment Series 400 Model 02,Rotating Equipment,ROT,ROT-400,IS,SERVICE,OVER_TIME,FALSE,0.1948,TRUE
ROT-501,Rotating Equipment Series 500 Model 01,Rotating Equipment,ROT,ROT-500,IS,SERVICE,OVER_TIME,FALSE,0.2452,TRUE
ROT-502,Rotating Equipment Series 500 Model 02,Rotating Equipment,ROT,ROT-500,IS,SERVICE,OVER_TIME,FALSE,0.2221,TRUE
ROT-503,Rotating Equipment Series 500 Model 03,Rotating Equipment,ROT,ROT-500,IS,SERVICE,OVER_TIME,FALSE,0.2377,TRUE
TAR-101,Turnaround Services Series 100 Model 01,Turnaround Services,TAR,TAR-100,IS,SERVICE,OVER_TIME,FALSE,0.2505,TRUE
TAR-102,Turnaround Services Series 100 Model 02,Turnaround Services,TAR,TAR-100,IS,SERVICE,OVER_TIME,FALSE,0.2247,TRUE
TAR-201,Turnaround Services Series 200 Model 01,Turnaround Services,TAR,TAR-200,IS,SERVICE,OVER_TIME,FALSE,0.2159,TRUE
TAR-202,Turnaround Services Series 200 Model 02,Turnaround Services,TAR,TAR-200,IS,SERVICE,OVER_TIME,FALSE,0.222,TRUE
TAR-203,Turnaround Services Series 200 Model 03,Turnaround Services,TAR,TAR-200,IS,SERVICE,OVER_TIME,FALSE,0.2318,TRUE
TAR-301,Turnaround Services Series 300 Model 01,Turnaround Services,TAR,TAR-300,IS,SERVICE,OVER_TIME,FALSE,0.2199,TRUE
TAR-302,Turnaround Services Series 300 Model 02,Turnaround Services,TAR,TAR-300,IS,SERVICE,OVER_TIME,FALSE,0.2362,TRUE
TAR-401,Turnaround Services Series 400 Model 01,Turnaround Services,TAR,TAR-400,IS,SERVICE,OVER_TIME,FALSE,0.1942,TRUE
TAR-402,Turnaround Services Series 400 Model 02,Turnaround Services,TAR,TAR-400,IS,SERVICE,OVER_TIME,FALSE,0.2457,TRUE
TAR-403,Turnaround Services Series 400 Model 03,Turnaround Services,TAR,TAR-400,IS,SERVICE,OVER_TIME,FALSE,0.231,TRUE
TAR-501,Turnaround Services Series 500 Model 01,Turnaround Services,TAR,TAR-500,IS,SERVICE,OVER_TIME,FALSE,0.2019,TRUE
TAR-502,Turnaround Services Series 500 Model 02,Turnaround Services,TAR,TAR-500,IS,SERVICE,OVER_TIME,FALSE,0.2314,TRUE
TAR-503,Turnaround Services Series 500 Model 03,Turnaround Services,TAR,TAR-500,IS,SERVICE,OVER_TIME,FALSE,0.1949,TRUE
INSP-101,Inspection & Testing Series 100 Model 01,Inspection & Testing,INSP,INSP-100,IS,SERVICE,OVER_TIME,FALSE,0.2191,TRUE
INSP-102,Inspection & Testing Series 100 Model 02,Inspection & Testing,INSP,INSP-100,IS,SERVICE,OVER_TIME,FALSE,0.2002,TRUE
INSP-103,Inspection & Testing Series 100 Model 03,Inspection & Testing,INSP,INSP-100,IS,SERVICE,OVER_TIME,FALSE,0.2353,TRUE
INSP-104,Inspection & Testing Series 100 Model 04,Inspection & Testing,INSP,INSP-100,IS,SERVICE,OVER_TIME,FALSE,0.2381,TRUE
INSP-201,Inspection & Testing Series 200 Model 01,Inspection & Testing,INSP,INSP-200,IS,SERVICE,OVER_TIME,FALSE,0.2321,TRUE
INSP-202,Inspection & Testing Series 200 Model 02,Inspection & Testing,INSP,INSP-200,IS,SERVICE,OVER_TIME,FALSE,0.2186,TRUE
INSP-203,Inspection & Testing Series 200 Model 03,Inspection & Testing,INSP,INSP-200,IS,SERVICE,OVER_TIME,FALSE,0.205,TRUE
INSP-301,Inspection & Testing Series 300 Model 01,Inspection & Testing,INSP,INSP-300,IS,SERVICE,OVER_TIME,FALSE,0.2385,TRUE
INSP-302,Inspection & Testing Series 300 Model 02,Inspection & Testing,INSP,INSP-300,IS,SERVICE,OVER_TIME,FALSE,0.207,TRUE
INSP-401,Inspection & Testing Series 400 Model 01,Inspection & Testing,INSP,INSP-400,IS,SERVICE,OVER_TIME,FALSE,0.2367,TRUE
INSP-402,Inspection & Testing Series 400 Model 02,Inspection & Testing,INSP,INSP-400,IS,SERVICE,OVER_TIME,FALSE,0.2136,TRUE
INSP-403,Inspection & Testing Series 400 Model 03,Inspection & Testing,INSP,INSP-400,IS,SERVICE,OVER_TIME,FALSE,0.214,TRUE
INSP-404,Inspection & Testing Series 400 Model 04,Inspection & Testing,INSP,INSP-400,IS,SERVICE,OVER_TIME,FALSE,0.1965,TRUE
INSP-501,Inspection & Testing Series 500 Model 01,Inspection & Testing,INSP,INSP-500,IS,SERVICE,OVER_TIME,FALSE,0.2041,TRUE
INSP-502,Inspection & Testing Series 500 Model 02,Inspection & Testing,INSP,INSP-500,IS,SERVICE,OVER_TIME,FALSE,0.2064,TRUE
SKID-101,Engineered Skid Packages Series 100 Model 01,Engineered Skid Packages,SKID,SKID-100,ES,PROJECT,OVER_TIME,FALSE,0.1894,TRUE
SKID-102,Engineered Skid Packages Series 100 Model 02,Engineered Skid Packages,SKID,SKID-100,ES,PROJECT,OVER_TIME,FALSE,0.1957,TRUE
SKID-103,Engineered Skid Packages Series 100 Model 03,Engineered Skid Packages,SKID,SKID-100,ES,PROJECT,OVER_TIME,FALSE,0.2104,TRUE
SKID-201,Engineered Skid Packages Series 200 Model 01,Engineered Skid Packages,SKID,SKID-200,ES,PROJECT,OVER_TIME,FALSE,0.1975,TRUE
SKID-202,Engineered Skid Packages Series 200 Model 02,Engineered Skid Packages,SKID,SKID-200,ES,PROJECT,OVER_TIME,FALSE,0.171,TRUE
SKID-203,Engineered Skid Packages Series 200 Model 03,Engineered Skid Packages,SKID,SKID-200,ES,PROJECT,OVER_TIME,FALSE,0.2067,TRUE
SKID-204,Engineered Skid Packages Series 200 Model 04,Engineered Skid Packages,SKID,SKID-200,ES,PROJECT,OVER_TIME,FALSE,0.197,TRUE
SKID-301,Engineered Skid Packages Series 300 Model 01,Engineered Skid Packages,SKID,SKID-300,ES,PROJECT,OVER_TIME,FALSE,0.2071,TRUE
SKID-302,Engineered Skid Packages Series 300 Model 02,Engineered Skid Packages,SKID,SKID-300,ES,PROJECT,OVER_TIME,FALSE,0.1754,TRUE
SKID-401,Engineered Skid Packages Series 400 Model 01,Engineered Skid Packages,SKID,SKID-400,ES,PROJECT,OVER_TIME,FALSE,0.1831,TRUE
SKID-402,Engineered Skid Packages Series 400 Model 02,Engineered Skid Packages,SKID,SKID-400,ES,PROJECT,OVER_TIME,FALSE,0.1998,TRUE
SKID-403,Engineered Skid Packages Series 400 Model 03,Engineered Skid Packages,SKID,SKID-400,ES,PROJECT,OVER_TIME,FALSE,0.1755,TRUE
SKID-404,Engineered Skid Packages Series 400 Model 04,Engineered Skid Packages,SKID,SKID-400,ES,PROJECT,OVER_TIME,FALSE,0.2048,TRUE
SKID-501,Engineered Skid Packages Series 500 Model 01,Engineered Skid Packages,SKID,SKID-500,ES,PROJECT,OVER_TIME,FALSE,0.1771,TRUE
SKID-502,Engineered Skid Packages Series 500 Model 02,Engineered Skid Packages,SKID,SKID-500,ES,PROJECT,OVER_TIME,FALSE,0.188,TRUE
AUTO-101,Automation & Controls Series 100 Model 01,Automation & Controls,AUTO,AUTO-100,ES,PROJECT,OVER_TIME,FALSE,0.174,TRUE
AUTO-102,Automation & Controls Series 100 Model 02,Automation & Controls,AUTO,AUTO-100,ES,PROJECT,OVER_TIME,FALSE,0.2093,TRUE
AUTO-103,Automation & Controls Series 100 Model 03,Automation & Controls,AUTO,AUTO-100,ES,PROJECT,OVER_TIME,FALSE,0.1794,TRUE
AUTO-104,Automation & Controls Series 100 Model 04,Automation & Controls,AUTO,AUTO-100,ES,PROJECT,OVER_TIME,FALSE,0.1909,TRUE
AUTO-201,Automation & Controls Series 200 Model 01,Automation & Controls,AUTO,AUTO-200,ES,PROJECT,OVER_TIME,FALSE,0.2108,TRUE
AUTO-202,Automation & Controls Series 200 Model 02,Automation & Controls,AUTO,AUTO-200,ES,PROJECT,OVER_TIME,FALSE,0.188,TRUE
AUTO-203,Automation & Controls Series 200 Model 03,Automation & Controls,AUTO,AUTO-200,ES,PROJECT,OVER_TIME,FALSE,0.1946,TRUE
AUTO-301,Automation & Controls Series 300 Model 01,Automation & Controls,AUTO,AUTO-300,ES,PROJECT,OVER_TIME,FALSE,0.1993,TRUE
AUTO-302,Automation & Controls Series 300 Model 02,Automation & Controls,AUTO,AUTO-300,ES,PROJECT,OVER_TIME,FALSE,0.1909,TRUE
AUTO-401,Automation & Controls Series 400 Model 01,Automation & Controls,AUTO,AUTO-400,ES,PROJECT,OVER_TIME,FALSE,0.1685,TRUE
AUTO-402,Automation & Controls Series 400 Model 02,Automation & Controls,AUTO,AUTO-400,ES,PROJECT,OVER_TIME,FALSE,0.1746,TRUE
AUTO-403,Automation & Controls Series 400 Model 03,Automation & Controls,AUTO,AUTO-400,ES,PROJECT,OVER_TIME,FALSE,0.2032,TRUE
AUTO-501,Automation & Controls Series 500 Model 01,Automation & Controls,AUTO,AUTO-500,ES,PROJECT,OVER_TIME,FALSE,0.1879,TRUE
AUTO-502,Automation & Controls Series 500 Model 02,Automation & Controls,AUTO,AUTO-500,ES,PROJECT,OVER_TIME,FALSE,0.1762,TRUE
AUTO-503,Automation & Controls Series 500 Model 03,Automation & Controls,AUTO,AUTO-500,ES,PROJECT,OVER_TIME,FALSE,0.1758,TRUE
AUTO-504,Automation & Controls Series 500 Model 04,Automation & Controls,AUTO,AUTO-500,ES,PROJECT,OVER_TIME,FALSE,0.1783,TRUE
SI-101,Systems Integration Series 100 Model 01,Systems Integration,SI,SI-100,ES,PROJECT,OVER_TIME,FALSE,0.1702,TRUE
SI-102,Systems Integration Series 100 Model 02,Systems Integration,SI,SI-100,ES,PROJECT,OVER_TIME,FALSE,0.1888,TRUE
SI-201,Systems Integration Series 200 Model 01,Systems Integration,SI,SI-200,ES,PROJECT,OVER_TIME,FALSE,0.1862,TRUE
SI-202,Systems Integration Series 200 Model 02,Systems Integration,SI,SI-200,ES,PROJECT,OVER_TIME,FALSE,0.2026,TRUE
SI-203,Systems Integration Series 200 Model 03,Systems Integration,SI,SI-200,ES,PROJECT,OVER_TIME,FALSE,0.2028,TRUE
SI-204,Systems Integration Series 200 Model 04,Systems Integration,SI,SI-200,ES,PROJECT,OVER_TIME,FALSE,0.1739,TRUE
SI-301,Systems Integration Series 300 Model 01,Systems Integration,SI,SI-300,ES,PROJECT,OVER_TIME,FALSE,0.1803,TRUE
SI-302,Systems Integration Series 300 Model 02,Systems Integration,SI,SI-300,ES,PROJECT,OVER_TIME,FALSE,0.2029,TRUE
SI-303,Systems Integration Series 300 Model 03,Systems Integration,SI,SI-300,ES,PROJECT,OVER_TIME,FALSE,0.1739,TRUE
SI-401,Systems Integration Series 400 Model 01,Systems Integration,SI,SI-400,ES,PROJECT,OVER_TIME,FALSE,0.1698,TRUE
SI-402,Systems Integration Series 400 Model 02,Systems Integration,SI,SI-400,ES,PROJECT,OVER_TIME,FALSE,0.2145,TRUE
SI-403,Systems Integration Series 400 Model 03,Systems Integration,SI,SI-400,ES,PROJECT,OVER_TIME,FALSE,0.1701,TRUE
SI-501,Systems Integration Series 500 Model 01,Systems Integration,SI,SI-500,ES,PROJECT,OVER_TIME,FALSE,0.1743,TRUE
SI-502,Systems Integration Series 500 Model 02,Systems Integration,SI,SI-500,ES,PROJECT,OVER_TIME,FALSE,0.1846,TRUE
SI-503,Systems Integration Series 500 Model 03,Systems Integration,SI,SI-500,ES,PROJECT,OVER_TIME,FALSE,0.1741,TRUE
SI-504,Systems Integration Series 500 Model 04,Systems Integration,SI,SI-500,ES,PROJECT,OVER_TIME,FALSE,0.2066,TRUE
PSPARE-101,Pump Spares Series 100 Model 01,Pump Spares,PSPARE,PSPARE-100,AM,PARTS,POINT_IN_TIME,TRUE,0.386,TRUE
PSPARE-102,Pump Spares Series 100 Model 02,Pump Spares,PSPARE,PSPARE-100,AM,PARTS,POINT_IN_TIME,TRUE,0.4276,TRUE
PSPARE-103,Pump Spares Series 100 Model 03,Pump Spares,PSPARE,PSPARE-100,AM,PARTS,POINT_IN_TIME,TRUE,0.4691,TRUE
PSPARE-201,Pump Spares Series 200 Model 01,Pump Spares,PSPARE,PSPARE-200,AM,PARTS,POINT_IN_TIME,TRUE,0.448,TRUE
PSPARE-202,Pump Spares Series 200 Model 02,Pump Spares,PSPARE,PSPARE-200,AM,PARTS,POINT_IN_TIME,TRUE,0.4366,TRUE
PSPARE-203,Pump Spares Series 200 Model 03,Pump Spares,PSPARE,PSPARE-200,AM,PARTS,POINT_IN_TIME,TRUE,0.3786,TRUE
PSPARE-204,Pump Spares Series 200 Model 04,Pump Spares,PSPARE,PSPARE-200,AM,PARTS,POINT_IN_TIME,TRUE,0.485,TRUE
PSPARE-301,Pump Spares Series 300 Model 01,Pump Spares,PSPARE,PSPARE-300,AM,PARTS,POINT_IN_TIME,TRUE,0.4371,TRUE
PSPARE-302,Pump Spares Series 300 Model 02,Pump Spares,PSPARE,PSPARE-300,AM,PARTS,POINT_IN_TIME,TRUE,0.4549,TRUE
PSPARE-303,Pump Spares Series 300 Model 03,Pump Spares,PSPARE,PSPARE-300,AM,PARTS,POINT_IN_TIME,TRUE,0.4701,TRUE
PSPARE-304,Pump Spares Series 300 Model 04,Pump Spares,PSPARE,PSPARE-300,AM,PARTS,POINT_IN_TIME,TRUE,0.4199,TRUE
PSPARE-401,Pump Spares Series 400 Model 01,Pump Spares,PSPARE,PSPARE-400,AM,PARTS,POINT_IN_TIME,TRUE,0.4563,TRUE
PSPARE-402,Pump Spares Series 400 Model 02,Pump Spares,PSPARE,PSPARE-400,AM,PARTS,POINT_IN_TIME,TRUE,0.4239,TRUE
PSPARE-403,Pump Spares Series 400 Model 03,Pump Spares,PSPARE,PSPARE-400,AM,PARTS,POINT_IN_TIME,TRUE,0.4593,TRUE
PSPARE-404,Pump Spares Series 400 Model 04,Pump Spares,PSPARE,PSPARE-400,AM,PARTS,POINT_IN_TIME,TRUE,0.4574,TRUE
PSPARE-501,Pump Spares Series 500 Model 01,Pump Spares,PSPARE,PSPARE-500,AM,PARTS,POINT_IN_TIME,TRUE,0.453,TRUE
PSPARE-502,Pump Spares Series 500 Model 02,Pump Spares,PSPARE,PSPARE-500,AM,PARTS,POINT_IN_TIME,TRUE,0.469,TRUE
PSPARE-503,Pump Spares Series 500 Model 03,Pump Spares,PSPARE,PSPARE-500,AM,PARTS,POINT_IN_TIME,TRUE,0.4886,TRUE
PSPARE-504,Pump Spares Series 500 Model 04,Pump Spares,PSPARE,PSPARE-500,AM,PARTS,POINT_IN_TIME,TRUE,0.4889,TRUE
VSPARE-101,Valve Spares Series 100 Model 01,Valve Spares,VSPARE,VSPARE-100,AM,PARTS,POINT_IN_TIME,TRUE,0.4574,TRUE
VSPARE-102,Valve Spares Series 100 Model 02,Valve Spares,VSPARE,VSPARE-100,AM,PARTS,POINT_IN_TIME,TRUE,0.4034,TRUE
