customer_code,customer_name,customer_group_code,customer_group_name,industry_sector,country_code,billing_entity,channel,payment_terms_days,first_order_date,is_key_account,is_active
C2000030,Ironside Water Partners - 200 030,CG0034,Ironside Water Partners,Power Generation,US,NIG-200,DIRECT,90,2022-09-29,FALSE,TRUE
C2000031,Ironside Metals LLC - 200 031,CG0234,Ironside Metals LLC,Water Treatment,US,NIG-200,DIRECT,45,2019-10-31,FALSE,TRUE
C2000032,Baytown Utilities Ltd. - 200 032,CG0002,Baytown Utilities Ltd.,Refining & Petrochemical,US,NIG-200,DISTRIBUTOR,45,2021-02-21,TRUE,TRUE
C2000033,Baytown Utilities Ltd. - 200 033,CG0002,Baytown Utilities Ltd.,Pharmaceutical,US,NIG-200,DISTRIBUTOR,30,2022-07-09,TRUE,TRUE
C2000034,Ashford Chemicals Corporation - 200 034,CG0001,Ashford Chemicals Corporation,Refining & Petrochemical,US,NIG-200,DIRECT,75,2020-09-15,TRUE,TRUE
C2000035,Larkfield Energy Works - 200 035,CG0087,Larkfield Energy Works,General Industrial,US,NIG-200,DISTRIBUTOR,75,2021-03-26,FALSE,TRUE
C2000036,Foxbridge Metals LLC - 200 036,CG0006,Foxbridge Metals LLC,Food & Beverage,US,NIG-200,DIRECT,30,2023-08-15,TRUE,TRUE
C2000037,Baytown Utilities Ltd. - 200 037,CG0002,Baytown Utilities Ltd.,Power Generation,US,NIG-200,DISTRIBUTOR,45,2025-03-11,TRUE,TRUE
C2000038,Quarry Hill Petrochemical plc - 200 038,CG0017,Quarry Hill Petrochemical plc,Water Treatment,US,NIG-200,DIRECT,60,2019-11-30,TRUE,TRUE
C2000039,Upton Minerals Holdings - 200 039,CG0021,Upton Minerals Holdings,Food & Beverage,US,NIG-200,DIRECT,60,2020-09-06,TRUE,TRUE
C2000040,Ashford Foods Group - 200 040,CG0076,Ashford Foods Group,Pharmaceutical,US,NIG-200,DIRECT,90,2020-10-04,FALSE,TRUE
C2000041,Ashford Chemicals Corporation - 200 041,CG0001,Ashford Chemicals Corporation,Pharmaceutical,US,NIG-200,DIRECT,45,2023-08-04,TRUE,TRUE
C2000042,Cedar Ridge Energy Works - 200 042,CG0003,Cedar Ridge Energy Works,Mining & Minerals,US,NIG-200,DIRECT,60,2019-07-28,TRUE,TRUE
C2000043,Ironside Minerals Holdings - 200 043,CG0009,Ironside Minerals Holdings,Pharmaceutical,US,NIG-200,DIRECT,90,2022-07-14,TRUE,TRUE
C2000044,Baytown Processing GmbH - 200 044,CG0127,Baytown Processing GmbH,Mining & Minerals,US,NIG-200,DISTRIBUTOR,30,2021-11-24,FALSE,TRUE
C2000045,Eastgate Refining Industries - 200 045,CG0080,Eastgate Refining Industries,Mining & Minerals,US,NIG-200,DIRECT,60,2022-12-14,FALSE,TRUE
C2000046,Vale Utilities Ltd. - 200 046,CG0122,Vale Utilities Ltd.,Pharmaceutical,US,NIG-200,DIRECT,45,2019-12-25,FALSE,TRUE
C2000047,Juniper Water Partners - 200 047,CG0010,Juniper Water Partners,Chemicals,US,NIG-200,DISTRIBUTOR,30,2021-07-07,TRUE,TRUE
C2000048,Baytown Foods Group - 200 048,CG0052,Baytown Foods Group,Mining & Minerals,US,NIG-200,DIRECT,60,2022-11-12,FALSE,TRUE
C2000049,Zenith Chemicals Corporation - 200 049,CG0025,Zenith Chemicals Corporation,Mining & Minerals,US,NIG-200,DIRECT,30,2020-10-15,TRUE,TRUE
C2000050,Delta Point Foods Group - 200 050,CG0004,Delta Point Foods Group,Water Treatment,US,NIG-200,DIRECT,75,2022-08-31,TRUE,TRUE
C2000051,Ashford Chemicals Corporation - 200 051,CG0001,Ashford Chemicals Corporation,Water Treatment,US,NIG-200,DISTRIBUTOR,30,2021-06-01,TRUE,TRUE
C2000052,Granville Water Partners - 200 052,CG0082,Granville Water Partners,Mining & Minerals,US,NIG-200,DIRECT,60,2022-08-17,FALSE,TRUE
C2000053,Baytown Energy Works - 200 053,CG0027,Baytown Energy Works,Water Treatment,US,NIG-200,DIRECT,30,2025-07-15,FALSE,TRUE
C2000054,Baytown Processing GmbH - 200 054,CG0127,Baytown Processing GmbH,Food & Beverage,US,NIG-200,DIRECT,75,2021-05-28,FALSE,TRUE
C2000055,Baytown Energy Works - 200 055,CG0027,Baytown Energy Works,Pulp & Paper,US,NIG-200,DIRECT,45,2024-11-17,FALSE,TRUE
C2000056,Eastgate Water Partners - 200 056,CG0130,Eastgate Water Partners,Water Treatment,US,NIG-200,DIRECT,45,2023-08-06,FALSE,TRUE
C2000057,Ashford Chemicals Corporation - 200 057,CG0001,Ashford Chemicals Corporation,Refining & Petrochemical,US,NIG-200,DISTRIBUTOR,45,2022-09-07,TRUE,TRUE
C2000058,Zenith Metals LLC - 200 058,CG0150,Zenith Metals LLC,Chemicals,US,NIG-200,DIRECT,45,2023-04-24,FALSE,TRUE
C2000059,Oakfield Energy Works - 200 059,CG0015,Oakfield Energy Works,Food & Beverage,US,NIG-200,DIRECT,90,2024-01-31,TRUE,TRUE
C2000060,Harlow Minerals Holdings - 200 060,CG0033,Harlow Minerals Holdings,Mining & Minerals,US,NIG-200,DIRECT,60,2021-02-10,FALSE,TRUE
C2000061,Larkfield Industrial B.V. - 200 061,CG0012,Larkfield Industrial B.V.,Chemicals,US,NIG-200,DIRECT,90,2021-11-13,TRUE,TRUE
C2000062,Granville Industrial B.V. - 200 062,CG0132,Granville Industrial B.V.,Power Generation,US,NIG-200,DISTRIBUTOR,30,2021-03-10,FALSE,TRUE
C2000063,Ashford Water Partners - 200 063,CG0226,Ashford Water Partners,General Industrial,US,NIG-200,DISTRIBUTOR,30,2019-04-14,FALSE,TRUE
C2000064,Meridian Park Chemicals Corporation - 200 064,CG0013,Meridian Park Chemicals Corporation,Pharmaceutical,US,NIG-200,DIRECT,75,2022-04-11,TRUE,TRUE
C2000065,Ashford Chemicals Corporation - 200 065,CG0001,Ashford Chemicals Corporation,Chemicals,US,NIG-200,DIRECT,75,2021-01-24,TRUE,TRUE
C2000066,Juniper Industrial B.V. - 200 066,CG0060,Juniper Industrial B.V.,General Industrial,US,NIG-200,DIRECT,75,2024-06-07,FALSE,TRUE
C2000067,Ashford Chemicals Corporation - 200 067,CG0001,Ashford Chemicals Corporation,Chemicals,US,NIG-200,DIRECT,60,2020-05-28,TRUE,TRUE
C2000068,Ashford Chemicals Corporation - 200 068,CG0001,Ashford Chemicals Corporation,Food & Beverage,US,NIG-200,DIRECT,60,2022-12-21,TRUE,TRUE
C2000069,Thornbury Refining Industries - 200 069,CG0020,Thornbury Refining Industries,General Industrial,US,NIG-200,DIRECT,75,2023-04-18,TRUE,TRUE
C2000070,Baytown Refining Industries - 200 070,CG0152,Baytown Refining Industries,General Industrial,US,NIG-200,DIRECT,30,2022-09-17,FALSE,TRUE
C2000071,Meridian Park Metals LLC - 200 071,CG0138,Meridian Park Metals LLC,Refining & Petrochemical,US,NIG-200,DIRECT,90,2024-11-09,FALSE,TRUE
C2000072,Eastgate Petrochemical plc - 200 072,CG0005,Eastgate Petrochemical plc,Food & Beverage,US,NIG-200,DIRECT,60,2019-11-09,TRUE,TRUE
C2000073,Harlow Refining Industries - 200 073,CG0008,Harlow Refining Industries,Mining & Minerals,US,NIG-200,DIRECT,45,2022-05-20,TRUE,TRUE
C2000074,Juniper Paper Inc. - 200 074,CG0035,Juniper Paper Inc.,Water Treatment,US,NIG-200,DISTRIBUTOR,30,2021-11-27,FALSE,TRUE
C2000075,Foxbridge Chemicals Corporation - 200 075,CG0181,Foxbridge Chemicals Corporation,Mining & Minerals,US,NIG-200,DIRECT,45,2020-09-14,FALSE,TRUE
C2000076,Harlow Minerals Holdings - 200 076,CG0033,Harlow Minerals Holdings,Pharmaceutical,US,NIG-200,DIRECT,30,2021-05-14,FALSE,TRUE
C2000077,Ashford Chemicals Corporation - 200 077,CG0001,Ashford Chemicals Corporation,Pulp & Paper,US,NIG-200,DIRECT,90,2024-06-25,TRUE,TRUE
C2000078,Baytown Utilities Ltd. - 200 078,CG0002,Baytown Utilities Ltd.,Power Generation,US,NIG-200,DISTRIBUTOR,30,2020-02-29,TRUE,TRUE
C2000079,Kestrel Bay Paper Inc. - 200 079,CG0011,Kestrel Bay Paper Inc.,Pharmaceutical,US,NIG-200,DIRECT,60,2024-12-25,TRUE,TRUE
C2000080,Vale Utilities Ltd. - 200 080,CG0122,Vale Utilities Ltd.,General Industrial,US,NIG-200,DISTRIBUTOR,30,2021-09-24,FALSE,TRUE
C2000081,Cedar Ridge Foods Group - 200 081,CG0028,Cedar Ridge Foods Group,Food & Beverage,US,NIG-200,DISTRIBUTOR,45,2020-05-07,FALSE,TRUE
C2000082,Quarry Hill Petrochemical plc - 200 082,CG0017,Quarry Hill Petrochemical plc,Pharmaceutical,US,NIG-200,DISTRIBUTOR,75,2019-12-16,TRUE,TRUE
C2000083,Baytown Utilities Ltd. - 200 083,CG0002,Baytown Utilities Ltd.,Pulp & Paper,US,NIG-200,DISTRIBUTOR,60,2025-07-14,TRUE,TRUE
C2000084,Eastgate Petrochemical plc - 200 084,CG0005,Eastgate Petrochemical plc,Food & Beverage,US,NIG-200,DIRECT,75,2021-02-28,TRUE,TRUE
C2000085,Oakfield Energy Works - 200 085,CG0015,Oakfield Energy Works,Chemicals,US,NIG-200,DIRECT,30,2025-03-22,TRUE,TRUE
C2000086,Baytown Petrochemical plc - 200 086,CG0077,Baytown Petrochemical plc,Pharmaceutical,US,NIG-200,DIRECT,90,2022-11-03,FALSE,TRUE
C2000087,Granville Minerals Holdings - 200 087,CG0057,Granville Minerals Holdings,Refining & Petrochemical,US,NIG-200,DIRECT,30,2020-05-18,FALSE,TRUE
C2000088,Harlow Refining Industries - 200 088,CG0008,Harlow Refining Industries,Refining & Petrochemical,US,NIG-200,DIRECT,45,2022-04-09,TRUE,TRUE
C2000089,Cedar Ridge Energy Works - 200 089,CG0003,Cedar Ridge Energy Works,Mining & Minerals,US,NIG-200,DIRECT,75,2020-10-16,TRUE,TRUE
C2000090,Foxbridge Minerals Holdings - 200 090,CG0081,Foxbridge Minerals Holdings,Power Generation,US,NIG-200,DIRECT,60,2020-02-13,FALSE,TRUE
C2000091,Granville Processing GmbH - 200 091,CG0007,Granville Processing GmbH,Mining & Minerals,US,NIG-200,DIRECT,60,2023-03-18,TRUE,TRUE
C2000092,Foxbridge Metals LLC - 200 092,CG0006,Foxbridge Metals LLC,Mining & Minerals,US,NIG-200,DIRECT,60,2021-11-15,TRUE,TRUE
C2000093,Cedar Ridge Foods Group - 200 093,CG0028,Cedar Ridge Foods Group,General Industrial,US,NIG-200,DIRECT,60,2025-05-14,FALSE,TRUE
C2000094,Pinehurst Metals LLC - 200 094,CG0066,Pinehurst Metals LLC,Pulp & Paper,US,NIG-200,DIRECT,60,2022-09-05,FALSE,TRUE
C2000095,Foxbridge Water Partners - 200 095,CG0106,Foxbridge Water Partners,Water Treatment,US,NIG-200,DIRECT,45,2020-07-18,FALSE,TRUE
C2000096,Thornbury Refining Industries - 200 096,CG0020,Thornbury Refining Industries,Pulp & Paper,US,NIG-200,DIRECT,30,2023-08-25,TRUE,TRUE
C2000097,Cedar Ridge Metals LLC - 200 097,CG0078,Cedar Ridge Metals LLC,Power Generation,US,NIG-200,DIRECT,30,2023-01-22,FALSE,TRUE
C2000098,Thornbury Industrial B.V. - 200 098,CG0120,Thornbury Industrial B.V.,Refining & Petrochemical,US,NIG-200,DIRECT,30,2025-04-06,FALSE,TRUE
C2000099,Baytown Utilities Ltd. - 200 099,CG0002,Baytown Utilities Ltd.,Food & Beverage,US,NIG-200,DIRECT,75,2024-01-23,TRUE,TRUE
C2000100,Larkfield Petrochemical plc - 200 100,CG0137,Larkfield Petrochemical plc,Water Treatment,US,NIG-200,DIRECT,30,2020-01-09,FALSE,TRUE
C2000101,Cedar Ridge Energy Works - 200 101,CG0003,Cedar Ridge Energy Works,Water Treatment,US,NIG-200,DISTRIBUTOR,45,2021-08-12,TRUE,TRUE
C2000102,Eastgate Petrochemical plc - 200 102,CG0005,Eastgate Petrochemical plc,Pulp & Paper,US,NIG-200,DISTRIBUTOR,45,2019-01-28,TRUE,TRUE
C2000103,Northbrook Petrochemical plc - 200 103,CG0089,Northbrook Petrochemical plc,Pulp & Paper,US,NIG-200,DIRECT,45,2024-07-01,FALSE,TRUE
C2000104,Cedar Ridge Energy Works - 200 104,CG0003,Cedar Ridge Energy Works,General Industrial,US,NIG-200,DIRECT,75,2020-12-17,TRUE,TRUE
C2000105,Juniper Water Partners - 200 105,CG0010,Juniper Water Partners,Power Generation,US,NIG-200,DIRECT,60,2020-05-06,TRUE,TRUE
C2000106,Ironside Processing GmbH - 200 106,CG0259,Ironside Processing GmbH,Pulp & Paper,US,NIG-200,DIRECT,75,2025-05-09,FALSE,TRUE
C2000107,Meridian Park Energy Works - 200 107,CG0063,Meridian Park Energy Works,Mining & Minerals,US,NIG-200,DIRECT,90,2019-01-02,FALSE,TRUE
C2000108,Foxbridge Metals LLC - 200 108,CG0006,Foxbridge Metals LLC,Food & Beverage,US,NIG-200,DIRECT,90,2019-05-15,TRUE,TRUE
C2000109,Kestrel Bay Paper Inc. - 200 109,CG0011,Kestrel Bay Paper Inc.,Refining & Petrochemical,US,NIG-200,DIRECT,45,2023-02-07,TRUE,TRUE
C2000110,Ironside Chemicals Corporation - 200 110,CG0109,Ironside Chemicals Corporation,Refining & Petrochemical,US,NIG-200,DIRECT,45,2024-12-16,FALSE,TRUE
C2000111,Pinehurst Foods Group - 200 111,CG0016,Pinehurst Foods Group,Food & Beverage,US,NIG-200,DIRECT,60,2024-08-11,TRUE,TRUE
C2000112,Ironside Minerals Holdings - 200 112,CG0009,Ironside Minerals Holdings,Food & Beverage,US,NIG-200,DIRECT,90,2024-10-20,TRUE,TRUE
C2000113,Juniper Water Partners - 200 113,CG0010,Juniper Water Partners,Mining & Minerals,US,NIG-200,DISTRIBUTOR,30,2023-05-10,TRUE,TRUE
C2000114,Zenith Foods Group - 200 114,CG0100,Zenith Foods Group,General Industrial,US,NIG-200,DIRECT,60,2024-07-10,FALSE,TRUE
C2000115,Harlow Refining Industries - 200 115,CG0008,Harlow Refining Industries,Mining & Minerals,US,NIG-200,DIRECT,60,2019-03-07,TRUE,TRUE
C2000116,Zenith Chemicals Corporation - 200 116,CG0025,Zenith Chemicals Corporation,Pulp & Paper,US,NIG-200,DISTRIBUTOR,90,2020-03-12,TRUE,TRUE
C2000117,Ashford Chemicals Corporation - 200 117,CG0001,Ashford Chemicals Corporation,General Industrial,US,NIG-200,DIRECT,60,2022-01-11,TRUE,TRUE
C2000118,Ashford Chemicals Corporation - 200 118,CG0001,Ashford Chemicals Corporation,Mining & Minerals,US,NIG-200,DIRECT,45,2022-09-25,TRUE,TRUE
C2000119,Granville Utilities Ltd. - 200 119,CG0182,Granville Utilities Ltd.,Pulp & Paper,US,NIG-200,DIRECT,90,2022-03-30,FALSE,TRUE
C2000120,Delta Point Foods Group - 200 120,CG0004,Delta Point Foods Group,Food & Beverage,US,NIG-200,DIRECT,60,2024-01-23,TRUE,TRUE
C2000121,Ashford Chemicals Corporation - 200 121,CG0001,Ashford Chemicals Corporation,Power Generation,US,NIG-200,DIRECT,30,2021-04-17,TRUE,TRUE
C2000122,Larkfield Industrial B.V. - 200 122,CG0012,Larkfield Industrial B.V.,Mining & Minerals,US,NIG-200,DIRECT,45,2020-12-17,TRUE,TRUE
C2000123,Foxbridge Paper Inc. - 200 123,CG0131,Foxbridge Paper Inc.,Mining & Minerals,US,NIG-200,DIRECT,90,2020-09-03,FALSE,TRUE
C2000124,Juniper Water Partners - 200 124,CG0010,Juniper Water Partners,Refining & Petrochemical,US,NIG-200,DIRECT,30,2025-03-22,TRUE,TRUE
C2000125,Kestrel Bay Processing GmbH - 200 125,CG0211,Kestrel Bay Processing GmbH,Water Treatment,US,NIG-200,DISTRIBUTOR,45,2020-10-13,FALSE,TRUE
C2000126,Thornbury Paper Inc. - 200 126,CG0095,Thornbury Paper Inc.,Power Generation,US,NIG-200,DIRECT,60,2021-09-04,FALSE,TRUE
C2000127,Foxbridge Metals LLC - 200 127,CG0006,Foxbridge Metals LLC,Pulp & Paper,US,NIG-200,DIRECT,60,2025-04-16,TRUE,TRUE
C2000128,Granville Refining Industries - 200 128,CG0032,Granville Refining Industries,Refining & Petrochemical,US,NIG-200,DIRECT,60,2022-01-09,FALSE,TRUE
C2000129,Quarry Hill Paper Inc. - 200 129,CG0167,Quarry Hill Paper Inc.,Chemicals,US,NIG-200,DISTRIBUTOR,30,2021-10-30,FALSE,TRUE
C2000130,Juniper Water Partners - 200 130,CG0010,Juniper Water Partners,Mining & Minerals,US,NIG-200,DIRECT,75,2023-06-07,TRUE,TRUE
C2000131,Eastgate Industrial B.V. - 200 131,CG0180,Eastgate Industrial B.V.,Refining & Petrochemical,US,NIG-200,DISTRIBUTOR,60,2020-08-22,FALSE,TRUE
C2000132,Eastgate Petrochemical plc - 200 132,CG0005,Eastgate Petrochemical plc,Pulp & Paper,US,NIG-200,DIRECT,30,2020-12-29,TRUE,TRUE
C2000133,Thornbury Minerals Holdings - 200 133,CG0045,Thornbury Minerals Holdings,Chemicals,US,NIG-200,DIRECT,30,2023-12-02,FALSE,TRUE
C2000134,Delta Point Foods Group - 200 134,CG0004,Delta Point Foods Group,Pharmaceutical,US,NIG-200,DIRECT,45,2019-03-14,TRUE,TRUE
C2000135,Cedar Ridge Energy Works - 200 135,CG0003,Cedar Ridge Energy Works,Pulp & Paper,US,NIG-200,DIRECT,45,2024-10-01,TRUE,TRUE
C2000136,Oakfield Metals LLC - 200 136,CG0090,Oakfield Metals LLC,Refining & Petrochemical,US,NIG-200,DIRECT,30,2022-08-02,FALSE,TRUE
C2000137,Ironside Minerals Holdings - 200 137,CG0009,Ironside Minerals Holdings,General Industrial,US,NIG-200,DIRECT,30,2022-01-02,TRUE,TRUE
C2000138,Kestrel Bay Industrial B.V. - 200 138,CG0036,Kestrel Bay Industrial B.V.,Mining & Minerals,US,NIG-200,DIRECT,45,2021-02-17,FALSE,TRUE
C2000139,Northbrook Utilities Ltd. - 200 139,CG0014,Northbrook Utilities Ltd.,Water Treatment,US,NIG-200,DIRECT,75,2019-07-30,TRUE,TRUE
C2000140,Ashford Chemicals Corporation - 200 140,CG0001,Ashford Chemicals Corporation,Water Treatment,US,NIG-200,DIRECT,60,2022-07-24,TRUE,TRUE
C2000141,Eastgate Chemicals Corporation - 200 141,CG0205,Eastgate Chemicals Corporation,Chemicals,US,NIG-200,DIRECT,30,2023-10-31,FALSE,TRUE
C2000142,Harlow Refining Industries - 200 142,CG0008,Harlow Refining Industries,Pharmaceutical,US,NIG-200,DISTRIBUTOR,30,2022-03-02,TRUE,TRUE
C2000143,Quarry Hill Utilities Ltd. - 200 143,CG0242,Quarry Hill Utilities Ltd.,Refining & Petrochemical,US,NIG-200,DIRECT,45,2024-07-14,FALSE,TRUE
C2000144,Yarrow Industrial B.V. - 200 144,CG0024,Yarrow Industrial B.V.,Chemicals,US,NIG-200,DIRECT,30,2023-09-07,TRUE,TRUE
C2000145,Northbrook Energy Works - 200 145,CG0039,Northbrook Energy Works,Refining & Petrochemical,US,NIG-200,DIRECT,30,2023-06-26,FALSE,TRUE
C2000146,Ashford Chemicals Corporation - 200 146,CG0001,Ashford Chemicals Corporation,Refining & Petrochemical,US,NIG-200,DIRECT,30,2019-12-26,TRUE,TRUE
C2000147,Ashford Chemicals Corporation - 200 147,CG0001,Ashford Chemicals Corporation,Food & Beverage,US,NIG-200,DIRECT,60,2020-03-02,TRUE,TRUE
C2000148,Cedar Ridge Energy Works - 200 148,CG0003,Cedar Ridge Energy Works,Water Treatment,US,NIG-200,DISTRIBUTOR,75,2021-03-19,TRUE,TRUE
C2000149,Ashford Chemicals Corporation - 200 149,CG0001,Ashford Chemicals Corporation,General Industrial,US,NIG-200,DIRECT,60,2024-08-02,TRUE,TRUE
C2000150,Harlow Refining Industries - 200 150,CG0008,Harlow Refining Industries,Chemicals,US,NIG-200,DIRECT,30,2022-10-07,TRUE,TRUE
C5000001,Juniper Water Partners - 500 001,CG0010,Juniper Water Partners,Pharmaceutical,US,NIG-500,DISTRIBUTOR,30,2024-04-02,TRUE,TRUE
C5000002,Redmond Processing GmbH - 500 002,CG0043,Redmond Processing GmbH,Refining & Petrochemical,US,NIG-500,DISTRIBUTOR,75,2021-09-21,FALSE,TRUE
C5000003,Eastgate Petrochemical plc - 500 003,CG0005,Eastgate Petrochemical plc,Refining & Petrochemical,US,NIG-500,DIRECT,30,2020-02-13,TRUE,TRUE
C5000004,Ashford Chemicals Corporation - 500 004,CG0001,Ashford Chemicals Corporation,Chemicals,US,NIG-500,DISTRIBUTOR,45,2021-10-08,TRUE,TRUE
C5000005,Meridian Park Chemicals Corporation - 500 005,CG0013,Meridian Park Chemicals Corporation,Chemicals,US,NIG-500,DIRECT,60,2019-06-30,TRUE,TRUE
C5000006,Larkfield Industrial B.V. - 500 006,CG0012,Larkfield Industrial B.V.,Pulp & Paper,US,NIG-500,DIRECT,30,2024-12-16,TRUE,TRUE
C5000007,Westmoor Paper Inc. - 500 007,CG0023,Westmoor Paper Inc.,Power Generation,US,NIG-500,DIRECT,60,2021-06-28,TRUE,TRUE
C5000008,Foxbridge Metals LLC - 500 008,CG0006,Foxbridge Metals LLC,Water Treatment,US,NIG-500,DIRECT,60,2020-02-23,TRUE,TRUE
C5000009,Cedar Ridge Energy Works - 500 009,CG0003,Cedar Ridge Energy Works,General Industrial,US,NIG-500,DIRECT,60,2019-11-10,TRUE,TRUE
C5000010,Quarry Hill Petrochemical plc - 500 010,CG0017,Quarry Hill Petrochemical plc,General Industrial,US,NIG-500,DISTRIBUTOR,45,2021-03-27,TRUE,TRUE
C5000011,Foxbridge Processing GmbH - 500 011,CG0031,Foxbridge Processing GmbH,Refining & Petrochemical,US,NIG-500,DIRECT,45,2022-04-14,FALSE,TRUE
C5000012,Northbrook Utilities Ltd. - 500 012,CG0014,Northbrook Utilities Ltd.,Food & Beverage,US,NIG-500,DIRECT,30,2022-10-01,TRUE,TRUE
C5000013,Baytown Processing GmbH - 500 013,CG0127,Baytown Processing GmbH,Mining & Minerals,US,NIG-500,DIRECT,75,2019-01-28,FALSE,TRUE
C5000014,Ashford Chemicals Corporation - 500 014,CG0001,Ashford Chemicals Corporation,Power Generation,US,NIG-500,DIRECT,60,2022-05-02,TRUE,TRUE
C5000015,Stonebridge Refining Industries - 500 015,CG0044,Stonebridge Refining Industries,Power Generation,US,NIG-500,DISTRIBUTOR,30,2023-05-14,FALSE,TRUE
C5000016,Delta Point Processing GmbH - 500 016,CG0079,Delta Point Processing GmbH,Pulp & Paper,US,NIG-500,DISTRIBUTOR,45,2025-02-03,FALSE,TRUE
