entity_code,cost_center_code,cost_center_name,department_code,department_name,function_group,dept_function,cost_type,pl_destination,bu_code,is_headcount_bearing,erp_system,manager_id,is_active
NIG-110,110-515,Shared Services Legal & Risk,D515,Legal & Risk,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-A7584F,TRUE
NIG-110,110-520,Shared Services Procurement,D520,Procurement,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-92BB05,TRUE
NIG-110,110-525,Shared Services Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,CORP,FALSE,AURORA,MGR-5EA814,TRUE
NIG-110,110-900,Shared Services Executive & Governance,D900,Executive & Governance,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-2A64BC,TRUE
NIG-110,110-905,Shared Services Corporate Development,D905,Corporate Development,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-4C8A21,TRUE
NIG-110,110-910,Shared Services Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-7D9C4A,TRUE
NIG-110,110-950,Shared Services Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,CORP,FALSE,AURORA,MGR-09D3AA,TRUE
NIG-200,200-100,Meridian US Production & Assembly,D100,Production & Assembly,OPERATIONS,PRODUCTION,DIRECT,COS,FC,TRUE,AURORA,MGR-120967,TRUE
NIG-200,200-105,Meridian US Manufacturing Engineering,D105,Manufacturing Engineering,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,AURORA,MGR-427420,TRUE
NIG-200,200-110,Meridian US Quality Assurance,D110,Quality Assurance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,AURORA,MGR-CBA048,TRUE
NIG-200,200-115,Meridian US Supply Chain & Planning,D115,Supply Chain & Planning,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,AURORA,MGR-FCA13D,TRUE
NIG-200,200-120,Meridian US Warehouse & Distribution,D120,Warehouse & Distribution,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,AURORA,MGR-65C5AE,TRUE
NIG-200,200-400,Meridian US Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-430922,TRUE
NIG-200,200-405,Meridian US Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-CD8397,TRUE
NIG-200,200-410,Meridian US Customer Service & Inside Sales,D410,Customer Service & Inside Sales,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-7A9BEC,TRUE
NIG-200,200-500,Meridian US Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-D06CFA,TRUE
NIG-200,200-505,Meridian US Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-127E7D,TRUE
NIG-200,200-510,Meridian US Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-9CC2E4,TRUE
NIG-200,200-520,Meridian US Procurement,D520,Procurement,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-21D097,TRUE
NIG-200,200-525,Meridian US Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,FC,FALSE,AURORA,MGR-120886,TRUE
NIG-200,200-910,Meridian US Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-F6913B,TRUE
NIG-200,200-950,Meridian US Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,FC,FALSE,AURORA,MGR-2527E6,TRUE
NIG-210,210-100,Meridian Canada Production & Assembly,D100,Production & Assembly,OPERATIONS,PRODUCTION,DIRECT,COS,FC,TRUE,AURORA,MGR-6CEF14,TRUE
NIG-210,210-105,Meridian Canada Manufacturing Engineering,D105,Manufacturing Engineering,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,AURORA,MGR-860552,TRUE
NIG-210,210-110,Meridian Canada Quality Assurance,D110,Quality Assurance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,AURORA,MGR-715AA0,TRUE
NIG-210,210-115,Meridian Canada Supply Chain & Planning,D115,Supply Chain & Planning,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,AURORA,MGR-A6EE20,TRUE
NIG-210,210-120,Meridian Canada Warehouse & Distribution,D120,Warehouse & Distribution,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,AURORA,MGR-CFD007,TRUE
NIG-210,210-400,Meridian Canada Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-70FFB3,TRUE
NIG-210,210-405,Meridian Canada Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-F8CDDB,TRUE
NIG-210,210-410,Meridian Canada Customer Service & Inside Sales,D410,Customer Service & Inside Sales,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-2E0E2A,TRUE
NIG-210,210-500,Meridian Canada Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-F9CB9D,TRUE
NIG-210,210-505,Meridian Canada Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-0EEF02,TRUE
NIG-210,210-510,Meridian Canada Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-1339CE,TRUE
NIG-210,210-520,Meridian Canada Procurement,D520,Procurement,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-544079,TRUE
NIG-210,210-525,Meridian Canada Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,FC,FALSE,AURORA,MGR-962F78,TRUE
NIG-210,210-910,Meridian Canada Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,AURORA,MGR-F2A29C,TRUE
NIG-210,210-950,Meridian Canada Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,FC,FALSE,AURORA,MGR-A3D9D2,TRUE
NIG-220,220-100,Halden Valve Production & Assembly,D100,Production & Assembly,OPERATIONS,PRODUCTION,DIRECT,COS,FC,TRUE,KESTREL,MGR-02956E,TRUE
NIG-220,220-105,Halden Valve Manufacturing Engineering,D105,Manufacturing Engineering,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,KESTREL,MGR-ADA755,TRUE
NIG-220,220-110,Halden Valve Quality Assurance,D110,Quality Assurance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,KESTREL,MGR-C4FA5E,TRUE
NIG-220,220-115,Halden Valve Supply Chain & Planning,D115,Supply Chain & Planning,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,KESTREL,MGR-7CF9FC,TRUE
NIG-220,220-120,Halden Valve Warehouse & Distribution,D120,Warehouse & Distribution,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,FC,TRUE,KESTREL,MGR-2356E6,TRUE
NIG-220,220-400,Halden Valve Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,KESTREL,MGR-35A3A1,TRUE
NIG-220,220-405,Halden Valve Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,KESTREL,MGR-2736C8,TRUE
NIG-220,220-410,Halden Valve Customer Service & Inside Sales,D410,Customer Service & Inside Sales,COMMERCIAL,SGA,INDIRECT,OPEX,FC,TRUE,KESTREL,MGR-8492C9,TRUE
NIG-220,220-500,Halden Valve Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,KESTREL,MGR-CF98BC,TRUE
NIG-220,220-505,Halden Valve Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,KESTREL,MGR-C85B62,TRUE
NIG-220,220-510,Halden Valve Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,KESTREL,MGR-A28ABA,TRUE
NIG-220,220-520,Halden Valve Procurement,D520,Procurement,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,KESTREL,MGR-29226D,TRUE
NIG-220,220-525,Halden Valve Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,FC,FALSE,KESTREL,MGR-9B3A98,TRUE
NIG-220,220-910,Halden Valve Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,FC,TRUE,KESTREL,MGR-3D741F,TRUE
NIG-220,220-950,Halden Valve Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,FC,FALSE,KESTREL,MGR-A16AE7,TRUE
NIG-300,300-200,Cascade US Field Operations,D200,Field Operations,OPERATIONS,FIELD,DIRECT,COS,IS,TRUE,SABLE,MGR-D6FBB4,TRUE
NIG-300,300-205,Cascade US Turnaround Delivery,D205,Turnaround Delivery,OPERATIONS,FIELD,DIRECT,COS,IS,TRUE,SABLE,MGR-D44B77,TRUE
NIG-300,300-210,Cascade US Equipment & Fleet,D210,Equipment & Fleet,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,IS,FALSE,SABLE,MGR-37B45F,TRUE
NIG-300,300-215,Cascade US Field Safety & Compliance,D215,Field Safety & Compliance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,IS,TRUE,SABLE,MGR-499F1A,TRUE
NIG-300,300-400,Cascade US Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-22BEB4,TRUE
NIG-300,300-405,Cascade US Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-54E252,TRUE
NIG-300,300-415,Cascade US Bid & Proposals,D415,Bid & Proposals,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-DBF4F5,TRUE
NIG-300,300-500,Cascade US Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-DD138E,TRUE
NIG-300,300-505,Cascade US Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-475C7F,TRUE
NIG-300,300-510,Cascade US Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-F91F4A,TRUE
NIG-300,300-525,Cascade US Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,IS,FALSE,SABLE,MGR-388531,TRUE
NIG-300,300-910,Cascade US Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-EDDA3F,TRUE
NIG-300,300-950,Cascade US Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,IS,FALSE,SABLE,MGR-BE4BBC,TRUE
NIG-310,310-200,Cascade Canada Field Operations,D200,Field Operations,OPERATIONS,FIELD,DIRECT,COS,IS,TRUE,SABLE,MGR-5CF47A,TRUE
NIG-310,310-205,Cascade Canada Turnaround Delivery,D205,Turnaround Delivery,OPERATIONS,FIELD,DIRECT,COS,IS,TRUE,SABLE,MGR-0377F5,TRUE
NIG-310,310-210,Cascade Canada Equipment & Fleet,D210,Equipment & Fleet,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,IS,FALSE,SABLE,MGR-9A455D,TRUE
NIG-310,310-215,Cascade Canada Field Safety & Compliance,D215,Field Safety & Compliance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,IS,TRUE,SABLE,MGR-E407DE,TRUE
NIG-310,310-400,Cascade Canada Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-1C89DB,TRUE
NIG-310,310-405,Cascade Canada Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-34D67B,TRUE
NIG-310,310-415,Cascade Canada Bid & Proposals,D415,Bid & Proposals,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-118663,TRUE
NIG-310,310-500,Cascade Canada Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-75ED27,TRUE
NIG-310,310-505,Cascade Canada Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-91A3A8,TRUE
NIG-310,310-510,Cascade Canada Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-D4B212,TRUE
NIG-310,310-525,Cascade Canada Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,IS,FALSE,SABLE,MGR-1C5F4D,TRUE
NIG-310,310-910,Cascade Canada Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,SABLE,MGR-C92C82,TRUE
NIG-310,310-950,Cascade Canada Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,IS,FALSE,SABLE,MGR-A1C756,TRUE
NIG-320,320-200,Tyneside Field Operations,D200,Field Operations,OPERATIONS,FIELD,DIRECT,COS,IS,TRUE,KESTREL,MGR-C55264,TRUE
NIG-320,320-205,Tyneside Turnaround Delivery,D205,Turnaround Delivery,OPERATIONS,FIELD,DIRECT,COS,IS,TRUE,KESTREL,MGR-4B95CF,TRUE
NIG-320,320-210,Tyneside Equipment & Fleet,D210,Equipment & Fleet,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,IS,FALSE,KESTREL,MGR-EFEDBD,TRUE
NIG-320,320-215,Tyneside Field Safety & Compliance,D215,Field Safety & Compliance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,IS,TRUE,KESTREL,MGR-E58AF2,TRUE
NIG-320,320-400,Tyneside Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,KESTREL,MGR-1E1596,TRUE
NIG-320,320-405,Tyneside Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,KESTREL,MGR-E1FB45,TRUE
NIG-320,320-415,Tyneside Bid & Proposals,D415,Bid & Proposals,COMMERCIAL,SGA,INDIRECT,OPEX,IS,TRUE,KESTREL,MGR-353AD8,TRUE
NIG-320,320-500,Tyneside Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,KESTREL,MGR-6C4810,TRUE
NIG-320,320-505,Tyneside Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,KESTREL,MGR-1EE3CB,TRUE
NIG-320,320-510,Tyneside Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,KESTREL,MGR-141913,TRUE
NIG-320,320-525,Tyneside Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,IS,FALSE,KESTREL,MGR-F5E26E,TRUE
NIG-320,320-910,Tyneside Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,IS,TRUE,KESTREL,MGR-696063,TRUE
NIG-320,320-950,Tyneside Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,IS,FALSE,KESTREL,MGR-2D977E,TRUE
NIG-400,400-105,Vector US Manufacturing Engineering,D105,Manufacturing Engineering,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,ES,TRUE,SABLE,MGR-9EAF12,TRUE
NIG-400,400-110,Vector US Quality Assurance,D110,Quality Assurance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,ES,TRUE,SABLE,MGR-217237,TRUE
NIG-400,400-115,Vector US Supply Chain & Planning,D115,Supply Chain & Planning,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,ES,TRUE,SABLE,MGR-ACF763,TRUE
NIG-400,400-215,Vector US Field Safety & Compliance,D215,Field Safety & Compliance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,ES,TRUE,SABLE,MGR-430A70,TRUE
NIG-400,400-300,Vector US Project Engineering,D300,Project Engineering,OPERATIONS,PROJECT,DIRECT,COS,ES,TRUE,SABLE,MGR-3AA0FE,TRUE
NIG-400,400-305,Vector US Project Management,D305,Project Management,OPERATIONS,PROJECT,DIRECT,COS,ES,TRUE,SABLE,MGR-563254,TRUE
NIG-400,400-310,Vector US Commissioning & Start-up,D310,Commissioning & Start-up,OPERATIONS,PROJECT,DIRECT,COS,ES,TRUE,SABLE,MGR-EAD2F4,TRUE
NIG-400,400-400,Vector US Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,ES,TRUE,SABLE,MGR-E07423,TRUE
NIG-400,400-405,Vector US Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,ES,TRUE,SABLE,MGR-BEFBDD,TRUE
NIG-400,400-415,Vector US Bid & Proposals,D415,Bid & Proposals,COMMERCIAL,SGA,INDIRECT,OPEX,ES,TRUE,SABLE,MGR-E6DAD9,TRUE
NIG-400,400-500,Vector US Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,ES,TRUE,SABLE,MGR-EE6B6C,TRUE
NIG-400,400-505,Vector US Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,ES,TRUE,SABLE,MGR-A01240,TRUE
NIG-400,400-510,Vector US Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,ES,TRUE,SABLE,MGR-5D6AF3,TRUE
NIG-400,400-525,Vector US Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,ES,FALSE,SABLE,MGR-E1E047,TRUE
NIG-400,400-910,Vector US Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,ES,TRUE,SABLE,MGR-346967,TRUE
NIG-400,400-950,Vector US Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,ES,FALSE,SABLE,MGR-182E19,TRUE
NIG-410,410-105,Vector BV Manufacturing Engineering,D105,Manufacturing Engineering,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,ES,TRUE,KESTREL,MGR-AD683D,TRUE
NIG-410,410-110,Vector BV Quality Assurance,D110,Quality Assurance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,ES,TRUE,KESTREL,MGR-86F36B,TRUE
NIG-410,410-115,Vector BV Supply Chain & Planning,D115,Supply Chain & Planning,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,ES,TRUE,KESTREL,MGR-D88580,TRUE
NIG-410,410-215,Vector BV Field Safety & Compliance,D215,Field Safety & Compliance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,ES,TRUE,KESTREL,MGR-2AF5B5,TRUE
NIG-410,410-300,Vector BV Project Engineering,D300,Project Engineering,OPERATIONS,PROJECT,DIRECT,COS,ES,TRUE,KESTREL,MGR-8C56A5,TRUE
NIG-410,410-305,Vector BV Project Management,D305,Project Management,OPERATIONS,PROJECT,DIRECT,COS,ES,TRUE,KESTREL,MGR-35ABAB,TRUE
NIG-410,410-310,Vector BV Commissioning & Start-up,D310,Commissioning & Start-up,OPERATIONS,PROJECT,DIRECT,COS,ES,TRUE,KESTREL,MGR-C428A2,TRUE
NIG-410,410-400,Vector BV Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,ES,TRUE,KESTREL,MGR-F64AD4,TRUE
NIG-410,410-405,Vector BV Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,ES,TRUE,KESTREL,MGR-FF275C,TRUE
NIG-410,410-415,Vector BV Bid & Proposals,D415,Bid & Proposals,COMMERCIAL,SGA,INDIRECT,OPEX,ES,TRUE,KESTREL,MGR-6237B4,TRUE
NIG-410,410-500,Vector BV Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,ES,TRUE,KESTREL,MGR-C29A03,TRUE
NIG-410,410-505,Vector BV Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,ES,TRUE,KESTREL,MGR-5CF143,TRUE
NIG-410,410-510,Vector BV Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,ES,TRUE,KESTREL,MGR-88326A,TRUE
NIG-410,410-525,Vector BV Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,ES,FALSE,KESTREL,MGR-025AFB,TRUE
NIG-410,410-910,Vector BV Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,ES,TRUE,KESTREL,MGR-FD9C74,TRUE
NIG-410,410-950,Vector BV Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,ES,FALSE,KESTREL,MGR-C4E9F0,TRUE
NIG-500,500-100,Aftermarket US Production & Assembly,D100,Production & Assembly,OPERATIONS,PRODUCTION,DIRECT,COS,AM,TRUE,AURORA,MGR-BC0E2D,TRUE
NIG-500,500-110,Aftermarket US Quality Assurance,D110,Quality Assurance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,AM,TRUE,AURORA,MGR-7E7621,TRUE
NIG-500,500-115,Aftermarket US Supply Chain & Planning,D115,Supply Chain & Planning,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,AM,TRUE,AURORA,MGR-4CAF89,TRUE
NIG-500,500-120,Aftermarket US Warehouse & Distribution,D120,Warehouse & Distribution,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,AM,TRUE,AURORA,MGR-3FFAE3,TRUE
NIG-500,500-400,Aftermarket US Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,AM,TRUE,AURORA,MGR-A89CF1,TRUE
NIG-500,500-405,Aftermarket US Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,AM,TRUE,AURORA,MGR-43B932,TRUE
NIG-500,500-410,Aftermarket US Customer Service & Inside Sales,D410,Customer Service & Inside Sales,COMMERCIAL,SGA,INDIRECT,OPEX,AM,TRUE,AURORA,MGR-709733,TRUE
NIG-500,500-500,Aftermarket US Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,AM,TRUE,AURORA,MGR-8075ED,TRUE
NIG-500,500-505,Aftermarket US Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,AM,TRUE,AURORA,MGR-DD1E7C,TRUE
NIG-500,500-510,Aftermarket US Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,AM,TRUE,AURORA,MGR-5EE13A,TRUE
NIG-500,500-520,Aftermarket US Procurement,D520,Procurement,SUPPORT,SGA,INDIRECT,OPEX,AM,TRUE,AURORA,MGR-10BD93,TRUE
NIG-500,500-525,Aftermarket US Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,AM,FALSE,AURORA,MGR-9792A9,TRUE
NIG-500,500-950,Aftermarket US Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,AM,FALSE,AURORA,MGR-193890,TRUE
NIG-510,510-100,Parts UK Production & Assembly,D100,Production & Assembly,OPERATIONS,PRODUCTION,DIRECT,COS,AM,TRUE,KESTREL,MGR-0050E4,TRUE
NIG-510,510-110,Parts UK Quality Assurance,D110,Quality Assurance,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,AM,TRUE,KESTREL,MGR-D4BB23,TRUE
NIG-510,510-115,Parts UK Supply Chain & Planning,D115,Supply Chain & Planning,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,AM,TRUE,KESTREL,MGR-8E8793,TRUE
NIG-510,510-120,Parts UK Warehouse & Distribution,D120,Warehouse & Distribution,OPERATIONS,INDIRECT_OPS,INDIRECT,COS,AM,TRUE,KESTREL,MGR-230780,TRUE
NIG-510,510-400,Parts UK Sales,D400,Sales,COMMERCIAL,SGA,INDIRECT,OPEX,AM,TRUE,KESTREL,MGR-6C66AB,TRUE
NIG-510,510-405,Parts UK Marketing,D405,Marketing,COMMERCIAL,SGA,INDIRECT,OPEX,AM,TRUE,KESTREL,MGR-7D2D09,TRUE
NIG-510,510-410,Parts UK Customer Service & Inside Sales,D410,Customer Service & Inside Sales,COMMERCIAL,SGA,INDIRECT,OPEX,AM,TRUE,KESTREL,MGR-097E19,TRUE
