holding_period,transaction_period,months_held,seller_entity,buyer_entity,inventory_category,buyer_inventory_account,transfer_price_usd,seller_cost_usd,ic_gross_profit_usd,ic_margin_pct,quantity_transferred,pct_remaining,quantity_remaining,value_remaining_usd,value_remaining_buyer_local,buyer_currency,unrealised_profit_usd,months_on_hand
202306,202306,0,NIG-200,NIG-210,FINISHED_GOODS,130300,837337.71,736857.18,100480.52,0.12,380,1.0,380,837337.71,1157696.96,CAD,100480.52,2.97
202306,202305,1,NIG-200,NIG-210,FINISHED_GOODS,130300,789954.27,695159.76,94794.51,0.12,398,0.6633,263,523976.4,724445.93,CAD,62877.17,2.97
202306,202304,2,NIG-200,NIG-210,FINISHED_GOODS,130300,759139.28,668042.56,91096.71,0.12,312,0.326599,101,247934.38,342792.25,CAD,29752.13,2.97
202307,202307,0,NIG-200,NIG-210,FINISHED_GOODS,130300,881177.04,775435.8,105741.24,0.12,332,1.0,332,881177.04,1196590.53,CAD,105741.24,2.97
202307,202306,1,NIG-200,NIG-210,FINISHED_GOODS,130300,837337.71,736857.18,100480.52,0.12,348,0.6633,230,555405.82,754210.91,CAD,66648.7,2.97
202307,202305,2,NIG-200,NIG-210,FINISHED_GOODS,130300,789954.27,695159.76,94794.51,0.12,319,0.326599,104,257998.53,350347.98,CAD,30959.82,2.97
202308,202308,0,NIG-200,NIG-210,FINISHED_GOODS,130300,946270.76,832718.27,113552.49,0.12,464,1.0,464,946270.76,1274200.28,CAD,113552.49,2.97
202308,202307,1,NIG-200,NIG-210,FINISHED_GOODS,130300,881177.04,775435.8,105741.24,0.12,284,0.6633,188,584484.43,787037.14,CAD,70138.13,2.97
202308,202306,2,NIG-200,NIG-210,FINISHED_GOODS,130300,837337.71,736857.18,100480.52,0.12,412,0.326599,134,273473.93,368246.15,CAD,32816.87,2.97
202309,202309,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1012132.52,890676.62,121455.9,0.12,293,1.0,293,1012132.52,1339510.69,CAD,121455.9,2.97
202309,202308,1,NIG-200,NIG-210,FINISHED_GOODS,130300,946270.76,832718.27,113552.49,0.12,285,0.6633,189,627661.07,830680.47,CAD,75319.33,2.97
202309,202307,2,NIG-200,NIG-210,FINISHED_GOODS,130300,881177.04,775435.8,105741.24,0.12,251,0.326599,81,287791.83,380879.2,CAD,34535.02,2.97
202310,202310,0,NIG-200,NIG-210,FINISHED_GOODS,130300,987813.51,869275.89,118537.62,0.12,299,1.0,299,987813.51,1290969.91,CAD,118537.62,2.97
202310,202309,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1012132.52,890676.62,121455.9,0.12,474,0.6633,314,671347.16,877381.18,CAD,80561.66,2.97
202310,202308,2,NIG-200,NIG-210,FINISHED_GOODS,130300,946270.76,832718.27,113552.49,0.12,235,0.326599,76,309051.39,403898.15,CAD,37086.17,2.97
202311,202311,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1010847.46,889545.77,121301.7,0.12,293,1.0,293,1010847.46,1325637.19,CAD,121301.7,2.97
202311,202310,1,NIG-200,NIG-210,FINISHED_GOODS,130300,987813.51,869275.89,118537.62,0.12,272,0.6633,180,655216.37,859258.41,CAD,78625.96,2.97
202311,202309,2,NIG-200,NIG-210,FINISHED_GOODS,130300,1012132.52,890676.62,121455.9,0.12,264,0.326599,86,330561.8,433502.61,CAD,39667.42,2.97
202312,202312,0,NIG-200,NIG-210,FINISHED_GOODS,130300,933227.67,821240.35,111987.32,0.12,507,1.0,507,933227.67,1234264.88,CAD,111987.32,2.97
202312,202311,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1010847.46,889545.77,121301.7,0.12,451,0.6633,299,670494.78,886780.56,CAD,80459.37,2.97
202312,202310,2,NIG-200,NIG-210,FINISHED_GOODS,130300,987813.51,869275.89,118537.62,0.12,287,0.326599,93,322619.23,426688.57,CAD,38714.31,2.97
202301,202301,0,NIG-200,NIG-500,SPARE_PARTS,130300,570767.36,502275.27,68492.08,0.12,242,1.0,242,570767.36,570767.36,USD,68492.08,2.43
202302,202302,0,NIG-200,NIG-500,SPARE_PARTS,130300,481254.27,423503.76,57750.51,0.12,255,1.0,255,481254.27,481254.27,USD,57750.51,2.43
202302,202301,1,NIG-200,NIG-500,SPARE_PARTS,130300,570767.36,502275.27,68492.08,0.12,158,0.588477,92,335883.67,335883.67,USD,40306.04,2.43
202303,202303,0,NIG-200,NIG-500,SPARE_PARTS,130300,486843.16,428421.98,58421.18,0.12,157,1.0,157,486843.16,486843.16,USD,58421.18,2.43
202303,202302,1,NIG-200,NIG-500,SPARE_PARTS,130300,481254.27,423503.76,57750.51,0.12,251,0.588477,147,283207.24,283207.24,USD,33984.87,2.43
202303,202301,2,NIG-200,NIG-500,SPARE_PARTS,130300,570767.36,502275.27,68492.08,0.12,150,0.176955,26,100999.98,100999.98,USD,12120.0,2.43
202304,202304,0,NIG-200,NIG-500,SPARE_PARTS,130300,457283.01,402409.05,54873.96,0.12,167,1.0,167,457283.01,457283.01,USD,54873.96,2.43
202304,202303,1,NIG-200,NIG-500,SPARE_PARTS,130300,486843.16,428421.98,58421.18,0.12,122,0.588477,71,286496.18,286496.18,USD,34379.54,2.43
202304,202302,2,NIG-200,NIG-500,SPARE_PARTS,130300,481254.27,423503.76,57750.51,0.12,188,0.176955,33,85160.22,85160.22,USD,10219.23,2.43
202305,202305,0,NIG-200,NIG-500,SPARE_PARTS,130300,487153.55,428695.13,58458.43,0.12,216,1.0,216,487153.55,487153.55,USD,58458.43,2.43
202305,202304,1,NIG-200,NIG-500,SPARE_PARTS,130300,457283.01,402409.05,54873.96,0.12,122,0.588477,71,269100.7,269100.7,USD,32292.08,2.43
202305,202303,2,NIG-200,NIG-500,SPARE_PARTS,130300,486843.16,428421.98,58421.18,0.12,123,0.176955,21,86149.2,86149.2,USD,10337.9,2.43
202306,202306,0,NIG-200,NIG-500,SPARE_PARTS,130300,514962.53,453167.03,61795.5,0.12,139,1.0,139,514962.53,514962.53,USD,61795.5,2.43
202306,202305,1,NIG-200,NIG-500,SPARE_PARTS,130300,487153.55,428695.13,58458.43,0.12,194,0.588477,114,286678.84,286678.84,USD,34401.46,2.43
202306,202304,2,NIG-200,NIG-500,SPARE_PARTS,130300,457283.01,402409.05,54873.96,0.12,248,0.176955,43,80918.39,80918.39,USD,9710.21,2.43
202307,202307,0,NIG-200,NIG-500,SPARE_PARTS,130300,555789.79,489095.01,66694.77,0.12,227,1.0,227,555789.79,555789.79,USD,66694.77,2.43
202307,202306,1,NIG-200,NIG-500,SPARE_PARTS,130300,514962.53,453167.03,61795.5,0.12,189,0.588477,111,303043.8,303043.8,USD,36365.26,2.43
202307,202305,2,NIG-200,NIG-500,SPARE_PARTS,130300,487153.55,428695.13,58458.43,0.12,237,0.176955,41,86204.13,86204.13,USD,10344.5,2.43
202308,202308,0,NIG-200,NIG-500,SPARE_PARTS,130300,616093.07,542161.9,73931.17,0.12,229,1.0,229,616093.07,616093.07,USD,73931.17,2.43
202308,202307,1,NIG-200,NIG-500,SPARE_PARTS,130300,555789.79,489095.01,66694.77,0.12,192,0.588477,112,327069.71,327069.71,USD,39248.37,2.43
202308,202306,2,NIG-200,NIG-500,SPARE_PARTS,130300,514962.53,453167.03,61795.5,0.12,124,0.176955,21,91125.06,91125.06,USD,10935.01,2.43
202309,202309,0,NIG-200,NIG-500,SPARE_PARTS,130300,626939.76,551706.99,75232.77,0.12,226,1.0,226,626939.76,626939.76,USD,75232.77,2.43
202309,202308,1,NIG-200,NIG-500,SPARE_PARTS,130300,616093.07,542161.9,73931.17,0.12,237,0.588477,139,362556.83,362556.83,USD,43506.82,2.43
202309,202307,2,NIG-200,NIG-500,SPARE_PARTS,130300,555789.79,489095.01,66694.77,0.12,285,0.176955,50,98349.63,98349.63,USD,11801.96,2.43
202310,202310,0,NIG-200,NIG-500,SPARE_PARTS,130300,619250.08,544940.07,74310.01,0.12,299,1.0,299,619250.08,619250.08,USD,74310.01,2.43
202310,202309,1,NIG-200,NIG-500,SPARE_PARTS,130300,626939.76,551706.99,75232.77,0.12,163,0.588477,95,368939.86,368939.86,USD,44272.78,2.43
202310,202308,2,NIG-200,NIG-500,SPARE_PARTS,130300,616093.07,542161.9,73931.17,0.12,185,0.176955,32,109020.58,109020.58,USD,13082.47,2.43
202311,202311,0,NIG-200,NIG-500,SPARE_PARTS,130300,608309.42,535312.29,72997.13,0.12,208,1.0,208,608309.42,608309.42,USD,72997.13,2.43
202311,202310,1,NIG-200,NIG-500,SPARE_PARTS,130300,619250.08,544940.07,74310.01,0.12,168,0.588477,98,364414.66,364414.66,USD,43729.76,2.43
202311,202309,2,NIG-200,NIG-500,SPARE_PARTS,130300,626939.76,551706.99,75232.77,0.12,193,0.176955,34,110939.96,110939.96,USD,13312.79,2.43
202312,202312,0,NIG-200,NIG-500,SPARE_PARTS,130300,579354.0,509831.52,69522.48,0.12,149,1.0,149,579354.0,579354.0,USD,69522.48,2.43
202312,202311,1,NIG-200,NIG-500,SPARE_PARTS,130300,608309.42,535312.29,72997.13,0.12,186,0.588477,109,357976.32,357976.32,USD,42957.16,2.43
202312,202310,2,NIG-200,NIG-500,SPARE_PARTS,130300,619250.08,544940.07,74310.01,0.12,169,0.176955,29,109579.23,109579.23,USD,13149.51,2.43
202301,202301,0,NIG-200,NIG-510,SPARE_PARTS,130300,413970.95,364294.44,49676.51,0.12,134,1.0,134,413970.95,335438.1,GBP,49676.51,3.38
202302,202302,0,NIG-200,NIG-510,SPARE_PARTS,130300,383834.86,337774.67,46060.18,0.12,207,1.0,207,383834.86,315095.47,GBP,46060.18,3.38
202302,202301,1,NIG-200,NIG-510,SPARE_PARTS,130300,413970.95,364294.44,49676.51,0.12,134,0.704142,94,291494.34,239291.83,GBP,34979.32,3.38
202303,202303,0,NIG-200,NIG-510,SPARE_PARTS,130300,377556.65,332249.85,45306.8,0.12,136,1.0,136,377556.65,306296.11,GBP,45306.8,3.38
202303,202302,1,NIG-200,NIG-510,SPARE_PARTS,130300,383834.86,337774.67,46060.18,0.12,116,0.704142,81,270274.25,219262.33,GBP,32432.91,3.38
202303,202301,2,NIG-200,NIG-510,SPARE_PARTS,130300,413970.95,364294.44,49676.51,0.12,102,0.408284,41,169017.73,137117.1,GBP,20282.13,3.38
202304,202304,0,NIG-200,NIG-510,SPARE_PARTS,130300,350357.91,308314.96,42042.95,0.12,137,1.0,137,350357.91,279231.14,GBP,42042.95,3.38
202304,202303,1,NIG-200,NIG-510,SPARE_PARTS,130300,377556.65,332249.85,45306.8,0.12,140,0.704142,98,265853.5,211882.12,GBP,31902.42,3.38
202304,202302,2,NIG-200,NIG-510,SPARE_PARTS,130300,383834.86,337774.67,46060.18,0.12,104,0.408284,42,156713.64,124898.93,GBP,18805.64,3.38
202304,202301,3,NIG-200,NIG-510,SPARE_PARTS,130300,413970.95,364294.44,49676.51,0.12,165,0.112426,18,46541.11,37092.72,GBP,5584.93,3.38
202305,202305,0,NIG-200,NIG-510,SPARE_PARTS,130300,356111.6,313378.21,42733.39,0.12,85,1.0,85,356111.6,281753.25,GBP,42733.39,3.38
202305,202304,1,NIG-200,NIG-510,SPARE_PARTS,130300,350357.91,308314.96,42042.95,0.12,91,0.704142,64,246701.72,195188.85,GBP,29604.21,3.38
202305,202303,2,NIG-200,NIG-510,SPARE_PARTS,130300,377556.65,332249.85,45306.8,0.12,105,0.408284,42,154150.35,121962.78,GBP,18498.04,3.38
202305,202302,3,NIG-200,NIG-510,SPARE_PARTS,130300,383834.86,337774.67,46060.18,0.12,134,0.112426,15,43153.03,34142.41,GBP,5178.36,3.38
202306,202306,0,NIG-200,NIG-510,SPARE_PARTS,130300,380080.54,334470.88,45609.66,0.12,133,1.0,133,380080.54,299362.68,GBP,45609.66,3.38
202306,202305,1,NIG-200,NIG-510,SPARE_PARTS,130300,356111.6,313378.21,42733.39,0.12,130,0.704142,91,250753.14,197500.59,GBP,30090.38,3.38
202306,202304,2,NIG-200,NIG-510,SPARE_PARTS,130300,350357.91,308314.96,42042.95,0.12,108,0.408284,44,143045.54,112666.9,GBP,17165.46,3.38
202306,202303,3,NIG-200,NIG-510,SPARE_PARTS,130300,377556.65,332249.85,45306.8,0.12,105,0.112426,11,42447.2,33432.67,GBP,5093.66,3.38
202307,202307,0,NIG-200,NIG-510,SPARE_PARTS,130300,408631.45,359595.68,49035.77,0.12,132,1.0,132,408631.45,316509.58,GBP,49035.77,3.38
202307,202306,1,NIG-200,NIG-510,SPARE_PARTS,130300,380080.54,334470.88,45609.66,0.12,179,0.704142,126,267630.68,207296.02,GBP,32115.68,3.38
202307,202305,2,NIG-200,NIG-510,SPARE_PARTS,130300,356111.6,313378.21,42733.39,0.12,158,0.408284,64,145394.68,112616.9,GBP,17447.36,3.38
202307,202304,3,NIG-200,NIG-510,SPARE_PARTS,130300,350357.91,308314.96,42042.95,0.12,164,0.112426,18,39389.35,30509.42,GBP,4726.72,3.38
202308,202308,0,NIG-200,NIG-510,SPARE_PARTS,130300,405241.06,356612.13,48628.93,0.12,108,1.0,108,405241.06,318339.39,GBP,48628.93,3.38
202308,202307,1,NIG-200,NIG-510,SPARE_PARTS,130300,408631.45,359595.68,49035.77,0.12,213,0.704142,149,287734.57,226031.51,GBP,34528.15,3.38
202308,202306,2,NIG-200,NIG-510,SPARE_PARTS,130300,380080.54,334470.88,45609.66,0.12,94,0.408284,38,155180.81,121903.16,GBP,18621.7,3.38
202308,202305,3,NIG-200,NIG-510,SPARE_PARTS,130300,356111.6,313378.21,42733.39,0.12,88,0.112426,9,40036.22,31450.67,GBP,4804.35,3.38
202309,202309,0,NIG-200,NIG-510,SPARE_PARTS,130300,432167.16,380307.1,51860.06,0.12,175,1.0,175,432167.16,349019.41,GBP,51860.06,3.38
202309,202308,1,NIG-200,NIG-510,SPARE_PARTS,130300,405241.06,356612.13,48628.93,0.12,132,0.704142,92,285347.25,230447.24,GBP,34241.67,3.38
202309,202307,2,NIG-200,NIG-510,SPARE_PARTS,130300,408631.45,359595.68,49035.77,0.12,132,0.408284,53,166837.69,134738.59,GBP,20020.52,3.38
202309,202306,3,NIG-200,NIG-510,SPARE_PARTS,130300,380080.54,334470.88,45609.66,0.12,95,0.112426,10,42730.95,34509.63,GBP,5127.71,3.38
202310,202310,0,NIG-200,NIG-510,SPARE_PARTS,130300,449456.27,395521.52,53934.75,0.12,169,1.0,169,449456.27,359739.44,GBP,53934.75,3.38
202310,202309,1,NIG-200,NIG-510,SPARE_PARTS,130300,432167.16,380307.1,51860.06,0.12,123,0.704142,86,304307.05,243563.74,GBP,36516.85,3.38
202310,202308,2,NIG-200,NIG-510,SPARE_PARTS,130300,405241.06,356612.13,48628.93,0.12,130,0.408284,53,165453.45,132426.97,GBP,19854.41,3.38
202310,202307,3,NIG-200,NIG-510,SPARE_PARTS,130300,408631.45,359595.68,49035.77,0.12,128,0.112426,14,45940.81,36770.48,GBP,5512.9,3.38
202311,202311,0,NIG-200,NIG-510,SPARE_PARTS,130300,453665.16,399225.34,54439.82,0.12,125,1.0,125,453665.16,370630.22,GBP,54439.82,3.38
202311,202310,1,NIG-200,NIG-510,SPARE_PARTS,130300,449456.27,395521.52,53934.75,0.12,234,0.704142,164,316481.04,258555.1,GBP,37977.73,3.38
202311,202309,2,NIG-200,NIG-510,SPARE_PARTS,130300,432167.16,380307.1,51860.06,0.12,111,0.408284,45,176446.95,144151.63,GBP,21173.63,3.38
202311,202308,3,NIG-200,NIG-510,SPARE_PARTS,130300,405241.06,356612.13,48628.93,0.12,113,0.112426,12,45559.65,37220.8,GBP,5467.16,3.38
202312,202312,0,NIG-200,NIG-510,SPARE_PARTS,130300,414926.39,365135.23,49791.17,0.12,153,1.0,153,414926.39,325560.14,GBP,49791.17,3.38
202312,202311,1,NIG-200,NIG-510,SPARE_PARTS,130300,453665.16,399225.34,54439.82,0.12,199,0.704142,140,319444.7,250643.15,GBP,38333.36,3.38
202312,202310,2,NIG-200,NIG-510,SPARE_PARTS,130300,449456.27,395521.52,53934.75,0.12,152,0.408284,62,183505.82,143982.59,GBP,22020.7,3.38
202312,202309,3,NIG-200,NIG-510,SPARE_PARTS,130300,432167.16,380307.1,51860.06,0.12,115,0.112426,12,48586.84,38122.28,GBP,5830.42,3.38
202304,202304,0,NIG-220,NIG-200,COMPONENTS,130100,363870.68,327483.62,36387.07,0.1,182,1.0,182,363870.68,363870.68,USD,36387.07,1.89
202305,202305,0,NIG-220,NIG-200,COMPONENTS,130100,358647.3,322782.57,35864.73,0.1,162,1.0,162,358647.3,358647.3,USD,35864.73,1.89
202305,202304,1,NIG-220,NIG-200,COMPONENTS,130100,363870.68,327483.62,36387.07,0.1,92,0.470899,43,171346.51,171346.51,USD,17134.65,1.89
202306,202306,0,NIG-220,NIG-200,COMPONENTS,130100,325669.24,293102.31,32566.92,0.1,170,1.0,170,325669.24,325669.24,USD,32566.92,1.89
202306,202305,1,NIG-220,NIG-200,COMPONENTS,130100,358647.3,322782.57,35864.73,0.1,129,0.470899,60,168886.82,168886.82,USD,16888.68,1.89
202307,202307,0,NIG-220,NIG-200,COMPONENTS,130100,335711.31,302140.18,33571.13,0.1,141,1.0,141,335711.31,335711.31,USD,33571.13,1.89
202307,202306,1,NIG-220,NIG-200,COMPONENTS,130100,325669.24,293102.31,32566.92,0.1,81,0.470899,38,153357.47,153357.47,USD,15335.75,1.89
202308,202308,0,NIG-220,NIG-200,COMPONENTS,130100,346313.41,311682.07,34631.34,0.1,86,1.0,86,346313.41,346313.41,USD,34631.34,1.89
202308,202307,1,NIG-220,NIG-200,COMPONENTS,130100,335711.31,302140.18,33571.13,0.1,87,0.470899,40,158086.28,158086.28,USD,15808.63,1.89
202309,202309,0,NIG-220,NIG-200,COMPONENTS,130100,337999.2,304199.28,33799.92,0.1,124,1.0,124,337999.2,337999.2,USD,33799.92,1.89
202309,202308,1,NIG-220,NIG-200,COMPONENTS,130100,346313.41,311682.07,34631.34,0.1,91,0.470899,42,163078.8,163078.8,USD,16307.88,1.89
202310,202310,0,NIG-220,NIG-200,COMPONENTS,130100,386331.13,347698.02,38633.11,0.1,204,1.0,204,386331.13,386331.13,USD,38633.11,1.89
202310,202309,1,NIG-220,NIG-200,COMPONENTS,130100,337999.2,304199.28,33799.92,0.1,98,0.470899,46,159163.65,159163.65,USD,15916.36,1.89
202311,202311,0,NIG-220,NIG-200,COMPONENTS,130100,418258.63,376432.76,41825.86,0.1,115,1.0,115,418258.63,418258.63,USD,41825.86,1.89
202311,202310,1,NIG-220,NIG-200,COMPONENTS,130100,386331.13,347698.02,38633.11,0.1,192,0.470899,90,181923.12,181923.12,USD,18192.31,1.89
202312,202312,0,NIG-220,NIG-200,COMPONENTS,130100,429199.1,386279.19,42919.91,0.1,178,1.0,178,429199.1,429199.1,USD,42919.91,1.89
202312,202311,1,NIG-220,NIG-200,COMPONENTS,130100,418258.63,376432.76,41825.86,0.1,124,0.470899,58,196957.77,196957.77,USD,19695.78,1.89
202401,202401,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1047122.02,921467.38,125654.64,0.12,253,1.0,253,1047122.02,1352872.81,CAD,125654.64,2.97
202402,202402,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1005555.44,884888.79,120666.65,0.12,302,1.0,302,1005555.44,1299252.37,CAD,120666.65,2.97
202402,202401,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1047122.02,921467.38,125654.64,0.12,517,0.6633,342,694555.69,897417.57,CAD,83346.68,2.97
202403,202403,0,NIG-200,NIG-210,FINISHED_GOODS,130300,936258.42,823907.41,112351.01,0.12,272,1.0,272,936258.42,1229028.6,CAD,112351.01,2.97
202403,202402,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1005555.44,884888.79,120666.65,0.12,418,0.6633,277,666984.58,875552.21,CAD,80038.15,2.97
202403,202401,2,NIG-200,NIG-210,FINISHED_GOODS,130300,1047122.02,921467.38,125654.64,0.12,487,0.326599,159,341989.35,448930.21,CAD,41038.72,2.97
202404,202404,0,NIG-200,NIG-210,FINISHED_GOODS,130300,855130.16,752514.54,102615.62,0.12,236,1.0,236,855130.16,1124803.2,CAD,102615.62,2.97
202404,202403,1,NIG-200,NIG-210,FINISHED_GOODS,130300,936258.42,823907.41,112351.01,0.12,304,0.6633,201,621019.89,816864.14,CAD,74522.39,2.97
202404,202402,2,NIG-200,NIG-210,FINISHED_GOODS,130300,1005555.44,884888.79,120666.65,0.12,519,0.326599,169,328413.73,431981.97,CAD,39409.65,2.97
202405,202405,0,NIG-200,NIG-210,FINISHED_GOODS,130300,936634.38,824238.26,112396.13,0.12,239,1.0,239,936634.38,1238229.06,CAD,112396.13,2.97
202405,202404,1,NIG-200,NIG-210,FINISHED_GOODS,130300,855130.16,752514.54,102615.62,0.12,268,0.6633,177,567207.55,749847.41,CAD,68064.91,2.97
202405,202403,2,NIG-200,NIG-210,FINISHED_GOODS,130300,936258.42,823907.41,112351.01,0.12,360,0.326599,117,305781.37,404242.45,CAD,36693.76,2.97
202406,202406,0,NIG-200,NIG-210,FINISHED_GOODS,130300,963470.09,847853.68,115616.41,0.12,310,1.0,310,963470.09,1302924.34,CAD,115616.41,2.97
202406,202405,1,NIG-200,NIG-210,FINISHED_GOODS,130300,936634.38,824238.26,112396.13,0.12,507,0.6633,336,621269.27,840157.75,CAD,74552.31,2.97
202406,202404,2,NIG-200,NIG-210,FINISHED_GOODS,130300,855130.16,752514.54,102615.62,0.12,242,0.326599,79,279284.93,377683.9,CAD,33514.19,2.97
202407,202407,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1045854.51,920351.97,125502.54,0.12,387,1.0,387,1045854.51,1477801.45,CAD,125502.54,2.97
202407,202406,1,NIG-200,NIG-210,FINISHED_GOODS,130300,963470.09,847853.68,115616.41,0.12,234,0.6633,155,639069.38,903010.56,CAD,76688.33,2.97
202407,202405,2,NIG-200,NIG-210,FINISHED_GOODS,130300,936634.38,824238.26,112396.13,0.12,244,0.326599,79,305904.16,432245.22,CAD,36708.5,2.97
202408,202408,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1188366.35,1045762.39,142603.96,0.12,283,1.0,283,1188366.35,1646265.41,CAD,142603.96,2.97
202408,202407,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1045854.51,920351.97,125502.54,0.12,561,0.6633,372,693714.94,961015.87,CAD,83245.79,2.97
202408,202406,2,NIG-200,NIG-210,FINISHED_GOODS,130300,963470.09,847853.68,115616.41,0.12,242,0.326599,79,314668.68,435916.22,CAD,37760.24,2.97
202409,202409,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1217586.37,1071476.01,146110.36,0.12,319,1.0,319,1217586.37,1711837.18,CAD,146110.36,2.97
202409,202408,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1188366.35,1045762.39,142603.96,0.12,596,0.6633,395,788243.0,1108211.87,CAD,94589.16,2.97
202409,202407,2,NIG-200,NIG-210,FINISHED_GOODS,130300,1045854.51,920351.97,125502.54,0.12,262,0.326599,85,341575.38,480229.94,CAD,40989.05,2.97
202410,202410,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1213968.3,1068292.1,145676.2,0.12,529,1.0,529,1213968.3,1719706.23,CAD,145676.2,2.97
202410,202409,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1217586.37,1071476.01,146110.36,0.12,461,0.6633,305,807624.63,1144080.21,CAD,96914.96,2.97
202410,202408,2,NIG-200,NIG-210,FINISHED_GOODS,130300,1188366.35,1045762.39,142603.96,0.12,316,0.326599,103,388119.65,549809.89,CAD,46574.36,2.97
202411,202411,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1121838.75,987218.1,134620.65,0.12,274,1.0,274,1121838.75,1616363.38,CAD,134620.65,2.97
202411,202410,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1213968.3,1068292.1,145676.2,0.12,310,0.6633,205,805224.76,1160180.83,CAD,96626.97,2.97
202411,202409,2,NIG-200,NIG-210,FINISHED_GOODS,130300,1217586.37,1071476.01,146110.36,0.12,475,0.326599,155,397662.89,572959.11,CAD,47719.55,2.97
202412,202412,0,NIG-200,NIG-210,FINISHED_GOODS,130300,1110215.22,976989.39,133225.83,0.12,341,1.0,341,1110215.22,1595366.03,CAD,133225.83,2.97
202412,202411,1,NIG-200,NIG-210,FINISHED_GOODS,130300,1121838.75,987218.1,134620.65,0.12,514,0.6633,340,744115.27,1069284.76,CAD,89293.83,2.97
202412,202410,2,NIG-200,NIG-210,FINISHED_GOODS,130300,1213968.3,1068292.1,145676.2,0.12,600,0.326599,195,396481.23,569738.8,CAD,47577.75,2.97
202401,202401,0,NIG-200,NIG-500,SPARE_PARTS,130300,669319.16,589000.86,80318.3,0.12,265,1.0,265,669319.16,669319.16,USD,80318.3,2.43
202402,202402,0,NIG-200,NIG-500,SPARE_PARTS,130300,615327.61,541488.3,73839.31,0.12,174,1.0,174,615327.61,615327.61,USD,73839.31,2.43
202402,202401,1,NIG-200,NIG-500,SPARE_PARTS,130300,669319.16,589000.86,80318.3,0.12,362,0.588477,213,393879.18,393879.18,USD,47265.5,2.43
202403,202403,0,NIG-200,NIG-500,SPARE_PARTS,130300,583728.96,513681.48,70047.48,0.12,142,1.0,142,583728.96,583728.96,USD,70047.48,2.43
202403,202402,1,NIG-200,NIG-500,SPARE_PARTS,130300,615327.61,541488.3,73839.31,0.12,320,0.588477,188,362106.37,362106.37,USD,43452.76,2.43
