ic_transaction_id,period_key,seller_entity,buyer_entity,product_category,transfer_price_seller_local,seller_currency,seller_cost_local,ic_gross_profit_seller_local,ic_margin_pct,transfer_price_buyer_local,buyer_currency,transfer_price_usd,ic_gross_profit_usd,quantity,buyer_inventory_account
ICS-200500-202305,202305,NIG-200,NIG-500,SPARE_PARTS,487153.55,USD,428695.13,58458.43,0.12,487153.55,USD,487153.55,58458.43,230,130300
ICS-200500-202306,202306,NIG-200,NIG-500,SPARE_PARTS,514962.53,USD,453167.03,61795.5,0.12,514962.53,USD,514962.53,61795.5,216,130300
ICS-200500-202307,202307,NIG-200,NIG-500,SPARE_PARTS,555789.79,USD,489095.01,66694.77,0.12,555789.79,USD,555789.79,66694.77,250,130300
ICS-200500-202308,202308,NIG-200,NIG-500,SPARE_PARTS,616093.07,USD,542161.9,73931.17,0.12,616093.07,USD,616093.07,73931.17,271,130300
ICS-200500-202309,202309,NIG-200,NIG-500,SPARE_PARTS,626939.76,USD,551706.99,75232.77,0.12,626939.76,USD,626939.76,75232.77,224,130300
ICS-200500-202310,202310,NIG-200,NIG-500,SPARE_PARTS,619250.08,USD,544940.07,74310.01,0.12,619250.08,USD,619250.08,74310.01,180,130300
ICS-200500-202311,202311,NIG-200,NIG-500,SPARE_PARTS,608309.42,USD,535312.29,72997.13,0.12,608309.42,USD,608309.42,72997.13,159,130300
ICS-200500-202312,202312,NIG-200,NIG-500,SPARE_PARTS,579354.0,USD,509831.52,69522.48,0.12,579354.0,USD,579354.0,69522.48,174,130300
ICS-200510-202301,202301,NIG-200,NIG-510,SPARE_PARTS,413970.95,USD,364294.44,49676.51,0.12,339300.13,GBP,413970.95,49676.51,159,130300
ICS-200510-202302,202302,NIG-200,NIG-510,SPARE_PARTS,383834.86,USD,337774.67,46060.18,0.12,316295.51,GBP,383834.86,46060.18,123,130300
ICS-200510-202303,202303,NIG-200,NIG-510,SPARE_PARTS,377556.65,USD,332249.85,45306.8,0.12,306390.28,GBP,377556.65,45306.8,158,130300
ICS-200510-202304,202304,NIG-200,NIG-510,SPARE_PARTS,350357.91,USD,308314.96,42042.95,0.12,281348.76,GBP,350357.91,42042.95,138,130300
ICS-200510-202305,202305,NIG-200,NIG-510,SPARE_PARTS,356111.6,USD,313378.21,42733.39,0.12,284801.31,GBP,356111.6,42733.39,98,130300
ICS-200510-202306,202306,NIG-200,NIG-510,SPARE_PARTS,380080.54,USD,334470.88,45609.66,0.12,303878.15,GBP,380080.54,45609.66,108,130300
ICS-200510-202307,202307,NIG-200,NIG-510,SPARE_PARTS,408631.45,USD,359595.68,49035.77,0.12,320286.58,GBP,408631.45,49035.77,166,130300
ICS-200510-202308,202308,NIG-200,NIG-510,SPARE_PARTS,405241.06,USD,356612.13,48628.93,0.12,315593.73,GBP,405241.06,48628.93,97,130300
ICS-200510-202309,202309,NIG-200,NIG-510,SPARE_PARTS,432167.16,USD,380307.1,51860.06,0.12,343495.82,GBP,432167.16,51860.06,157,130300
ICS-200510-202310,202310,NIG-200,NIG-510,SPARE_PARTS,449456.27,USD,395521.52,53934.75,0.12,365429.14,GBP,449456.27,53934.75,193,130300
ICS-200510-202311,202311,NIG-200,NIG-510,SPARE_PARTS,453665.16,USD,399225.34,54439.82,0.12,368344.09,GBP,453665.16,54439.82,138,130300
ICS-200510-202312,202312,NIG-200,NIG-510,SPARE_PARTS,414926.39,USD,365135.23,49791.17,0.12,335679.3,GBP,414926.39,49791.17,202,130300
ICS-220200-202304,202304,NIG-220,NIG-200,COMPONENTS,331890.92,EUR,298701.83,33189.09,0.1,363870.68,USD,363870.68,36387.07,99,130100
ICS-220200-202305,202305,NIG-220,NIG-200,COMPONENTS,328425.53,EUR,295582.98,32842.55,0.1,358647.3,USD,358647.3,35864.73,119,130100
ICS-220200-202306,202306,NIG-220,NIG-200,COMPONENTS,308128.75,EUR,277315.88,30812.88,0.1,325669.24,USD,325669.24,32566.92,132,130100
ICS-220200-202307,202307,NIG-220,NIG-200,COMPONENTS,313745.62,EUR,282371.06,31374.56,0.1,335711.31,USD,335711.31,33571.13,93,130100
ICS-220200-202308,202308,NIG-220,NIG-200,COMPONENTS,325614.0,EUR,293052.6,32561.4,0.1,346313.41,USD,346313.41,34631.34,88,130100
ICS-220200-202309,202309,NIG-220,NIG-200,COMPONENTS,312249.29,EUR,281024.36,31224.93,0.1,337999.2,USD,337999.2,33799.92,120,130100
ICS-220200-202310,202310,NIG-220,NIG-200,COMPONENTS,352141.04,EUR,316926.94,35214.1,0.1,386331.13,USD,386331.13,38633.11,124,130100
ICS-220200-202311,202311,NIG-220,NIG-200,COMPONENTS,376056.76,EUR,338451.08,37605.68,0.1,418258.63,USD,418258.63,41825.86,208,130100
ICS-220200-202312,202312,NIG-220,NIG-200,COMPONENTS,388223.02,EUR,349400.71,38822.3,0.1,429199.1,USD,429199.1,42919.91,114,130100
ICS-200210-202401,202401,NIG-200,NIG-210,FINISHED_GOODS,1047122.02,USD,921467.38,125654.64,0.12,1379842.25,CAD,1047122.02,125654.64,472,130300
ICS-200210-202402,202402,NIG-200,NIG-210,FINISHED_GOODS,1005555.44,USD,884888.79,120666.65,0.12,1312359.33,CAD,1005555.44,120666.65,277,130300
ICS-200210-202403,202403,NIG-200,NIG-210,FINISHED_GOODS,936258.42,USD,823907.41,112351.01,0.12,1230410.55,CAD,936258.42,112351.01,229,130300
ICS-200210-202404,202404,NIG-200,NIG-210,FINISHED_GOODS,855130.16,USD,752514.54,102615.62,0.12,1140393.66,CAD,855130.16,102615.62,207,130300
ICS-200210-202405,202405,NIG-200,NIG-210,FINISHED_GOODS,936634.38,USD,824238.26,112396.13,0.12,1248397.06,CAD,936634.38,112396.13,508,130300
ICS-200210-202406,202406,NIG-200,NIG-210,FINISHED_GOODS,963470.09,USD,847853.68,115616.41,0.12,1300947.3,CAD,963470.09,115616.41,272,130300
ICS-200210-202407,202407,NIG-200,NIG-210,FINISHED_GOODS,1045854.51,USD,920351.97,125502.54,0.12,1446355.27,CAD,1045854.51,125502.54,500,130300
ICS-200210-202408,202408,NIG-200,NIG-210,FINISHED_GOODS,1188366.35,USD,1045762.39,142603.96,0.12,1669856.19,CAD,1188366.35,142603.96,509,130300
ICS-200210-202409,202409,NIG-200,NIG-210,FINISHED_GOODS,1217586.37,USD,1071476.01,146110.36,0.12,1713614.75,CAD,1217586.37,146110.36,344,130300
ICS-200210-202410,202410,NIG-200,NIG-210,FINISHED_GOODS,1213968.3,USD,1068292.1,145676.2,0.12,1717398.9,CAD,1213968.3,145676.2,667,130300
ICS-200210-202411,202411,NIG-200,NIG-210,FINISHED_GOODS,1121838.75,USD,987218.1,134620.65,0.12,1627070.03,CAD,1121838.75,134620.65,411,130300
ICS-200210-202412,202412,NIG-200,NIG-210,FINISHED_GOODS,1110215.22,USD,976989.39,133225.83,0.12,1605233.96,CAD,1110215.22,133225.83,520,130300
ICS-200500-202401,202401,NIG-200,NIG-500,SPARE_PARTS,669319.16,USD,589000.86,80318.3,0.12,669319.16,USD,669319.16,80318.3,237,130300
ICS-200500-202402,202402,NIG-200,NIG-500,SPARE_PARTS,615327.61,USD,541488.3,73839.31,0.12,615327.61,USD,615327.61,73839.31,338,130300
ICS-200500-202403,202403,NIG-200,NIG-500,SPARE_PARTS,583728.96,USD,513681.48,70047.48,0.12,583728.96,USD,583728.96,70047.48,149,130300
ICS-200500-202404,202404,NIG-200,NIG-500,SPARE_PARTS,576141.47,USD,507004.5,69136.98,0.12,576141.47,USD,576141.47,69136.98,147,130300
ICS-200500-202405,202405,NIG-200,NIG-500,SPARE_PARTS,566587.33,USD,498596.85,67990.48,0.12,566587.33,USD,566587.33,67990.48,142,130300
ICS-200500-202406,202406,NIG-200,NIG-500,SPARE_PARTS,609823.16,USD,536644.38,73178.78,0.12,609823.16,USD,609823.16,73178.78,243,130300
ICS-200500-202407,202407,NIG-200,NIG-500,SPARE_PARTS,653956.27,USD,575481.52,78474.75,0.12,653956.27,USD,653956.27,78474.75,200,130300
ICS-200500-202408,202408,NIG-200,NIG-500,SPARE_PARTS,705977.14,USD,621259.88,84717.26,0.12,705977.14,USD,705977.14,84717.26,231,130300
ICS-200500-202409,202409,NIG-200,NIG-500,SPARE_PARTS,676003.01,USD,594882.65,81120.36,0.12,676003.01,USD,676003.01,81120.36,204,130300
ICS-200500-202410,202410,NIG-200,NIG-500,SPARE_PARTS,724399.84,USD,637471.86,86927.98,0.12,724399.84,USD,724399.84,86927.98,258,130300
ICS-200500-202411,202411,NIG-200,NIG-500,SPARE_PARTS,716497.51,USD,630517.81,85979.7,0.12,716497.51,USD,716497.51,85979.7,369,130300
ICS-200500-202412,202412,NIG-200,NIG-500,SPARE_PARTS,728238.54,USD,640849.91,87388.62,0.12,728238.54,USD,728238.54,87388.62,239,130300
ICS-200510-202401,202401,NIG-200,NIG-510,SPARE_PARTS,489019.29,USD,430336.97,58682.31,0.12,380931.59,GBP,489019.29,58682.31,135,130300
ICS-200510-202402,202402,NIG-200,NIG-510,SPARE_PARTS,434464.35,USD,382328.62,52135.72,0.12,334415.14,GBP,434464.35,52135.72,148,130300
ICS-200510-202403,202403,NIG-200,NIG-510,SPARE_PARTS,413056.23,USD,363489.48,49566.75,0.12,315364.49,GBP,413056.23,49566.75,122,130300
ICS-200510-202404,202404,NIG-200,NIG-510,SPARE_PARTS,391421.36,USD,344450.8,46970.56,0.12,305085.72,GBP,391421.36,46970.56,141,130300
ICS-200510-202405,202405,NIG-200,NIG-510,SPARE_PARTS,405699.55,USD,357015.6,48683.95,0.12,323192.72,GBP,405699.55,48683.95,107,130300
ICS-200510-202406,202406,NIG-200,NIG-510,SPARE_PARTS,442054.94,USD,389008.35,53046.59,0.12,351799.45,GBP,442054.94,53046.59,135,130300
ICS-200510-202407,202407,NIG-200,NIG-510,SPARE_PARTS,476066.11,USD,418938.18,57127.93,0.12,378479.74,GBP,476066.11,57127.93,173,130300
ICS-200510-202408,202408,NIG-200,NIG-510,SPARE_PARTS,544991.54,USD,479592.55,65398.98,0.12,424813.21,GBP,544991.54,65398.98,172,130300
ICS-200510-202409,202409,NIG-200,NIG-510,SPARE_PARTS,526982.7,USD,463744.78,63237.92,0.12,410941.55,GBP,526982.7,63237.92,246,130300
ICS-200510-202410,202410,NIG-200,NIG-510,SPARE_PARTS,534246.59,USD,470137.0,64109.59,0.12,421195.05,GBP,534246.59,64109.59,174,130300
ICS-200510-202411,202411,NIG-200,NIG-510,SPARE_PARTS,532206.01,USD,468341.29,63864.72,0.12,416063.28,GBP,532206.01,63864.72,143,130300
ICS-200510-202412,202412,NIG-200,NIG-510,SPARE_PARTS,528791.34,USD,465336.38,63454.96,0.12,411892.82,GBP,528791.34,63454.96,165,130300
ICS-220200-202401,202401,NIG-220,NIG-200,COMPONENTS,287009.01,EUR,258308.11,28700.9,0.1,320658.73,USD,320658.73,32065.87,162,130100
ICS-220200-202402,202402,NIG-220,NIG-200,COMPONENTS,280864.74,EUR,252778.26,28086.47,0.1,309633.7,USD,309633.7,30963.37,84,130100
ICS-220200-202403,202403,NIG-220,NIG-200,COMPONENTS,251172.04,EUR,226054.84,25117.2,0.1,281312.47,USD,281312.47,28131.25,72,130100
ICS-220200-202404,202404,NIG-220,NIG-200,COMPONENTS,256004.03,EUR,230403.63,25600.4,0.1,279737.94,USD,279737.94,27973.79,115,130100
ICS-220200-202405,202405,NIG-220,NIG-200,COMPONENTS,265346.73,EUR,238812.05,26534.67,0.1,289487.5,USD,289487.5,28948.75,70,130100
ICS-220200-202406,202406,NIG-220,NIG-200,COMPONENTS,287218.84,EUR,258496.96,28721.88,0.1,308445.47,USD,308445.47,30844.55,79,130100
ICS-220200-202407,202407,NIG-220,NIG-200,COMPONENTS,312253.05,EUR,281027.75,31225.31,0.1,327068.07,USD,327068.07,32706.81,124,130100
ICS-220200-202408,202408,NIG-220,NIG-200,COMPONENTS,329371.25,EUR,296434.13,32937.13,0.1,343501.42,USD,343501.42,34350.14,114,130100
ICS-220200-202409,202409,NIG-220,NIG-200,COMPONENTS,333058.62,EUR,299752.76,33305.86,0.1,359084.11,USD,359084.11,35908.41,85,130100
ICS-220200-202410,202410,NIG-220,NIG-200,COMPONENTS,336864.57,EUR,303178.11,33686.46,0.1,364803.11,USD,364803.11,36480.31,94,130100
ICS-220200-202411,202411,NIG-220,NIG-200,COMPONENTS,335859.96,EUR,302273.97,33586.0,0.1,364936.25,USD,364936.25,36493.63,122,130100
ICS-220200-202412,202412,NIG-220,NIG-200,COMPONENTS,345422.7,EUR,310880.43,34542.27,0.1,364331.23,USD,364331.23,36433.12,132,130100
ICS-200210-202501,202501,NIG-200,NIG-210,FINISHED_GOODS,1227160.94,USD,1079901.62,147259.31,0.12,1824523.7,CAD,1227160.94,147259.31,333,130300
ICS-200210-202502,202502,NIG-200,NIG-210,FINISHED_GOODS,1147938.26,USD,1010185.67,137752.59,0.12,1682959.72,CAD,1147938.26,137752.59,378,130300
ICS-200210-202503,202503,NIG-200,NIG-210,FINISHED_GOODS,1014567.53,USD,892819.43,121748.1,0.12,1423591.39,CAD,1014567.53,121748.1,277,130300
ICS-200210-202504,202504,NIG-200,NIG-210,FINISHED_GOODS,994562.54,USD,875215.03,119347.5,0.12,1360899.38,CAD,994562.54,119347.5,290,130300
ICS-200210-202505,202505,NIG-200,NIG-210,FINISHED_GOODS,1081162.12,USD,951422.66,129739.45,0.12,1451928.05,CAD,1081162.12,129739.45,365,130300
ICS-200210-202506,202506,NIG-200,NIG-210,FINISHED_GOODS,1078610.59,USD,949177.32,129433.27,0.12,1435546.19,CAD,1078610.59,129433.27,429,130300
ICS-200210-202507,202507,NIG-200,NIG-210,FINISHED_GOODS,1256797.96,USD,1105982.2,150815.75,0.12,1695548.06,CAD,1256797.96,150815.75,599,130300
ICS-200210-202508,202508,NIG-200,NIG-210,FINISHED_GOODS,1265018.89,USD,1113216.63,151802.27,0.12,1718175.96,CAD,1265018.89,151802.27,348,130300
ICS-200210-202509,202509,NIG-200,NIG-210,FINISHED_GOODS,1357435.96,USD,1194543.65,162892.32,0.12,1887215.07,CAD,1357435.96,162892.32,479,130300
ICS-200210-202510,202510,NIG-200,NIG-210,FINISHED_GOODS,1405522.22,USD,1236859.56,168662.67,0.12,1965839.34,CAD,1405522.22,168662.67,419,130300
ICS-200210-202511,202511,NIG-200,NIG-210,FINISHED_GOODS,1339548.35,USD,1178802.55,160745.8,0.12,1879291.87,CAD,1339548.35,160745.8,520,130300
ICS-200210-202512,202512,NIG-200,NIG-210,FINISHED_GOODS,1321674.64,USD,1163073.69,158600.96,0.12,1895466.19,CAD,1321674.64,158600.96,458,130300
ICS-200500-202501,202501,NIG-200,NIG-500,SPARE_PARTS,795938.92,USD,700426.25,95512.67,0.12,795938.92,USD,795938.92,95512.67,195,130300
ICS-200500-202502,202502,NIG-200,NIG-500,SPARE_PARTS,733836.62,USD,645776.22,88060.39,0.12,733836.62,USD,733836.62,88060.39,232,130300
ICS-200500-202503,202503,NIG-200,NIG-500,SPARE_PARTS,673722.24,USD,592875.57,80846.67,0.12,673722.24,USD,673722.24,80846.67,228,130300
ICS-200500-202504,202504,NIG-200,NIG-500,SPARE_PARTS,581284.01,USD,511529.93,69754.08,0.12,581284.01,USD,581284.01,69754.08,210,130300
ICS-200500-202505,202505,NIG-200,NIG-500,SPARE_PARTS,645078.87,USD,567669.41,77409.46,0.12,645078.87,USD,645078.87,77409.46,287,130300
ICS-200500-202506,202506,NIG-200,NIG-500,SPARE_PARTS,682871.33,USD,600926.77,81944.56,0.12,682871.33,USD,682871.33,81944.56,260,130300
ICS-200500-202507,202507,NIG-200,NIG-500,SPARE_PARTS,723716.75,USD,636870.74,86846.01,0.12,723716.75,USD,723716.75,86846.01,252,130300
ICS-200500-202508,202508,NIG-200,NIG-500,SPARE_PARTS,782278.31,USD,688404.91,93873.4,0.12,782278.31,USD,782278.31,93873.4,321,130300
ICS-200500-202509,202509,NIG-200,NIG-500,SPARE_PARTS,859294.27,USD,756178.96,103115.31,0.12,859294.27,USD,859294.27,103115.31,223,130300
ICS-200500-202510,202510,NIG-200,NIG-500,SPARE_PARTS,851296.97,USD,749141.33,102155.64,0.12,851296.97,USD,851296.97,102155.64,466,130300
ICS-200500-202511,202511,NIG-200,NIG-500,SPARE_PARTS,822197.4,USD,723533.72,98663.69,0.12,822197.4,USD,822197.4,98663.69,419,130300
ICS-200500-202512,202512,NIG-200,NIG-500,SPARE_PARTS,818484.32,USD,720266.2,98218.12,0.12,818484.32,USD,818484.32,98218.12,340,130300
ICS-200510-202501,202501,NIG-200,NIG-510,SPARE_PARTS,525397.61,USD,462349.89,63047.71,0.12,415901.28,GBP,525397.61,63047.71,162,130300
ICS-200510-202502,202502,NIG-200,NIG-510,SPARE_PARTS,528078.82,USD,464709.36,63369.46,0.12,426353.48,GBP,528078.82,63369.46,234,130300
ICS-200510-202503,202503,NIG-200,NIG-510,SPARE_PARTS,470898.35,USD,414390.55,56507.8,0.12,390063.1,GBP,470898.35,56507.8,147,130300
ICS-200510-202504,202504,NIG-200,NIG-510,SPARE_PARTS,477838.69,USD,420498.05,57340.64,0.12,388816.21,GBP,477838.69,57340.64,168,130300
ICS-200510-202505,202505,NIG-200,NIG-510,SPARE_PARTS,479683.07,USD,422121.1,57561.97,0.12,374011.27,GBP,479683.07,57561.97,126,130300
ICS-200510-202506,202506,NIG-200,NIG-510,SPARE_PARTS,517889.88,USD,455743.09,62146.79,0.12,403088.6,GBP,517889.88,62146.79,267,130300
ICS-200510-202507,202507,NIG-200,NIG-510,SPARE_PARTS,549742.58,USD,483773.47,65969.11,0.12,420311.59,GBP,549742.58,65969.11,247,130300
ICS-200510-202508,202508,NIG-200,NIG-510,SPARE_PARTS,586033.51,USD,515709.49,70324.02,0.12,437574.56,GBP,586033.51,70324.02,212,130300
ICS-200510-202509,202509,NIG-200,NIG-510,SPARE_PARTS,592034.79,USD,520990.61,71044.17,0.12,442414.69,GBP,592034.79,71044.17,169,130300
ICS-200510-202510,202510,NIG-200,NIG-510,SPARE_PARTS,630784.65,USD,555090.49,75694.16,0.12,468515.06,GBP,630784.65,75694.16,158,130300
ICS-200510-202511,202511,NIG-200,NIG-510,SPARE_PARTS,598892.98,USD,527025.82,71867.16,0.12,444094.88,GBP,598892.98,71867.16,145,130300
ICS-200510-202512,202512,NIG-200,NIG-510,SPARE_PARTS,597725.07,USD,525998.06,71727.01,0.12,441363.0,GBP,597725.07,71727.01,206,130300
ICS-220200-202501,202501,NIG-220,NIG-200,COMPONENTS,375718.87,EUR,338146.99,37571.89,0.1,384646.19,USD,384646.19,38464.62,129,130100
ICS-220200-202502,202502,NIG-220,NIG-200,COMPONENTS,310751.13,EUR,279676.02,31075.11,0.1,335159.43,USD,335159.43,33515.94,137,130100
ICS-220200-202503,202503,NIG-220,NIG-200,COMPONENTS,311789.87,EUR,280610.88,31178.99,0.1,342308.86,USD,342308.86,34230.89,132,130100
ICS-220200-202504,202504,NIG-220,NIG-200,COMPONENTS,291129.87,EUR,262016.88,29112.99,0.1,326713.1,USD,326713.1,32671.31,123,130100
ICS-220200-202505,202505,NIG-220,NIG-200,COMPONENTS,273385.82,EUR,246047.24,27338.58,0.1,317581.15,USD,317581.15,31758.11,167,130100
ICS-220200-202506,202506,NIG-220,NIG-200,COMPONENTS,322742.26,EUR,290468.04,32274.23,0.1,361034.27,USD,361034.27,36103.43,101,130100
ICS-220200-202507,202507,NIG-220,NIG-200,COMPONENTS,334432.64,EUR,300989.37,33443.26,0.1,368743.06,USD,368743.06,36874.31,100,130100
ICS-220200-202508,202508,NIG-220,NIG-200,COMPONENTS,353682.66,EUR,318314.4,35368.27,0.1,393988.41,USD,393988.41,39398.84,95,130100
ICS-220200-202509,202509,NIG-220,NIG-200,COMPONENTS,390426.66,EUR,351383.99,39042.67,0.1,432016.22,USD,432016.22,43201.62,181,130100
ICS-220200-202510,202510,NIG-220,NIG-200,COMPONENTS,388519.7,EUR,349667.73,38851.97,0.1,427569.81,USD,427569.81,42756.98,233,130100
ICS-220200-202511,202511,NIG-220,NIG-200,COMPONENTS,372888.02,EUR,335599.22,37288.8,0.1,409338.26,USD,409338.26,40933.83,130,130100
ICS-220200-202512,202512,NIG-220,NIG-200,COMPONENTS,339718.9,EUR,305747.01,33971.89,0.1,385901.23,USD,385901.23,38590.12,166,130100
ICS-200210-202601,202601,NIG-200,NIG-210,FINISHED_GOODS,1961449.55,USD,1726075.6,235373.95,0.12,2739382.25,CAD,1961449.55,235373.95,506,130300
ICS-200210-202602,202602,NIG-200,NIG-210,FINISHED_GOODS,1917060.24,USD,1687013.01,230047.23,0.12,2587390.78,CAD,1917060.24,230047.23,634,130300
ICS-200210-202603,202603,NIG-200,NIG-210,FINISHED_GOODS,1814800.71,USD,1597024.62,217776.08,0.12,2398060.92,CAD,1814800.71,217776.08,600,130300
ICS-200210-202604,202604,NIG-200,NIG-210,FINISHED_GOODS,1672404.95,USD,1471716.36,200688.59,0.12,2254211.02,CAD,1672404.95,200688.59,603,130300
ICS-200210-202605,202605,NIG-200,NIG-210,FINISHED_GOODS,1804066.11,USD,1587578.18,216487.93,0.12,2438367.37,CAD,1804066.11,216487.93,719,130300
ICS-200210-202606,202606,NIG-200,NIG-210,FINISHED_GOODS,1892004.56,USD,1664964.01,227040.55,0.12,2586181.72,CAD,1892004.56,227040.55,493,130300
ICS-200210-202607,202607,NIG-200,NIG-210,FINISHED_GOODS,1967813.65,USD,1731676.01,236137.64,0.12,2718259.93,CAD,1967813.65,236137.64,680,130300
ICS-200210-202608,202608,NIG-200,NIG-210,FINISHED_GOODS,2132400.23,USD,1876512.2,255888.03,0.12,2982897.76,CAD,2132400.23,255888.03,1182,130300
ICS-200500-202601,202601,NIG-200,NIG-500,SPARE_PARTS,1285951.89,USD,1131637.66,154314.23,0.12,1285951.89,USD,1285951.89,154314.23,398,130300
ICS-200500-202602,202602,NIG-200,NIG-500,SPARE_PARTS,1129779.14,USD,994205.64,135573.5,0.12,1129779.14,USD,1129779.14,135573.5,383,130300
ICS-200500-202603,202603,NIG-200,NIG-500,SPARE_PARTS,1118158.89,USD,983979.82,134179.07,0.12,1118158.89,USD,1118158.89,134179.07,351,130300
ICS-200500-202604,202604,NIG-200,NIG-500,SPARE_PARTS,1011591.67,USD,890200.67,121391.0,0.12,1011591.67,USD,1011591.67,121391.0,296,130300
ICS-200500-202605,202605,NIG-200,NIG-500,SPARE_PARTS,1096300.8,USD,964744.7,131556.1,0.12,1096300.8,USD,1096300.8,131556.1,594,130300
ICS-200500-202606,202606,NIG-200,NIG-500,SPARE_PARTS,1151570.61,USD,1013382.13,138188.47,0.12,1151570.61,USD,1151570.61,138188.47,383,130300
ICS-200500-202607,202607,NIG-200,NIG-500,SPARE_PARTS,1209517.14,USD,1064375.08,145142.06,0.12,1209517.14,USD,1209517.14,145142.06,396,130300
ICS-200500-202608,202608,NIG-200,NIG-500,SPARE_PARTS,1383129.88,USD,1217154.3,165975.59,0.12,1383129.88,USD,1383129.88,165975.59,424,130300
ICS-200510-202601,202601,NIG-200,NIG-510,SPARE_PARTS,912580.95,USD,803071.23,109509.71,0.12,683324.53,GBP,912580.95,109509.71,260,130300
ICS-200510-202602,202602,NIG-200,NIG-510,SPARE_PARTS,808932.9,USD,711860.95,97071.95,0.12,608670.5,GBP,808932.9,97071.95,447,130300
ICS-200510-202603,202603,NIG-200,NIG-510,SPARE_PARTS,800843.02,USD,704741.86,96101.16,0.12,596308.71,GBP,800843.02,96101.16,332,130300
ICS-200510-202604,202604,NIG-200,NIG-510,SPARE_PARTS,824418.25,USD,725488.06,98930.19,0.12,614723.84,GBP,824418.25,98930.19,337,130300
ICS-200510-202605,202605,NIG-200,NIG-510,SPARE_PARTS,813618.64,USD,715984.4,97634.24,0.12,614428.25,GBP,813618.64,97634.24,195,130300
ICS-200510-202606,202606,NIG-200,NIG-510,SPARE_PARTS,863704.32,USD,760059.8,103644.52,0.12,638965.86,GBP,863704.32,103644.52,374,130300
ICS-200510-202607,202607,NIG-200,NIG-510,SPARE_PARTS,853163.82,USD,750784.16,102379.66,0.12,617818.98,GBP,853163.82,102379.66,366,130300
ICS-200510-202608,202608,NIG-200,NIG-510,SPARE_PARTS,981738.1,USD,863929.53,117808.57,0.12,721069.03,GBP,981738.1,117808.57,242,130300
ICS-220200-202601,202601,NIG-220,NIG-200,COMPONENTS,536742.39,EUR,483068.15,53674.24,0.1,624238.37,USD,624238.37,62423.84,167,130100
ICS-220200-202602,202602,NIG-220,NIG-200,COMPONENTS,495325.72,EUR,445793.15,49532.57,0.1,569517.35,USD,569517.35,56951.73,297,130100
ICS-220200-202603,202603,NIG-220,NIG-200,COMPONENTS,484873.67,EUR,436386.3,48487.37,0.1,562436.31,USD,562436.31,56243.63,210,130100
