control_id,control_name,category,severity,frequency,grain,phase_enforced,test_logic,tolerance,owner,remediation
CTL-MAP-03,No mapping to a statistical account,MAPPING,BLOCKING,On change,Mapping row,3,No financial source account maps to an account where is_statistical = TRUE.,Zero violations,Group Financial Controller,Statistical accounts sit outside the trial balance. Mapping a financial account there would unbalance the entity.
CTL-MAP-04,Conditional split rules resolve,MAPPING,BLOCKING,Monthly,Journal line,3,"Every line whose mapping_type = 'SPLIT' resolves to exactly one group account. No line falls through the rule set without a match.",Zero unresolved,Group Financial Controller,"Applies especially to Aurora 6100 and Kestrel 00091000 payroll, where the department or cost centre attribute decides whether the cost is a cost of sale or an operating expense. A fall-through silently moves cost across the gross margin line."
CTL-MAP-05,Mapping coverage of value not just of codes,MAPPING,WARNING,Monthly,Entity x period,3,"The absolute value of mapped postings is at least 99.9% of the absolute value of all postings.",0.1% of absolute value,Group Financial Controller,"A single unmapped high-value account can pass a code-count test while failing a value test. Both are run."
CTL-MAP-06,Group accounts with no source,MAPPING,INFO,Quarterly,Group account,5,"Report group accounts that received no postings in the period, distinguishing genuinely unused accounts from those expected to be populated.",Reported not enforced,Group Financial Controller,"Expected for accounts only used by one ERP, for example accrued warranty which Sable entities do not carry."
CTL-MAP-07,Mapping change log,MAPPING,BLOCKING,On change,Mapping row,3,"Every mapping change is version controlled with an effective-from date, and no mapping is edited retrospectively for a closed period.",Zero retrospective edits,Group Financial Controller,Retrospective mapping changes silently restate closed periods. Create a new effective-dated row instead.
CTL-MAP-08,Total-cost-method reclassification applied,MAPPING,BLOCKING,Monthly,Kestrel entities,3,"Kestrel accounts 00081000 and 00081200 are reclassified into cost of sales with a sign reversal, and no residual balance remains in the revenue block.",0.01 USD,Group Financial Controller,"Leaving the inventory movement in revenue overstates both revenue and gross margin for the German and Dutch entities."
CTL-TB-01,Entity trial balance balances,TRIAL_BALANCE,BLOCKING,Monthly,Entity x period,3,"Sum of all signed amounts across non-statistical accounts equals zero for each entity and period, in local currency.",0.01 local currency,Entity Controller,"The most fundamental control. A non-zero trial balance means the extract is incomplete or the sign convention is wrong."
CTL-TB-02,Trial balance balances after mapping,TRIAL_BALANCE,BLOCKING,Monthly,Entity x period,3,The mapped trial balance still sums to zero for each entity and period.,0.01 local currency,Analytics Engineering,"If the source balanced and the mapped version does not, the mapping itself has dropped or duplicated value."
CTL-TB-03,Trial balance balances after translation,TRIAL_BALANCE,BLOCKING,Monthly,Entity x period,4,"The translated USD trial balance sums to zero for each entity and period, once the CTA entry is posted.",1.00 USD,Group Financial Controller,"A non-zero USD trial balance with a zero local trial balance is by definition a translation defect, since CTA is the balancing entry."
CTL-TB-04,Statistical accounts excluded from balancing,TRIAL_BALANCE,BLOCKING,Monthly,Entity x period,3,No account where is_statistical = TRUE is included in any trial balance test.,Zero included,Analytics Engineering,Including headcount in a debits-equals-credits test produces false failures and trains people to ignore the control.
CTL-TB-05,Opening balances agree to prior close,TRIAL_BALANCE,BLOCKING,Monthly,Entity x account,4,"Every balance sheet account's opening balance equals the prior period's closing balance, in both local and USD.",0.01 local / 1.00 USD,Group Financial Controller,"Detects retrospective changes to closed periods, which is the most damaging failure mode in a consolidation system."
CTL-FS-01,Assets equal liabilities plus equity,FIN_STATEMENT,BLOCKING,Monthly,Entity and Group x period,4,"Total assets less total liabilities less total equity equals zero, tested at entity level and at consolidated level.",1.00 USD,Group Financial Controller,Investigate at entity level first. A group-only failure points at a consolidation entry rather than at source data.
CTL-FS-02,Net income agrees between P&L and balance sheet,FIN_STATEMENT,BLOCKING,Monthly,Entity and Group x period,4,Net income from the income statement equals the movement in the current-year result equity account.,1.00 USD,Group Financial Controller,"A difference means an entry has hit equity directly without passing through the P&L, or the equity roll-forward is broken."
CTL-FS-03,Cash flow reconciles to the balance sheet,FIN_STATEMENT,BLOCKING,Monthly,Group x period,4,"Net change in cash from the cash flow statement equals the movement in balance sheet cash and cash equivalents.",1.00 USD,Group Financial Controller,"The cash flow statement is derived from balance sheet movements, so a break means a movement has been categorised into no cash flow line or into two."
CTL-FS-04,Every balance sheet account has a cash flow category,FIN_STATEMENT,BLOCKING,On change,Group account,4,"Every balance sheet group account has a non-null cash_flow_category, and every non-cash movement is explicitly categorised.",Zero nulls,Analytics Engineering,An uncategorised account causes its movement to vanish from the cash flow statement and breaks CTL-FS-03.
CTL-FS-05,Retained earnings roll-forward,FIN_STATEMENT,BLOCKING,Monthly,Entity x period,4,Opening retained earnings plus net income attributable to the parent less dividends equals closing retained earnings.,1.00 USD,Group Financial Controller,"Detects direct-to-reserves postings, which are a common way for adjustments to bypass the income statement."
CTL-FS-06,Equity roll-forward complete,FIN_STATEMENT,BLOCKING,Monthly,Entity x period,4,"Every equity account movement is explained by a defined driver: result for the period, contributions, distributions, share-based compensation, CTA or NCI allocation.",1.00 USD,Group Financial Controller,An unexplained equity movement is a suspense item and must be cleared before close.
CTL-FS-07,EBITDA definition consistency,FIN_STATEMENT,WARNING,Monthly,Group x period,5,"Reported EBITDA computed from the account hierarchy equals revenue less cost of sales less operating expenses, and Adjusted EBITDA equals reported EBITDA plus the sum of accounts flagged as add-backs.",1.00 USD,FP&A Lead,"Guards against the definition drifting between the Excel model, the semantic layer and the board pack."
CTL-FS-08,Working capital ties to the balance sheet,FIN_STATEMENT,BLOCKING,Monthly,Group x period,5,Net working capital reported in the management pack equals the sum of the underlying balance sheet captions.,1.00 USD,FP&A Lead,Prevents a separately maintained working capital schedule drifting from the accounts.
CTL-FX-01,FX rate completeness,FX,BLOCKING,Monthly,Currency x period x rate set,4,"Every currency in use has an average and a closing rate for every period and every applicable rate set.",Zero missing,Treasury,A missing rate silently translates a foreign entity at zero or drops it entirely.
CTL-FX-02,FX rate reasonableness,FX,WARNING,Monthly,Currency x period,4,"Each rate is within 10% of the prior month and within the configured plausible band for the currency pair.",10% month on month,Treasury,Catches inverted rates and misplaced decimals before they reach the accounts.
CTL-FX-03,Translated P&L agrees to the equity result,FX,BLOCKING,Monthly,Entity x period,4,"Sum of monthly translated income statement equals the movement in the current-year result account for the entity.",1.00 USD,Group Financial Controller,"Enforces that P&L is translated month by month at monthly average rates rather than by applying one rate to a year-to-date total."
CTL-FX-04,CTA is derived and explainable,FX,BLOCKING,Monthly,Entity x period,4,"CTA per the translation engine agrees to an independently computed expectation: opening net assets multiplied by the movement in the closing rate, plus the current-year result multiplied by the difference between closing and average rates.",0.5% warning / 2.0% blocking of the movement,Group Financial Controller,"CTA must never be entered as a plug. If the independent calculation disagrees, the translation logic is wrong."
CTL-FX-05,Rate quotation direction,FX,BLOCKING,On load,Rate row,4,"Every rate is stored as USD per one unit of foreign currency and falls inside the configured band for that currency.",Zero violations,Treasury,An inverted EUR rate of 0.92 instead of 1.09 understates a German entity by roughly 30% and is not obvious in a summary review.
CTL-FX-06,Source system group currency ignored,FX,BLOCKING,Monthly,Kestrel entities,3,"No downstream calculation reads Kestrel's legacy EUR group-currency column or Aurora's system-translated USD column.",Zero references,Data Engineering,"Translating an already-translated amount produces a triangulated rate error that is very hard to find later. Translate only from local currency."
CTL-FX-07,Budget rates frozen,FX,BLOCKING,On change,Rate set,4,"The budget rate set for a locked version is byte-identical to the set stamped at approval.",Zero changes,FP&A Lead,Restating budget FX destroys accountability for the variance.
CTL-FX-08,Constant currency reconciles,FX,WARNING,Monthly,Group x period,5,Reported USD less constant-currency USD equals the FX impact reported in the revenue and EBITDA bridges.,1.00 USD,FP&A Lead,Ensures the FX column in the bridge is calculated rather than asserted.
CTL-IC-01,Intercompany balances eliminate to nil,INTERCOMPANY,BLOCKING,Monthly,Entity pair x account x period,4,"For every entity pair, intercompany receivables of one side equal intercompany payables of the other after translation at the common closing rate.",1.00 USD per pair,Group Financial Controller,"Investigate genuine differences (timing, disputes, FX on differing currencies) before writing anything off."
CTL-IC-02,Intercompany profit and loss eliminates to nil,INTERCOMPANY,BLOCKING,Monthly,Entity pair x account x period,4,"Intercompany revenue equals intercompany cost of sales or expense for every pair and period after translation at the monthly average rate.",1.00 USD per pair,Group Financial Controller,"A break usually means a cut-off difference where the two sides recorded the transaction in different months."
CTL-IC-03,Intercompany mismatch ageing,INTERCOMPANY,WARNING,Monthly,Entity pair,4,"No unreconciled intercompany difference is older than sixty days, and the total unmatched balance is below the configured threshold.",USD 25000 aggregate,Group Financial Controller,"Ageing surfaces chronic mismatches, which is what actually goes wrong in practice, rather than a single month's timing noise."
CTL-IC-04,Intercompany partner always populated,INTERCOMPANY,BLOCKING,Monthly,Journal line,3,"Every posting to an account where is_intercompany = TRUE carries a valid intercompany partner that is not the posting entity itself.",Zero missing,Entity Controller,"Without a partner the balance cannot be matched. Self-referencing partners indicate an incorrectly coded journal."
CTL-IC-05,Intercompany interest separated from third-party,INTERCOMPANY,BLOCKING,Monthly,Entity x period,3,"Interest on affiliate loans is mapped to the intercompany interest accounts and not left in the third-party interest accounts.",1.00 USD,Group Financial Controller,"Relevant to Kestrel account 00100000, which does not separate the two. Un-eliminated intercompany interest overstates consolidated net interest and distorts the covenant coverage ratio."
CTL-IC-06,Elimination entries balance,INTERCOMPANY,BLOCKING,Monthly,Elimination entity x period,4,"Total debits equal total credits within each elimination entity for each period.",0.01 USD,Group Financial Controller,A one-sided elimination unbalances the group balance sheet.
CTL-IC-07,No intercompany balances survive consolidation,INTERCOMPANY,BLOCKING,Monthly,Group x period,4,"Consolidated balances on all accounts where is_intercompany = TRUE are nil, except for the unrealised profit in inventory account which is intended to carry a balance.",1.00 USD,Group Financial Controller,"The exception is deliberate: unrealised profit is a real consolidation adjustment, not an elimination."
CTL-IC-08,Unrealised profit in inventory calculated,INTERCOMPANY,BLOCKING,Monthly,Entity pair,4,"Unrealised profit equals intercompany inventory held at period end multiplied by the transfer margin, and is allocated between group and non-controlling interests where the holder is not wholly owned.",1.00 USD,Group Financial Controller,Frequently missed. Omitting it overstates consolidated inventory and gross profit.
CTL-CON-01,Ownership percentages sum correctly,CONSOLIDATION,BLOCKING,On change,Entity,4,"Ownership plus non-controlling interest equals 100% for every consolidated entity, and every entity except the ultimate parent has exactly one parent.",Zero violations,Group Financial Controller,Prevents double-counting or omission of a subsidiary in the consolidation tree.
CTL-CON-02,Consolidation scope respects effective dates,CONSOLIDATION,BLOCKING,Monthly,Entity x period,4,"No entity contributes results for a period before its consolidation effective-from date or after its effective-to date.",Zero violations,Group Financial Controller,"Consolidating Halden from January 2023 rather than April 2023 would overstate FY2023 revenue by roughly six million dollars and corrupt the organic growth bridge."
CTL-CON-03,Investment in subsidiary eliminates,CONSOLIDATION,BLOCKING,Monthly,Entity pair,4,"Consolidated investment in subsidiary is nil, and the elimination against the subsidiary's share capital and pre-acquisition reserves balances.",1.00 USD,Group Financial Controller,Walk the full ownership tree; second-tier holdings are the usual failure point.
CTL-CON-04,Non-controlling interest allocation,CONSOLIDATION,BLOCKING,Monthly,NCI entity x period,4,"NCI share of net income equals the NCI percentage multiplied by the subsidiary's net income, and closing NCI equity equals opening plus share of result less dividends plus the NCI share of the CTA movement.",1.00 USD,Group Financial Controller,Tests both the income statement allocation and the balance sheet roll-forward.
CTL-CON-05,Consolidated result reconciles to the sum of parts,CONSOLIDATION,BLOCKING,Monthly,Group x period,4,"Consolidated net income equals the sum of entity net income, plus eliminations, plus consolidation adjustments. Each reconciling item is separately identified.",1.00 USD,Group Financial Controller,"This is the reconciliation a CFO will ask for first, so it is produced automatically rather than on request."
CTL-CON-06,Management adjustments excluded from statutory,CONSOLIDATION,BLOCKING,Monthly,Group x period,4,"The statutory consolidated result excludes the management adjustment layer entirely, and the management view equals the statutory result plus that layer.",0.01 USD,Group Financial Controller,Prevents normalisation entries leaking into the reported result.
CTL-CON-07,Top-side entries identified and approved,CONSOLIDATION,BLOCKING,Monthly,Adjustment,4,"Every consolidation and management adjustment has an adjustment ID, type, preparer, approver, narrative and reversal flag. Nothing is posted anonymously.",Zero anonymous,Group Financial Controller,Auditability is the whole point of separating the adjustment layer.
CTL-CON-08,Recurring adjustments reversed,CONSOLIDATION,WARNING,Monthly,Adjustment,4,"Every adjustment flagged as reversing has a matching reversal in the following period.",Zero unreversed,Group Financial Controller,Unreversed accruals are a classic source of drift between the management and statutory views.
CTL-SCN-01,Scenario completeness,SCENARIO,BLOCKING,Monthly,Entity x period x scenario,5,"Budget and the current forecast version exist for every entity and every month of the fiscal year in scope.",Zero gaps,FP&A Lead,"A missing entity in the budget makes every variance for that entity equal to the full actual, which reads as a catastrophic overspend."
CTL-SCN-02,Forecast actual months agree to Actual,SCENARIO,BLOCKING,Monthly,Entity x period,5,"For a forecast version, the months flagged as actual are identical to the Actual scenario for the same entity and period.",1.00 USD,FP&A Lead,An 8+4 forecast whose first eight months disagree with actuals is not a forecast.
CTL-SCN-03,Budget locked after approval,SCENARIO,BLOCKING,On change,Version,5,"No row changes in a locked budget version after its approval date.",Zero changes,FP&A Lead,Enforced by hashing the version at lock and comparing on every build.
CTL-SCN-04,Scenario dimension consistency,SCENARIO,WARNING,Monthly,Entity x account,5,"Budget and forecast use the same entity, account and cost centre members as Actual, with no scenario-only members.",Reported not enforced,FP&A Lead,"Scenario-only members produce variance rows with no actual counterpart, which look like errors to a reader."
CTL-SCN-05,Prior year derivation,SCENARIO,BLOCKING,Monthly,Group x period,5,"Prior year computed by date offset equals the Actual scenario for the corresponding period of the prior year.",0.01 USD,FP&A Lead,Confirms that the derived prior-year approach is equivalent to storing it.
CTL-REC-01,Source to consolidated reconciliation,RECONCILIATION,BLOCKING,Monthly,Group x period,4,"A single statement reconciles the sum of source-system trial balances to the consolidated result, showing mapping effects, translation, eliminations, consolidation adjustments and management adjustments as separate reconciling lines.",1.00 USD,Group Financial Controller,"The headline auditability deliverable. Every difference between what the ERPs say and what the board sees is named and quantified."
CTL-REC-02,Revenue detail ties to the general ledger,RECONCILIATION,BLOCKING,Monthly,Entity x period,4,"Revenue in the customer and product detail fact equals revenue on the corresponding general ledger accounts.",1.00 USD,Analytics Engineering,"Revenue analytics is built on the detail fact, so a break means the analytics and the accounts tell different stories."
CTL-REC-03,Headcount ties between statistical and HR data,RECONCILIATION,WARNING,Monthly,Entity x period,5,"Period-end FTE in the statistical accounts equals the headcount fact within a tolerance for timing.",2 FTE per entity,HR Business Partner,Keeps per-FTE metrics defensible.
CTL-REC-04,Capex ties to fixed assets,RECONCILIATION,BLOCKING,Monthly,Entity x period,4,"Capital additions in the capex fact equal the movement in gross property, plant and equipment less disposals and FX.",1.00 USD,Entity Controller,Detects capex reported to the board that never reached the balance sheet.
CTL-REC-05,Debt schedule ties to the balance sheet,RECONCILIATION,BLOCKING,Monthly,Group x period,4,"Closing balances in the debt schedule equal the debt captions on the balance sheet, and interest expense in the schedule equals the interest accounts.",1.00 USD,Treasury,Covenant reporting is calculated from the schedule; it must agree with the accounts.
CTL-REC-06,Anchor reconciliation,RECONCILIATION,BLOCKING,Per build,Group x fiscal year,9,"Generated and consolidated results agree with the Phase 1 financial anchors: revenue, EBITDA and net income within 0.5%, balance sheet captions within 1.0%.",0.5% / 1.0%,Engagement Lead,"The synthetic data exists to tell a specific business story. Drift from the anchors means the generators, not the anchors, need correcting."
CTL-BR-01,Gross margin within a plausible band,REASONABLENESS,WARNING,Monthly,Entity x BU x period,5,"Gross margin by business unit is within eight percentage points of the trailing twelve-month average, or an explanation is recorded.",8 percentage points,FP&A Lead,Catches cost-of-sales mapping errors that a balancing control cannot see because they net within the P&L.
CTL-BR-02,Revenue per FTE plausible,REASONABLENESS,WARNING,Quarterly,Entity x period,5,Revenue per FTE is within 25% of the trailing twelve-month average for the entity.,25%,FP&A Lead,Detects headcount or revenue loaded for the wrong entity.
CTL-BR-03,Negative balance sanity check,REASONABLENESS,WARNING,Monthly,Entity x account,4,"Accounts flag when they carry a balance opposite to their normal balance: negative inventory, negative cash, debit-balance revenue.",Reported not enforced,Entity Controller,Often legitimate but always worth a look; a credit balance in accounts receivable usually means unapplied cash.
CTL-BR-04,Days ratios within band,REASONABLENESS,WARNING,Monthly,Entity x period,5,"DSO, DIO and DPO are within fifteen days of the trailing twelve-month average.",15 days,FP&A Lead,A step change in DSO with no change in revenue usually indicates a cut-off or an unposted cash receipt.
CTL-BR-05,Forecast accuracy tracked,REASONABLENESS,INFO,Monthly,BU x period,8,"Absolute percentage error of each closed forecast version against actuals is computed and trended by business unit.",Reported not enforced,FP&A Lead,Makes forecast quality visible and holds forecast owners accountable over time.
CTL-CON-09,Consolidation layer integrity,CONSOLIDATION,BLOCKING,Monthly,Fact row,4,"Every fact row carries a layer_id present in config/dimensions/consolidation_layer.csv. No null, no zero, and no value outside the defined set of 1-5. The set of layers materialised into dim_layer matches the configuration file exactly - no extra members, none missing.",Zero undefined,Analytics Engineering,"An undefined layer silently excludes rows from both the statutory and the management view, because both are defined by explicit layer membership. The row is neither reported nor flagged as missing. Reject the load and correct the engine that produced it."
CTL-CON-10,Ownership percentage effective for the period,CONSOLIDATION,BLOCKING,Monthly,Entity x period,4,The ownership and NCI percentages applied when consolidating an entity for a period are those effective for that period in ownership_history.csv. Exactly one ownership row is effective for each entity and period; ownership plus NCI equals 100%.,Zero violations,Group Financial Controller,Applying a current ownership percentage to a historical period restates history. Overlapping or missing effective-date ranges are a configuration error and block the period.
CTL-CON-11,Non-controlling interest equity roll-forward,CONSOLIDATION,BLOCKING,Monthly,NCI entity x period,4,"Closing NCI equity equals opening NCI (340100) plus share of result (340200) less dividends and distributions (340300) plus share of translation adjustment (340400) plus acquisition and ownership changes (340500). Opening NCI equals the prior period closing NCI in USD, never retranslated.",1.00 USD,Group Financial Controller,"Tests the complete roll-forward rather than only the income allocation. The component most often omitted is the NCI share of the CTA movement, which quietly overstates group equity and understates NCI."
CTL-CON-12,Non-controlling interest share of consolidation adjustments,CONSOLIDATION,BLOCKING,Monthly,NCI entity x period,4,"Where a consolidation adjustment relates to a partially owned subsidiary, the non-controlling share is allocated to NCI rather than borne wholly by the group. Applies to unrealised profit in inventory held by NIG-510 and to any purchase-price-allocation amortisation attributable to it.",1.00 USD,Group Financial Controller,Allocating 100% of an adjustment on an 80%-owned subsidiary to the group is a real and easily missed error. Recompute the allocation using the ownership percentage effective for the period.
CTL-CON-13,Non-controlling interest distributions presented in financing,CONSOLIDATION,BLOCKING,Monthly,Group x period,4,"Dividends and distributions to non-controlling interests (340300) are presented as a financing cash outflow in the consolidated cash flow statement, never within operating activities.",1.00 USD,Group Financial Controller,"A distribution to a minority holder is a return of capital to an owner, not an operating cost. Misclassifying it overstates operating cash flow and free cash flow."
CTL-FX-09,CTA roll-forward continuity,FX,BLOCKING,Monthly,Entity x period,4,"Closing CTA equals opening CTA (330100) plus the period movement (330200) plus any amount recycled on disposal (330300). The closing CTA of each period equals the opening CTA of the next, per entity, with no unexplained step. While no disposal is in scope, 330300 is nil in every period.",1.00 USD,Group Financial Controller,A discontinuity in the CTA roll-forward means either that a prior period has been restated or that the translation engine has recomputed CTA from scratch instead of rolling it forward. Both are defects.
CTL-FX-10,Acquisition-date translation base,FX,BLOCKING,On acquisition,Acquired entity,4,"An acquired entity's opening balance sheet is translated at the spot rate on its consolidation effective date, that translated equity is frozen as the historical base, and the entity's opening CTA is nil in its first consolidated period. Goodwill and acquired intangibles are recorded in the entity's functional currency and translate at closing rates thereafter.",1.00 USD,Group Financial Controller,Holding foreign goodwill flat in USD instead of translating it is a common error that suppresses genuine CTA movement. Applies to NIG-220 (2023-04-01) and NIG-410 (2024-07-01).
CTL-FX-11,Cash flow FX effect correctly split,FX,BLOCKING,Monthly,Group x period,4,"The translation effect is split between the effect on foreign-currency cash balances, presented below financing activities, and the non-cash translation movement on other working capital, presented as a reconciling item within operating activities. The two components sum to the total translation effect on non-equity balances.",1.00 USD,Group Financial Controller,Routing the entire CTA movement through the cash line produces an implausible FX effect on cash while the statement still ties. This was a defect corrected in Phase 1 and the control exists so it cannot recur.
CTL-FS-09,Net income attributable to parent and NCI,FIN_STATEMENT,BLOCKING,Monthly,Group x period,4,Total consolidated net income equals net income attributable to the group plus net income attributable to non-controlling interests (850100). The P&L allocation line (850100) equals the equity credit to NCI share of result (340200) for the same period.,1.00 USD,Group Financial Controller,Links the income statement allocation to the equity roll-forward. A difference means the two were computed independently rather than from one entry.
CTL-SCN-06,Reserved scenario isolation,SCENARIO,BLOCKING,Monthly,Version,5,"Versions flagged as reserved or unapproved, including the Downside scenario, are excluded from every default reporting view and from the base dataset. They appear only where a user explicitly selects them.",Zero leakage,FP&A Lead,"A downside scenario that leaks into the default view misstates the reported position. Reserved versions carry is_reserved = TRUE and are filtered at the mart layer, not at the visual."
CTL-FX-12,CTA reproduces the source-layer expectation,FX,BLOCKING,Monthly,Entity x period,5,"The translation engine's CTA for each foreign entity and period equals the expectation published at source in data/reference/cta_expectation.csv, which is computed from the entity's own net assets, its result and the approved rate file alone. The group figure additionally carries the retranslation of goodwill and acquired intangibles, and is reduced by the non-controlling interest's share and the movement in unrealised intercompany profit.",1.00 USD,Group Financial Controller,"This is what makes CTL-FX-04 testable rather than aspirational: there is now an independently generated figure to test against, produced before the engine existed and derived from no group target. See ADR-0017."
CTL-CON-14,No residual or balancing account in any layer,CONSOLIDATION,BLOCKING,Monthly,Group x period,4,"No account in any chart, and no posting in any layer, exists to absorb a difference between a computed result and an expected one. Equity closes on its roll-forward: opening plus result plus contributions less distributions plus the computed CTA. Any account whose name or use identifies it as a measurement reserve, balancing entry, residual, plug or group true-up fails the control.",Zero accounts,Group Financial Controller,"A consolidation that balances because something was made to absorb the difference proves nothing. Phase 2.0 absorbed a residual into investment at cost and Phase 2.1 into a named equity reserve; both were removed in Phase 2.2 once the layer-1 equity bridge was derived (ADR-0016 superseded by ADR-0017). This control exists so neither can recur."
CTL-FS-10,Facility charge supported by the daily drawn balance,FIN_STATEMENT,BLOCKING,Quarterly,Instrument x period,4,"For each revolving facility: opening drawn plus drawings less repayments equals closing drawn; and the average daily drawn balance multiplied by the applicable base rate plus margin, plus the commitment fee on the average daily undrawn commitment, equals the recorded facility charge for the period.",0.5% of the charge,Treasury,"Interest accrues on a daily balance, not a month-end one. An average-drawn assumption that the facility's own roll-forward contradicts is how a leveraged group misstates its interest cost and its covenant coverage at the same time. See ADR-0018 and config/debt/treasury_policy.csv."
