control_id,family,control_name,severity,iterates_from,threshold,design_note
P4-FX-07,FX and CTA,The NCI share of the translation movement is allocated correctly,BLOCKING,the entity-period population that requires a rate; ref_cta_expectation,0,"CTL-CON-11. Allocating all of a partly owned subsidiary's translation to group equity overstates it and understates NCI by the same amount, and total equity is unchanged, so nothing else catches it"
P4-FX-08,FX and CTA,The FX effect on cash is not the translation adjustment,BLOCKING,the entity-period population that requires a rate; ref_cta_expectation,distinct and both non-nil,CTL-FX-11. Routing the whole translation movement through the cash line makes the statement still tie while reporting an implausible FX effect on a mostly-USD cash balance: every balancing control passes and only this one objects
P4-IC-01,Intercompany,Every intercompany relationship nets by entity pair,BLOCKING,"ref_ic_side, the approved intercompany relationship population","0 unmatched, 1.0 USD per pair","CTL-IC-01, CTL-IC-02. Matched at the PAIR: a group total nets whenever everything happens to agree and says nothing when it does not, which is what fault F02 is"
P4-IC-02,Intercompany,The intercompany population is not empty,BLOCKING,"ref_ic_side, the approved intercompany relationship population",> 0,"a pair reconciliation over no pairs passes trivially, which is how a matching engine that stopped working would look"
P4-IC-03,Intercompany,Consolidated intercompany balances are nil,BLOCKING,"ref_ic_side, the approved intercompany relationship population",1.00 USD,"CTL-IC-07, on the cumulative balance rather than the month's movement"
P4-IC-04,Intercompany,Consolidated intercompany income and expense are nil,BLOCKING,"ref_ic_side, the approved intercompany relationship population",1.00 USD,CTL-IC-02
P4-IC-05,Intercompany,Every intercompany difference carries a classification,BLOCKING,"ref_ic_side, the approved intercompany relationship population",0,"matched, timing, FX, missing counterpart or amount mismatch. A difference nobody has classified is indistinguishable from one nobody has looked at"
P4-INV-01,Investment,Every register relationship has an acquisition schedule,BLOCKING,ref_investment_register,0,iterated from the investment register: a relationship with no schedule is invisible to a control that starts from the schedules
P4-INV-02,Investment,Every investment in a consolidated subsidiary eliminates in full,BLOCKING,ref_investment_register,0.01 USD,"relationship by relationship, never at group total: a group-level elimination cannot express a second-tier holding at all"
P4-INV-03,Investment,Every investment is eliminated in the month the register gives it,BLOCKING,ref_investment_register,0,"CTL-CON-02. Eliminating early removes equity that was still outside the group; eliminating late leaves an investment in a subsidiary the group already owns. Eliminating not at all leaves both, and every total stays plausible"
P4-PPA-01,Goodwill and PPA,Goodwill is the residual of the bridge and never a plug,BLOCKING,ref_acquisition,0,"consideration plus non-controlling interest, less the fair value of identifiable net assets, equals goodwill -- computed for every acquisition in the register"
P4-PPA-02,Goodwill and PPA,No acquisition produces negative goodwill,WARNING,ref_acquisition,0,"a bargain purchase is possible but would be a disclosure, not a silent balance"
P4-PPA-03,Goodwill and PPA,Deferred tax on the fair value uplift follows the schedule's rate,BLOCKING,ref_acquisition,0,
P4-PPA-04,Goodwill and PPA,Every goodwill posting names the acquisition it arose on,BLOCKING,ref_acquisition,0,goodwill that cannot be traced to an acquisition is a balance nobody can explain and nobody can impair
P4-INT-01,Intangibles,Every intangible tranche has an amortisation schedule,BLOCKING,ref_ppa_intangible and ref_investment_register,0,iterated from the PPA register
P4-INT-02,Intangibles,Amortisation begins in the month the acquisition completes,BLOCKING,ref_ppa_intangible and ref_investment_register,0,"starting at the beginning of the acquisition year overstates the charge by the months before it: small, plausible and entirely wrong"
P4-INT-03,Intangibles,No intangible amortises past its cost,BLOCKING,ref_ppa_intangible and ref_investment_register,0,
P4-INT-04,Intangibles,Gross less accumulated amortisation equals net book value,BLOCKING,ref_ppa_intangible and ref_investment_register,0,the roll-forward closes every period
P4-NCI-01,Non-controlling interest,Every entity with a non-controlling interest is allocated one,BLOCKING,the non-controlling percentages in dim_ownership_period,all of them,"iterated from the ownership register's non-controlling percentages, so an entity the engine failed to allocate fails here rather than being absent"
P4-NCI-02,Non-controlling interest,The NCI share uses the entity's own effective percentage,BLOCKING,the non-controlling percentages in dim_ownership_period,0,"computed on NIG-510's result at its own 20%, never on a group total and never by applying a percentage twice down the ownership chain"
P4-NCI-03,Non-controlling interest,The NCI result is attributed once per entity and period,BLOCKING,the non-controlling percentages in dim_ownership_period,0,a second allocation would double the minority's share
P4-NCI-04,Non-controlling interest,The NCI roll-forward closes every year,BLOCKING,the non-controlling percentages in dim_ownership_period,0,"opening plus the share of result, less distributions, plus the share of translation, plus ownership movements, equals closing"
P4-NCI-05,Non-controlling interest,The NCI charge sits below tax and never inside EBITDA,BLOCKING,the non-controlling percentages in dim_ownership_period,0,"the credit agreement defines Consolidated EBITDA on the group, not on the group's economic share, so covenant leverage is calculated on the 100% basis"
P4-PUP-01,Unrealised profit,Unrealised profit reproduces the independent expectation,BLOCKING,"ref_ic_inventory_transaction, the transaction population",1.00 USD,computed from the surviving FIFO layers at each layer's own margin. The holdings file's own unrealised-profit column is read here and by nothing that computes it
P4-PUP-02,Unrealised profit,Every intercompany sale reaches the calculation at its own value,BLOCKING,"ref_ic_inventory_transaction, the transaction population","all of them, at the transacted value",
P4-PUP-03,Unrealised profit,Prior-period unrealised profit reverses as the stock is sold on,BLOCKING,"ref_ic_inventory_transaction, the transaction population",> 0,"posted as the movement in the provision, so the release happens by construction. A provision that only ever grows is one that is never released"
P4-PUP-04,Unrealised profit,Each surviving layer carries its own margin,BLOCKING,"ref_ic_inventory_transaction, the transaction population",0,a buyer holding two months of purchases at 12% and 9% does not hold them at 10.5%
P4-JNL-01,Journals,Every consolidation entry in layers 2 to 4 balances,BLOCKING,"fact_consol_journal, every entry posted",0,"layer 5 is excluded by design: it IS the entry that makes the translated trial balance sum to zero, so it does not balance alone"
P4-LAY-01,Layers,Only the declared consolidation layers are posted,BLOCKING,dim_consolidation_layer,0,CTL-CON-09. Layer 1 originates outside this phase and is never written here
P4-LAY-02,Layers,Layers 1 and 5 together sum to zero in every period,BLOCKING,dim_consolidation_layer,0.01,"CTL-TB-03. This is what CTA IS, so it is the only form in which layer 5 can be tested for balance"
P4-LAY-03,Layers,No management adjustment reaches the statutory basis,BLOCKING,dim_consolidation_layer,0,"the statutory basis is layers 1, 2, 3, 5, selected at the architecture level rather than filtered at report time"
P4-LAY-04,Layers,The management basis contains every layer it should,BLOCKING,dim_consolidation_layer,0,"layers 1, 2, 3, 4, 5"
P4-LAY-05,Layers,No source ledger carries a translation adjustment or reserve,BLOCKING,dim_consolidation_layer,0,"a source-layer CTA would be a plug, and the balance sheet would balance around it"
P4-FCT-01,The two facts,The journal fact and the financial fact reconcile exactly,BLOCKING,"fact_consol_journal and fact_financials, compared row for row",0,ADR-0024. Two facts are held so that a total can be queried and an entry can be read; they are only safe to hold while they agree
P4-FCT-02,The two facts,The entity ledgers are never copied into the journal fact,BLOCKING,"fact_consol_journal and fact_financials, compared row for row",0,layer 1 originates in the frozen Phase 3 conformed layer. A consolidation entry carrying it would make the reported figures depend on this phase
P4-BS-01,Balance sheet,Assets equal liabilities plus equity in every period,BLOCKING,"dim_account, every balance sheet account",0.01,"no balancing account, no residual reserve and no forced caption"
P4-BS-02,Balance sheet,Every balance sheet account maps to exactly one caption,BLOCKING,"dim_account, every balance sheet account",0,an account in two captions is counted twice and the statement still balances
P4-BS-03,Balance sheet,No balance sheet account is left without a caption,BLOCKING,"dim_account, every balance sheet account",0,an account with no caption disappears from the statement while staying in the fact
P4-BS-04,Balance sheet,No income statement caption appears in the balance sheet,BLOCKING,"dim_account, every balance sheet account",0,"the result appears once, as its own equity line, and never as a P&L caption"
P4-BS-05,Balance sheet,The period result appears exactly once in equity,BLOCKING,"dim_account, every balance sheet account",1,"it is the cumulative income statement balance INCLUDING the close. Excluding the close counts every closed year twice, once here and once in retained earnings"
P4-PL-01,Income statement,The income statement is internally consistent,BLOCKING,rpt_income_statement,0,gross profit and EBIT follow from their components
P4-CF-01,Cash flow,The cash flow ties in every period,BLOCKING,dim_account cash flow categories; rpt_balance_sheet cash,0.01,"opening plus operating, investing, financing and the effect of exchange rates equals closing, at the cent, in all 48 periods. Cash is never the residual, and the translation carried by the year-end close is presented as its own line rather than left to be absorbed by whichever bucket is nearest"
P4-CF-02,Cash flow,Closing cash ties to the consolidated balance sheet,BLOCKING,dim_account cash flow categories; rpt_balance_sheet cash,0.01,
P4-CF-03,Cash flow,Every balance sheet account has exactly one cash flow category,BLOCKING,dim_account cash flow categories; rpt_balance_sheet cash,0,CTL-FS-04. The statement ties by construction only if the categories partition the balance sheet; a mis-categorised account still ties while reporting the wrong line
P4-BAS-01,Statutory vs management,"Management less statutory equals layer 4, for every headline measure",BLOCKING,dim_consolidation_layer view flags,all of them,"revenue, gross profit, EBITDA, EBIT, net income, total assets and total equity, each of four years. Any other difference would mean the two bases diverge somewhere the layer architecture does not describe"
P4-BAS-02,Statutory vs management,Layer 4 is empty under the approved adjustment register,WARNING,dim_consolidation_layer view flags,disclosed,"Both approved adjustments (MA-001, MA-002) are presentation reclassifications carrying a nil amount, so no layer-4 entry is posted and the management basis is numerically identical to the statutory basis for FY2023-FY2026. P4-BAS-01 and P4-LAY-03 therefore prove the architecture separates the bases but cannot prove it from production data. Fault fixture F4-MGT-LEAK supplies that proof by injecting a layer-4 adjustment and showing the statutory basis unmoved. An amount is NOT invented here to make the comparison look richer."
P4-MGT-01,Management adjustments,Only approved management adjustments are posted,BLOCKING,"ref_management_adjustment, the approved register",equal,"iterated from the adjustment register. An adjustment nobody has approved is a proposal, and a management view built on proposals is not a management view"
P4-MGT-02,Management adjustments,No management adjustment is anonymous,BLOCKING,"ref_management_adjustment, the approved register",0,CTL-CON-07
P4-MGT-03,Management adjustments,Adjusted and covenant EBITDA are computed separately,WARNING,"ref_management_adjustment, the approved register","reported, not failed","the credit agreement caps the sponsor fee (CA-027) and permits unrealised foreign exchange (CA-030) where the management policy does neither, so the two measures are not assumed to be the same number"
P4-XAR-01,Cross-artefact reporting integrity,The income statement reconciles to the consolidated fact,BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,"revenue, gross profit, EBITDA, EBIT, net income and net income attributable to the parent, each recomputed from the fact rather than read back from the artefact being tested. Business consequence: the primary statement the board reads does not agree with the ledger it is drawn from"
P4-XAR-02,Cross-artefact reporting integrity,The EBITDA bridge's statutory EBITDA equals the fact's,BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,"P4-D-02. Summing a fiscal year without excluding the year-end close nets it to approximately nil, and three of four years were wrong by the whole year's EBITDA while the income statement was right. Business consequence: two artefacts state different EBITDA and nothing says which is the group's"
P4-XAR-03,Cross-artefact reporting integrity,Adjusted EBITDA is the fact plus the approved add-backs plus layer 4,BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,"the layer-4 effect is added rather than assumed nil, so the control still holds when a management adjustment is approved. Business consequence: the headline management measure diverges from the statutory base it is built on"
P4-XAR-04,Cross-artefact reporting integrity,"Covenant EBITDA is complete, non-null and reconciles to the fact",BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested","0 nulls, 0.05 USD","P4-D-02. An add-back category with no population contributes ZERO, never NULL: a nil FILTER voided the whole expression and every year came back NULL. Business consequence: this is the measure the credit agreement tests leverage on, and a null or wrong Covenant EBITDA misstates headroom to a lender"
P4-XAR-05,Cross-artefact reporting integrity,"Total assets, liabilities and equity reconcile to the fact",BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,"equity on the fact side includes the unclosed income statement balance, because that is what the balance sheet presents inside equity. Business consequence: the primary statement does not agree with the ledger"
P4-XAR-06,Cross-artefact reporting integrity,The period result in equity is the fiscal year to date from the fact,BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,"P4-D-01. The caption presented the cumulative income statement including the close, which is only complete for layer 1: no entity ledger closes a consolidation adjustment, so three years of them accumulated in a caption called the period's result. Business consequence: a reader cannot reconcile the balance sheet to the income statement, and total equity is right the whole time"
P4-XAR-07,Cross-artefact reporting integrity,Retained earnings plus the period result equal the fact's earnings,BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,the split between the two captions is a presentation decision and the total is not. P4-XAR-06 tests the split; this tests that moving it never changes the total. Business consequence: earnings created or destroyed by presentation
P4-XAR-08,Cross-artefact reporting integrity,The CTA caption reconciles to the fact's translation accounts,BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,business consequence: the equity reserve that explains every rate movement does not agree with the entries that produced it
P4-XAR-09,Cross-artefact reporting integrity,The NCI caption agrees with the NCI roll-forward at each year end,BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,"two artefacts, one measure: the balance sheet's equity component and the roll-forward that explains it. Business consequence: the minority's stake is reported at one figure and explained by another"
P4-XAR-10,Cross-artefact reporting integrity,"Closing cash agrees across the cash flow, the balance sheet and the fact",BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,"a three-way tie with the fact as the authority, so an artefact that agrees with the other artefact but not with the ledger still fails. Business consequence: the single number every reader checks first"
P4-XAR-11,Cross-artefact reporting integrity,The layer bridge sums to the fact's net income,BLOCKING,"the consolidated fact, recomputed -- never the artefact being tested",0.05,the artefact that answers 'where did this number come from' has to arrive at the number. Business consequence: a bridge that does not bridge
