entity_code,erp_system,erp_company_code,period_key,journal_id,line_number,posting_date,document_reference,document_type,event_type,description,source_account,expected_group_account,cost_center_code,department_code,dept_function,currency_code,amount_local,ic_partner_code,customer_code,product_code,line_attributes
NIG-100,AURORA,NIG100,202301,AU202301100000000,22,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2420,220300,100-950,D950,SGA,USD,-102.96,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,23,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2430,220400,100-950,D950,SGA,USD,-10216.36,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,24,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2500,230100,100-950,D950,SGA,USD,-178200000.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,25,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2510,230200,100-950,D950,SGA,USD,4600000.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,26,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2520,230300,100-950,D950,SGA,USD,-326.04,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,27,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2530,230400,100-950,D950,SGA,USD,-36221.64,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,28,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2690,245100,100-950,D950,SGA,USD,-39314.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,29,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,3000,310100,100-950,D950,SGA,USD,-14500000.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,30,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,3010,310200,100-950,D950,SGA,USD,-130500000.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,31,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1750,178100,100-950,D950,SGA,USD,2000000.0,NIG-110,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,32,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1750,178100,100-950,D950,SGA,USD,118000000.0,NIG-200,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,33,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1750,178100,100-950,D950,SGA,USD,86000000.0,NIG-300,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,34,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1750,178100,100-950,D950,SGA,USD,22300000.0,NIG-320,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,35,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1750,178100,100-950,D950,SGA,USD,44000000.0,NIG-400,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,36,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1750,178100,100-950,D950,SGA,USD,34000000.0,NIG-500,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,37,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,3100,320100,100-950,D950,SGA,USD,21209192.99,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000001,1,2023-01-16,PY-DF66CB0,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,5254.93,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000001,2,2023-01-16,PY-DF66CB0,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-5254.93,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000002,1,2023-01-30,PY-0593AD4,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,8202.86,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000002,2,2023-01-30,PY-0593AD4,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-8202.86,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000003,1,2023-01-19,PY-009E2DD,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,4826.73,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000003,2,2023-01-19,PY-009E2DD,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-4826.73,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000004,1,2023-01-03,PY-283A2F4,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,19038.04,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000004,2,2023-01-03,PY-283A2F4,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-19038.04,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000005,1,2023-01-02,PY-F583C23,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,11308.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000005,2,2023-01-02,PY-F583C23,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-11308.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000006,1,2023-01-10,PY-1D95B13,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,2097.54,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000006,2,2023-01-10,PY-1D95B13,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-2097.54,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000007,1,2023-01-09,PY-7CF1E2A,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,18969.67,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000007,2,2023-01-09,PY-7CF1E2A,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-18969.67,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000008,1,2023-01-25,PY-E377579,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,5911.67,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000008,2,2023-01-25,PY-E377579,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-5911.67,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000009,1,2023-01-23,PY-7B80047,PY,PAYROLL_ACCRUAL,Payroll Accrual,6100,610100,100-500,D500,SGA,USD,30998.3,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000009,2,2023-01-23,PY-7B80047,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-30998.3,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000010,1,2023-01-13,PY-7EE547B,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,3261.11,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000010,2,2023-01-13,PY-7EE547B,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-3261.11,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000011,1,2023-01-30,PY-8C3BA16,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,1562.12,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000011,2,2023-01-30,PY-8C3BA16,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-1562.12,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000012,1,2023-01-20,PY-516991B,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,2266.12,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000012,2,2023-01-20,PY-516991B,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-2266.12,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000013,1,2023-01-19,PY-E7588CF,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,3445.28,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000013,2,2023-01-19,PY-E7588CF,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-3445.28,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000014,1,2023-01-09,PY-514D8A0,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,645.76,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000014,2,2023-01-09,PY-514D8A0,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-645.76,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000015,1,2023-01-23,PY-B16D7D4,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,899.52,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000015,2,2023-01-23,PY-B16D7D4,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-899.52,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000016,1,2023-01-25,PY-C207FD1,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,5548.99,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000016,2,2023-01-25,PY-C207FD1,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-5548.99,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000017,1,2023-01-23,PY-30AC9E7,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,1072.52,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000017,2,2023-01-23,PY-30AC9E7,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-1072.52,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000018,1,2023-01-17,PY-CC768D9,PY,PAYROLL_ACCRUAL,Payroll Accrual,6110,610200,100-505,D505,SGA,USD,1384.12,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000018,2,2023-01-17,PY-CC768D9,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-1384.12,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000019,1,2023-01-30,PY-F75A79D,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,164.83,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000019,2,2023-01-30,PY-F75A79D,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-164.83,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000020,1,2023-01-30,PY-2F9C136,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,772.78,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000020,2,2023-01-30,PY-2F9C136,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-772.78,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000021,1,2023-01-05,PY-574D4BD,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,293.67,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000021,2,2023-01-05,PY-574D4BD,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-293.67,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000022,1,2023-01-09,PY-B0CCEF4,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,2142.38,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000022,2,2023-01-09,PY-B0CCEF4,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-2142.38,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000023,1,2023-01-12,PY-5F47479,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,256.76,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000023,2,2023-01-12,PY-5F47479,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-256.76,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000024,1,2023-01-20,PY-FBC2F98,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,1963.79,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000024,2,2023-01-20,PY-FBC2F98,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-1963.79,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000025,1,2023-01-30,PY-52F40F4,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,2834.81,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000025,2,2023-01-30,PY-52F40F4,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-2834.81,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000026,1,2023-01-20,PY-AC0105A,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,439.93,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000026,2,2023-01-20,PY-AC0105A,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-439.93,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000027,1,2023-01-24,PY-EDB361B,PY,PAYROLL_ACCRUAL,Payroll Accrual,6120,610300,100-505,D505,SGA,USD,1431.33,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000027,2,2023-01-24,PY-EDB361B,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-1431.33,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000028,1,2023-01-09,PI-3DDAC2E,PI,PURCHASE_INVOICE,Purchase Invoice,6130,610400,100-500,D500,SGA,USD,9800.77,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000028,2,2023-01-09,PI-3DDAC2E,PI,PURCHASE_INVOICE,Purchase Invoice,2220,215200,100-950,D950,SGA,USD,-9800.77,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000029,1,2023-01-10,PI-37C0C9F,PI,PURCHASE_INVOICE,Purchase Invoice,6130,610400,100-500,D500,SGA,USD,3074.51,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000029,2,2023-01-10,PI-37C0C9F,PI,PURCHASE_INVOICE,Purchase Invoice,2220,215200,100-950,D950,SGA,USD,-3074.51,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000030,1,2023-01-18,PI-03A24D7,PI,PURCHASE_INVOICE,Purchase Invoice,6140,610500,100-900,D900,SGA,USD,33146.4,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000030,2,2023-01-18,PI-03A24D7,PI,PURCHASE_INVOICE,Purchase Invoice,3020,315100,100-950,D950,SGA,USD,-33146.4,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000031,1,2023-01-20,PI-0F73637,PI,PURCHASE_INVOICE,Purchase Invoice,6140,610500,100-900,D900,SGA,USD,13604.27,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000031,2,2023-01-20,PI-0F73637,PI,PURCHASE_INVOICE,Purchase Invoice,3020,315100,100-950,D950,SGA,USD,-13604.27,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000032,1,2023-01-03,PY-C327098,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,154.93,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000032,2,2023-01-03,PY-C327098,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-154.93,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000033,1,2023-01-06,PY-48D3609,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,2298.18,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000033,2,2023-01-06,PY-48D3609,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-2298.18,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000034,1,2023-01-12,PY-E332C17,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,218.68,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000034,2,2023-01-12,PY-E332C17,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-218.68,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000035,1,2023-01-30,PY-C2DAB10,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,264.85,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000035,2,2023-01-30,PY-C2DAB10,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-264.85,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000036,1,2023-01-16,PY-4C5CF00,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,257.16,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000036,2,2023-01-16,PY-4C5CF00,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-257.16,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000037,1,2023-01-12,PY-475C3B4,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,55.59,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000037,2,2023-01-12,PY-475C3B4,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-55.59,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000038,1,2023-01-05,PY-0354FD2,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,531.05,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000038,2,2023-01-05,PY-0354FD2,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-531.05,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000039,1,2023-01-02,PY-8733827,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,412.46,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000039,2,2023-01-02,PY-8733827,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-412.46,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000040,1,2023-01-30,PY-16DA748,PY,PAYROLL_ACCRUAL,Payroll Accrual,6150,610600,100-500,D500,SGA,USD,957.2,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000040,2,2023-01-30,PY-16DA748,PY,PAYROLL_ACCRUAL,Payroll Accrual,2200,215100,100-950,D950,SGA,USD,-957.2,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000041,1,2023-01-10,PI-B0D3E9E,PI,PURCHASE_INVOICE,Purchase Invoice,6160,610700,100-505,D505,SGA,USD,1503.31,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000041,2,2023-01-10,PI-B0D3E9E,PI,PURCHASE_INVOICE,Purchase Invoice,2200,215100,100-950,D950,SGA,USD,-1503.31,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000042,1,2023-01-30,PI-C4FD26D,PI,PURCHASE_INVOICE,Purchase Invoice,6160,610700,100-505,D505,SGA,USD,1071.78,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000042,2,2023-01-30,PI-C4FD26D,PI,PURCHASE_INVOICE,Purchase Invoice,2200,215100,100-950,D950,SGA,USD,-1071.78,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000043,1,2023-01-16,PI-DD5C510,PI,PURCHASE_INVOICE,Purchase Invoice,6170,610800,100-505,D505,SGA,USD,1281.48,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000043,2,2023-01-16,PI-DD5C510,PI,PURCHASE_INVOICE,Purchase Invoice,2200,215100,100-950,D950,SGA,USD,-1281.48,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000044,1,2023-01-30,PI-C494D7C,PI,PURCHASE_INVOICE,Purchase Invoice,6170,610800,100-505,D505,SGA,USD,2838.58,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000044,2,2023-01-30,PI-C494D7C,PI,PURCHASE_INVOICE,Purchase Invoice,2200,215100,100-950,D950,SGA,USD,-2838.58,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000045,1,2023-01-27,PI-3E43319,PI,PURCHASE_INVOICE,Purchase Invoice,6200,620100,100-525,D525,SGA,USD,2759.75,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000045,2,2023-01-27,PI-3E43319,PI,PURCHASE_INVOICE,Purchase Invoice,2000,210100,100-950,D950,SGA,USD,-2759.75,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000046,1,2023-01-30,PI-F244E8F,PI,PURCHASE_INVOICE,Purchase Invoice,6200,620100,100-525,D525,SGA,USD,5737.96,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000046,2,2023-01-30,PI-F244E8F,PI,PURCHASE_INVOICE,Purchase Invoice,2000,210100,100-950,D950,SGA,USD,-5737.96,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000047,1,2023-01-27,PI-D90B243,PI,PURCHASE_INVOICE,Purchase Invoice,6210,620200,100-525,D525,SGA,USD,1817.41,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000047,2,2023-01-27,PI-D90B243,PI,PURCHASE_INVOICE,Purchase Invoice,2000,210100,100-950,D950,SGA,USD,-1817.41,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000048,1,2023-01-20,PI-F13B485,PI,PURCHASE_INVOICE,Purchase Invoice,6210,620200,100-525,D525,SGA,USD,2045.14,,,,dept_function=SGA
NIG-100,AURORA,NIG100,202301,AU202301100000048,2,2023-01-20,PI-F13B485,PI,PURCHASE_INVOICE,Purchase Invoice,2000,210100,100-950,D950,SGA,USD,-2045.14,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000049,1,2023-01-06,PI-E1B269A,PI,PURCHASE_INVOICE,Purchase Invoice,6220,620300,100-525,D525,SGA,USD,3104.07,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000049,2,2023-01-06,PI-E1B269A,PI,PURCHASE_INVOICE,Purchase Invoice,2000,210100,100-950,D950,SGA,USD,-3104.07,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000050,1,2023-01-23,PI-D19A599,PI,PURCHASE_INVOICE,Purchase Invoice,6220,620300,100-525,D525,SGA,USD,758.48,,,,
