BUKRS;GJAHR;MONAT;BUDAT;BELNR;BUZEI;HKONT;TXT50;SAKNR_BEZ;KOSTL;PRCTR;SEGMENT;VBUND;BSCHL;WAERS;SOLL;HABEN;DMBTR_KONZERN_EUR;KUNNR;MATNR;ZUONR
2000;2026;1;05.01.2026;KE202601320000012;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;51.064,05;60.099,81;C3200012;;
2000;2026;1;06.01.2026;KE202601320000013;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;40.652,87;;47.846,37;C3200013;;
2000;2026;1;06.01.2026;KE202601320000013;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;40.652,87;47.846,37;C3200013;;
2000;2026;1;05.01.2026;KE202601320000014;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;15.840,17;;18.643,08;C3200014;;
2000;2026;1;05.01.2026;KE202601320000014;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;15.840,17;18.643,08;C3200014;;
2000;2026;1;20.01.2026;KE202601320000015;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;28.087,27;;33.057,30;C3200015;;
2000;2026;1;20.01.2026;KE202601320000015;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;28.087,27;33.057,30;C3200015;;
2000;2026;1;05.01.2026;KE202601320000016;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;169.890,34;;199.952,34;C3200016;;
2000;2026;1;05.01.2026;KE202601320000016;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;169.890,34;199.952,34;C3200016;;
2000;2026;1;12.01.2026;KE202601320000017;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;25.961,80;;30.555,73;C3200017;;
2000;2026;1;12.01.2026;KE202601320000017;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;25.961,80;30.555,73;C3200017;;
2000;2026;1;05.01.2026;KE202601320000018;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;102.371,52;;120.486,10;C3200018;;
2000;2026;1;05.01.2026;KE202601320000018;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;102.371,52;120.486,10;C3200018;;
2000;2026;1;26.01.2026;KE202601320000019;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;51.994,55;;61.194,96;C3200019;;
2000;2026;1;26.01.2026;KE202601320000019;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;51.994,55;61.194,96;C3200019;;
2000;2026;1;19.01.2026;KE202601320000020;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;21.204,07;;24.956,12;C3200020;;
2000;2026;1;19.01.2026;KE202601320000020;2;00080600;Customer invoice;Umsatzerloese Wartungsvertraege;320-400;PC320;SEG-D400;;50;GBP;;21.204,07;24.956,12;C3200020;;
2000;2026;1;01.01.2026;KE202601320000021;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;7.816,96;;9.200,17;C3200021;;
2000;2026;1;01.01.2026;KE202601320000021;2;00080600;Customer invoice;Umsatzerloese Wartungsvertraege;320-400;PC320;SEG-D400;;50;GBP;;7.816,96;9.200,17;C3200021;;
2000;2026;1;23.01.2026;KE202601320000022;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;45.339,94;;53.362,82;C3200022;;
2000;2026;1;23.01.2026;KE202601320000022;2;00080600;Customer invoice;Umsatzerloese Wartungsvertraege;320-400;PC320;SEG-D400;;50;GBP;;45.339,94;53.362,82;C3200022;;
2000;2026;1;26.01.2026;KE202601320000023;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;66.088,52;;77.782,85;C3200023;;
2000;2026;1;26.01.2026;KE202601320000023;2;00080600;Customer invoice;Umsatzerloese Wartungsvertraege;320-400;PC320;SEG-D400;;50;GBP;;66.088,52;77.782,85;C3200023;;
2000;2026;1;05.01.2026;KE202601320000024;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;115.402,48;;135.822,89;C3200024;;
2000;2026;1;05.01.2026;KE202601320000024;2;00080600;Customer invoice;Umsatzerloese Wartungsvertraege;320-400;PC320;SEG-D400;;50;GBP;;115.402,48;135.822,89;C3200024;;
2000;2026;1;05.01.2026;KE202601320000025;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;87.176,11;;102.601,87;C3200025;;
2000;2026;1;05.01.2026;KE202601320000025;2;00080600;Customer invoice;Umsatzerloese Wartungsvertraege;320-400;PC320;SEG-D400;;50;GBP;;87.176,11;102.601,87;C3200025;;
2000;2026;1;30.01.2026;KE202601320000026;1;00017000;Customer invoice;Aktive Rechnungsabgrenzung;320-950;PC320;SEG-D950;;40;GBP;10.618,59;;12.497,54;C3200026;;accrual_type=CONTRACT
2000;2026;1;30.01.2026;KE202601320000026;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;10.618,59;12.497,54;C3200026;;
2000;2026;1;28.01.2026;KE202601320000027;1;00017000;Customer invoice;Aktive Rechnungsabgrenzung;320-950;PC320;SEG-D950;;40;GBP;23.091,02;;27.176,96;C3200027;;accrual_type=CONTRACT
2000;2026;1;28.01.2026;KE202601320000027;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;23.091,02;27.176,96;C3200027;;
2000;2026;1;26.01.2026;KE202601320000028;1;00017000;Customer invoice;Aktive Rechnungsabgrenzung;320-950;PC320;SEG-D950;;40;GBP;106.936,84;;125.859,25;C3200028;;accrual_type=CONTRACT
2000;2026;1;26.01.2026;KE202601320000028;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;106.936,84;125.859,25;C3200028;;
2000;2026;1;26.01.2026;KE202601320000029;1;00017000;Customer invoice;Aktive Rechnungsabgrenzung;320-950;PC320;SEG-D950;;40;GBP;24.600,79;;28.953,89;C3200029;;accrual_type=CONTRACT
2000;2026;1;26.01.2026;KE202601320000029;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;24.600,79;28.953,89;C3200029;;
2000;2026;1;02.01.2026;KE202601320000030;1;00017000;Customer invoice;Aktive Rechnungsabgrenzung;320-950;PC320;SEG-D950;;40;GBP;152.083,61;;178.994,72;C3200030;;accrual_type=CONTRACT
