SUBSIDIARY,PERIOD,TRANDATE,JOURNAL_ID,LINE_ID,ACCOUNT,ACCOUNT_NAME,DEPARTMENT,CLASS,LOCATION,MEMO,DOCUMENT_NUMBER,DOCUMENT_TYPE,CURRENCY,AMOUNT,AMOUNT_USD_SYSTEM,SUBSIDIARY_PARTNER,CUSTOMER,ITEM,LINE_ATTRIBUTES
NIG-200,11,2024-11-04,AU202411200000015,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-60AB7FC,SI,USD,-66517.78,-66517.78,,C2000015,,product_group=EQUIPMENT
NIG-200,11,2024-11-25,AU202411200000016,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-EF179FF,SI,USD,12048.28,12048.28,,C2000016,,
NIG-200,11,2024-11-25,AU202411200000016,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-EF179FF,SI,USD,-12048.28,-12048.28,,C2000016,,product_group=EQUIPMENT
NIG-200,11,2024-11-04,AU202411200000017,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-697D651,SI,USD,22880.61,22880.61,,C2000017,,
NIG-200,11,2024-11-04,AU202411200000017,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-697D651,SI,USD,-22880.61,-22880.61,,C2000017,,product_group=EQUIPMENT
NIG-200,11,2024-11-05,AU202411200000018,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-B908F31,SI,USD,22955.11,22955.11,,C2000018,,
NIG-200,11,2024-11-05,AU202411200000018,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-B908F31,SI,USD,-22955.11,-22955.11,,C2000018,,product_group=EQUIPMENT
NIG-200,11,2024-11-15,AU202411200000019,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-CBD2AA7,SI,USD,23434.37,23434.37,,C2000019,,
NIG-200,11,2024-11-15,AU202411200000019,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-CBD2AA7,SI,USD,-23434.37,-23434.37,,C2000019,,product_group=EQUIPMENT
NIG-200,11,2024-11-06,AU202411200000020,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-369B7E0,SI,USD,21028.80,21028.80,,C2000020,,
NIG-200,11,2024-11-06,AU202411200000020,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-369B7E0,SI,USD,-21028.80,-21028.80,,C2000020,,product_group=EQUIPMENT
NIG-200,11,2024-11-28,AU202411200000021,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-CE6E52F,SI,USD,20177.57,20177.57,,C2000021,,
NIG-200,11,2024-11-28,AU202411200000021,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-CE6E52F,SI,USD,-20177.57,-20177.57,,C2000021,,product_group=EQUIPMENT
NIG-200,11,2024-11-27,AU202411200000022,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-11900E4,SI,USD,22212.88,22212.88,,C2000022,,
NIG-200,11,2024-11-27,AU202411200000022,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-11900E4,SI,USD,-22212.88,-22212.88,,C2000022,,product_group=EQUIPMENT
NIG-200,11,2024-11-04,AU202411200000023,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-0745B4A,SI,USD,25473.64,25473.64,,C2000023,,
NIG-200,11,2024-11-04,AU202411200000023,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-0745B4A,SI,USD,-25473.64,-25473.64,,C2000023,,product_group=EQUIPMENT
NIG-200,11,2024-11-26,AU202411200000024,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-9B52A09,SI,USD,31942.89,31942.89,,C2000024,,
NIG-200,11,2024-11-26,AU202411200000024,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-9B52A09,SI,USD,-31942.89,-31942.89,,C2000024,,product_group=EQUIPMENT
NIG-200,11,2024-11-11,AU202411200000025,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-8FFE3DE,SI,USD,160614.48,160614.48,,C2000025,,
NIG-200,11,2024-11-11,AU202411200000025,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-8FFE3DE,SI,USD,-160614.48,-160614.48,,C2000025,,product_group=EQUIPMENT
NIG-200,11,2024-11-19,AU202411200000026,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-A362970,SI,USD,11237.89,11237.89,,C2000026,,
NIG-200,11,2024-11-19,AU202411200000026,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-A362970,SI,USD,-11237.89,-11237.89,,C2000026,,product_group=EQUIPMENT
NIG-200,11,2024-11-12,AU202411200000027,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-45F9D8F,SI,USD,17946.76,17946.76,,C2000027,,
NIG-200,11,2024-11-12,AU202411200000027,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-45F9D8F,SI,USD,-17946.76,-17946.76,,C2000027,,product_group=EQUIPMENT
NIG-200,11,2024-11-27,AU202411200000028,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-B129A59,SI,USD,22633.63,22633.63,,C2000028,,
NIG-200,11,2024-11-27,AU202411200000028,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-B129A59,SI,USD,-22633.63,-22633.63,,C2000028,,product_group=EQUIPMENT
NIG-200,11,2024-11-04,AU202411200000029,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-BAAA671,SI,USD,20201.79,20201.79,,C2000029,,
NIG-200,11,2024-11-04,AU202411200000029,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-BAAA671,SI,USD,-20201.79,-20201.79,,C2000029,,product_group=EQUIPMENT
NIG-200,11,2024-11-25,AU202411200000030,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-76F3CBD,SI,USD,91848.65,91848.65,,C2000030,,
