COMPANY,FISCALYEAR,FISCALPERIOD,POSTINGDATE,JOURNALID,LINENUM,MAINACCOUNT,ACCOUNTNAME,NORMALBALANCE,DIMENSIONSTRING,DESCRIPTION,DOCUMENTNUM,DOCUMENTTYPE,TRANSACTIONTYPE,CURRENCYCODE,AMOUNT,CUSTOMERID,ITEMID,LINEATTRIBUTES
CAS-US,2024,11,11/21/2024,SA202411300000012,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-333D507,SI,SALES_INVOICE,USD,"12,254.14",C3000012,,
CAS-US,2024,11,11/21/2024,SA202411300000012,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-333D507,SI,SALES_INVOICE,USD,"12,254.14",C3000012,,
CAS-US,2024,11,11/13/2024,SA202411300000013,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-0381D62,SI,SALES_INVOICE,USD,"61,058.84",C3000013,,
CAS-US,2024,11,11/13/2024,SA202411300000013,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-0381D62,SI,SALES_INVOICE,USD,"61,058.84",C3000013,,
CAS-US,2024,11,11/18/2024,SA202411300000014,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-925CD62,SI,SALES_INVOICE,USD,"34,473.25",C3000014,,
CAS-US,2024,11,11/18/2024,SA202411300000014,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-925CD62,SI,SALES_INVOICE,USD,"34,473.25",C3000014,,
CAS-US,2024,11,11/07/2024,SA202411300000015,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-8FFB7B0,SI,SALES_INVOICE,USD,"6,646.65",C3000015,,
CAS-US,2024,11,11/07/2024,SA202411300000015,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-8FFB7B0,SI,SALES_INVOICE,USD,"6,646.65",C3000015,,
CAS-US,2024,11,11/30/2024,SA202411300000016,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-E9C1DFB,SI,SALES_INVOICE,USD,"19,240.35",C3000016,,
CAS-US,2024,11,11/30/2024,SA202411300000016,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-E9C1DFB,SI,SALES_INVOICE,USD,"19,240.35",C3000016,,
CAS-US,2024,11,11/25/2024,SA202411300000017,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-49999FA,SI,SALES_INVOICE,USD,"11,614.74",C3000017,,
CAS-US,2024,11,11/25/2024,SA202411300000017,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-49999FA,SI,SALES_INVOICE,USD,"11,614.74",C3000017,,
CAS-US,2024,11,11/11/2024,SA202411300000018,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-1BD2AE4,SI,SALES_INVOICE,USD,"41,968.73",C3000018,,
CAS-US,2024,11,11/11/2024,SA202411300000018,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-1BD2AE4,SI,SALES_INVOICE,USD,"41,968.73",C3000018,,
CAS-US,2024,11,11/27/2024,SA202411300000019,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-691A1E2,SI,SALES_INVOICE,USD,"14,129.93",C3000019,,
CAS-US,2024,11,11/27/2024,SA202411300000019,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-691A1E2,SI,SALES_INVOICE,USD,"14,129.93",C3000019,,
CAS-US,2024,11,11/25/2024,SA202411300000020,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-805ABED,SI,SALES_INVOICE,USD,"87,727.66",C3000020,,
CAS-US,2024,11,11/25/2024,SA202411300000020,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-805ABED,SI,SALES_INVOICE,USD,"87,727.66",C3000020,,
CAS-US,2024,11,11/30/2024,SA202411300000021,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-972DEAF,SI,SALES_INVOICE,USD,"27,269.03",C3000021,,
CAS-US,2024,11,11/30/2024,SA202411300000021,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-972DEAF,SI,SALES_INVOICE,USD,"27,269.03",C3000021,,
CAS-US,2024,11,11/15/2024,SA202411300000022,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-59ED9AF,SI,SALES_INVOICE,USD,"42,151.87",C3000022,,
CAS-US,2024,11,11/15/2024,SA202411300000022,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-59ED9AF,SI,SALES_INVOICE,USD,"42,151.87",C3000022,,
CAS-US,2024,11,11/04/2024,SA202411300000023,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-4927C80,SI,SALES_INVOICE,USD,"12,998.96",C3000023,,
CAS-US,2024,11,11/04/2024,SA202411300000023,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-4927C80,SI,SALES_INVOICE,USD,"12,998.96",C3000023,,
CAS-US,2024,11,11/18/2024,SA202411300000024,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-A064673,SI,SALES_INVOICE,USD,"84,626.61",C3000024,,
CAS-US,2024,11,11/18/2024,SA202411300000024,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-A064673,SI,SALES_INVOICE,USD,"84,626.61",C3000024,,
CAS-US,2024,11,11/20/2024,SA202411300000025,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-27BE25C,SI,SALES_INVOICE,USD,"49,356.95",C3000025,,
CAS-US,2024,11,11/20/2024,SA202411300000025,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-27BE25C,SI,SALES_INVOICE,USD,"49,356.95",C3000025,,
CAS-US,2024,11,11/29/2024,SA202411300000026,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-27F8F0D,SI,SALES_INVOICE,USD,"18,893.85",C3000026,,
CAS-US,2024,11,11/29/2024,SA202411300000026,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-27F8F0D,SI,SALES_INVOICE,USD,"18,893.85",C3000026,,
CAS-US,2024,11,11/05/2024,SA202411300000027,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-AAE243F,SI,SALES_INVOICE,USD,"89,816.11",C3000027,,
CAS-US,2024,11,11/05/2024,SA202411300000027,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-AAE243F,SI,SALES_INVOICE,USD,"89,816.11",C3000027,,
CAS-US,2024,11,11/28/2024,SA202411300000028,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-AB7F893,SI,SALES_INVOICE,USD,"14,204.40",C3000028,,
CAS-US,2024,11,11/28/2024,SA202411300000028,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-AB7F893,SI,SALES_INVOICE,USD,"14,204.40",C3000028,,
CAS-US,2024,11,11/05/2024,SA202411300000029,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-077B039,SI,SALES_INVOICE,USD,"55,336.96",C3000029,,
CAS-US,2024,11,11/05/2024,SA202411300000029,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-077B039,SI,SALES_INVOICE,USD,"55,336.96",C3000029,,
CAS-US,2024,11,11/05/2024,SA202411300000030,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-8DD9430,SI,SALES_INVOICE,USD,"35,030.47",C3000030,,
